Date,Competition,Neutral Venue,Home,PreHElo,PostHElo,Result,Away,PreAElo,PostAElo,Home Goals,Away Goals,Country,Category
2024/08/26,Kategoria Superiore,0,AF Elbasani,1234,1256.0,3 - 0,KF Teuta Durrës,1427,1405.0,3,0,Albania,domestic league (tier 1)
2024/09/12,Kategoria Superiore,0,AF Elbasani,1249,1260.0,1 - 0,KF Laçi,1375,1364.0,1,0,Albania,domestic league (tier 1)
2024/09/22,Kategoria Superiore,0,AF Elbasani,1266,1269.0,0 - 0,Egnatia Rrogozhine,1476,1473.0,0,0,Albania,domestic league (tier 1)
2024/10/20,Kategoria Superiore,0,AF Elbasani,1288,1291.0,1 - 1,FK Partizani,1490,1487.0,1,1,Albania,domestic league (tier 1)
2024/10/26,Kategoria Superiore,0,AF Elbasani,1291,1289.0,1 - 1,KF Skënderbeu,1336,1338.0,1,1,Albania,domestic league (tier 1)
2024/11/04,Kategoria Superiore,0,AF Elbasani,1294,1270.0,0 - 5,FC Dinamo City,1324,1348.0,0,5,Albania,domestic league (tier 1)
2024/11/24,Kategoria Superiore,0,AF Elbasani,1275,1276.0,1 - 1,KF Tiranë,1401,1400.0,1,1,Albania,domestic league (tier 1)
2024/12/04,Kategoria Superiore,0,AF Elbasani,1271,1282.0,3 - 1,KF Bylis Ballsh,1275,1264.0,3,1,Albania,domestic league (tier 1)
2024/12/08,Kategoria Superiore,0,AF Elbasani,1282,1273.0,1 - 2,FK Vllaznia,1406,1415.0,1,2,Albania,domestic league (tier 1)
2025/01/11,Kategoria Superiore,0,AF Elbasani,1300,1314.0,3 - 1,KF Teuta Durrës,1373,1359.0,3,1,Albania,domestic league (tier 1)
2025/01/26,Kategoria Superiore,0,AF Elbasani,1326,1314.0,1 - 2,KF Laçi,1349,1361.0,1,2,Albania,domestic league (tier 1)
2025/02/05,Albania Cup,0,AF Elbasani,1318,1319.0,0 - 0,FK Vllaznia,1436,1435.0,0,0,Albania,domestic cup
2025/02/09,Kategoria Superiore,0,AF Elbasani,1319,1312.0,1 - 2,Egnatia Rrogozhine,1514,1521.0,1,2,Albania,domestic league (tier 1)
2025/03/01,Kategoria Superiore,0,AF Elbasani,1326,1343.0,2 - 0,FK Partizani,1466,1449.0,2,0,Albania,domestic league (tier 1)
2025/03/06,Kategoria Superiore,0,AF Elbasani,1343,1339.0,0 - 0,KF Skënderbeu,1308,1312.0,0,0,Albania,domestic league (tier 1)
2025/03/16,Kategoria Superiore,0,AF Elbasani,1341,1340.0,1 - 1,FC Dinamo City,1421,1422.0,1,1,Albania,domestic league (tier 1)
2025/03/31,Kategoria Superiore,0,AF Elbasani,1353,1360.0,2 - 1,KF Tiranë,1354,1347.0,2,1,Albania,domestic league (tier 1)
2025/04/12,Kategoria Superiore,0,AF Elbasani,1376,1381.0,1 - 0,KF Bylis Ballsh,1296,1291.0,1,0,Albania,domestic league (tier 1)
2025/04/19,Kategoria Superiore,0,AF Elbasani,1381,1379.0,1 - 1,FK Vllaznia,1425,1427.0,1,1,Albania,domestic league (tier 1)
2025/08/23,Kategoria Superiore,0,AF Elbasani,1370,1373.0,1 - 0,Flamurtari Vlorë,1197,1194.0,1,0,Albania,domestic league (tier 1)
2025/09/14,Kategoria Superiore,0,AF Elbasani,1378,1385.0,1 - 0,FC Dinamo City,1389,1382.0,1,0,Albania,domestic league (tier 1)
2025/09/27,Kategoria Superiore,0,AF Elbasani,1398,1394.0,0 - 0,KF Teuta Durrës,1362,1366.0,0,0,Albania,domestic league (tier 1)
2025/10/19,Kategoria Superiore,0,AF Elbasani,1388,1374.0,1 - 2,FK Vora,1331,1345.0,1,2,Albania,domestic league (tier 1)
2025/10/24,Kategoria Superiore,0,AF Elbasani,1374,1380.0,2 - 1,KF Bylis Ballsh,1308,1302.0,2,1,Albania,domestic league (tier 1)
2025/11/09,Kategoria Superiore,0,AF Elbasani,1408,1418.0,1 - 0,Egnatia Rrogozhine,1495,1485.0,1,0,Albania,domestic league (tier 1)
2025/11/28,Kategoria Superiore,0,AF Elbasani,1421,1417.0,0 - 0,FK Partizani,1374,1378.0,0,0,Albania,domestic league (tier 1)
2025/12/08,Kategoria Superiore,0,AF Elbasani,1419,1426.0,1 - 0,FK Vllaznia,1430,1423.0,1,0,Albania,domestic league (tier 1)
2025/12/24,Kategoria Superiore,0,AF Elbasani,1425,1419.0,1 - 1,KF Tiranë,1271,1277.0,1,1,Albania,domestic league (tier 1)
2026/01/10,Albania Cup,0,AF Elbasani,1419,1422.0,2 - 1,Flamurtari Vlorë,1212,1209.0,2,1,Albania,domestic cup
2026/01/14,Kategoria Superiore,0,AF Elbasani,1422,1415.0,1 - 1,Flamurtari Vlorë,1209,1216.0,1,1,Albania,domestic league (tier 1)
2026/01/25,Kategoria Superiore,0,AF Elbasani,1420,1432.0,2 - 0,FC Dinamo City,1441,1429.0,2,0,Albania,domestic league (tier 1)
2026/02/06,Kategoria Superiore,0,AF Elbasani,1433,1438.0,2 - 1,KF Teuta Durrës,1358,1353.0,2,1,Albania,domestic league (tier 1)
2026/02/11,Albania Cup,0,AF Elbasani,1438,1424.0,0 - 1,FK Partizani,1379,1393.0,0,1,Albania,domestic cup
2026/02/21,Kategoria Superiore,0,AF Elbasani,1418,1423.0,2 - 1,FK Vora,1320,1315.0,2,1,Albania,domestic league (tier 1)
2026/02/28,Kategoria Superiore,0,AF Elbasani,1423,1417.0,1 - 1,KF Bylis Ballsh,1281,1287.0,1,1,Albania,domestic league (tier 1)
2026/03/20,Kategoria Superiore,0,AF Elbasani,1451,1449.0,0 - 0,Egnatia Rrogozhine,1467,1469.0,0,0,Albania,domestic league (tier 1)
2026/04/13,Kategoria Superiore,0,AF Elbasani,1439,1450.0,3 - 0,FK Partizani,1407,1396.0,3,0,Albania,domestic league (tier 1)
2026/04/22,Albania Cup,0,AF Elbasani,1460,1456.0,1 - 1,Egnatia Rrogozhine,1427,1431.0,1,1,Albania,domestic cup
2026/04/27,Kategoria Superiore,0,AF Elbasani,1456,1467.0,3 - 1,FK Vllaznia,1469,1458.0,3,1,Albania,domestic league (tier 1)
2026/05/10,Kategoria Superiore,0,AF Elbasani,1439,1416.0,1 - 3,KF Tiranë,1348,1371.0,1,3,Albania,domestic league (tier 1)
2026/05/17,Kategoria Superiore,0,AF Elbasani,1416,1390.0,0 - 4,Egnatia Rrogozhine,1385,1411.0,0,4,Albania,domestic league (tier 1)
2026/05/24,Kategoria Superiore,0,AF Elbasani,1390,1405.0,3 - 0,FC Dinamo City,1440,1425.0,3,0,Albania,domestic league (tier 1)
2026/08/29,Kategoria Superiore,0,AF Elbasani,1418,1414.0,1 - 1,FK Vllaznia,1371,1375.0,1,1,Albania,domestic league (tier 1)
2021/09/17,Kategoria Superiore,0,Dinamo Tiranë,1087,1094.0,1 - 1,KF Laçi,1480,1473.0,1,1,Albania,domestic league (tier 1)
2021/10/01,Kategoria Superiore,0,Dinamo Tiranë,1096,1103.0,1 - 1,FK Partizani,1525,1518.0,1,1,Albania,domestic league (tier 1)
2021/10/14,Albania Cup,0,Dinamo Tiranë,1103,1114.0,2 - 0,Erzeni Shijak,1110,1099.0,2,0,Albania,domestic cup
2021/10/29,Kategoria Superiore,0,Dinamo Tiranë,1130,1125.0,0 - 1,FK Kukësi,1440,1445.0,0,1,Albania,domestic league (tier 1)
2021/11/03,Albania Cup,0,Dinamo Tiranë,1125,1151.0,2 - 0,KF Tiranë,1549,1523.0,2,0,Albania,domestic cup
2021/11/22,Kategoria Superiore,0,Dinamo Tiranë,1147,1146.0,1 - 1,Egnatia Rrogozhine,1205,1206.0,1,1,Albania,domestic league (tier 1)
2021/11/28,Kategoria Superiore,0,Dinamo Tiranë,1146,1155.0,1 - 0,KS Kastrioti,1225,1216.0,1,0,Albania,domestic league (tier 1)
