# CSV-File created with merge-csv.com
# -----------------------------------------------------------

Date,Competition,Neutral Venue,Home,PreHElo,PostHElo,Result,Away,PreAElo,PostAElo,Home Goals,Away Goals,Country,Category
2019/09/22,1a Divisio,0,Atlétic Escaldes,526,550.0,2 - 0,UE Engordany,885,861.0,2,0,Andorra,domestic league (tier 1)
2019/10/06,1a Divisio,0,Atlétic Escaldes,549,542.0,1 - 3,Inter Club dEscaldes,853,860.0,1,3,Andorra,domestic league (tier 1)
2019/10/20,1a Divisio,0,Atlétic Escaldes,542,537.0,0 - 1,UE Santa Coloma,839,844.0,0,1,Andorra,domestic league (tier 1)
2019/11/03,1a Divisio,0,Atlétic Escaldes,541,558.0,2 - 0,FC Ordino,699,682.0,2,0,Andorra,domestic league (tier 1)
2019/11/09,1a Divisio,0,Atlétic Escaldes,558,557.0,1 - 2,FC Santa Coloma,1113,1114.0,1,2,Andorra,domestic league (tier 1)
2019/12/01,1a Divisio,0,Atlétic Escaldes,555,562.0,0 - 0,UE Sant Julià,977,970.0,0,0,Andorra,domestic league (tier 1)
2020/02/02,1a Divisio,0,Atlétic Escaldes,589,576.0,1 - 2,CE Carroi,569,582.0,1,2,Andorra,domestic league (tier 1)
2020/03/04,1a Divisio,0,Atlétic Escaldes,616,621.0,1 - 1,UE Engordany,909,904.0,1,1,Andorra,domestic league (tier 1)
2020/03/08,1a Divisio,0,Atlétic Escaldes,621,617.0,0 - 1,Inter Club dEscaldes,940,944.0,0,1,Andorra,domestic league (tier 1)
2020/07/05,1a Divisio,0,Atlétic Escaldes,617,607.0,0 - 2,UE Santa Coloma,842,852.0,0,2,Andorra,domestic league (tier 1)
2020/07/12,1a Divisio,0,Atlétic Escaldes,618,632.0,4 - 0,FC Ordino,627,613.0,4,0,Andorra,domestic league (tier 1)
2020/07/22,1a Divisio,0,Atlétic Escaldes,656,667.0,5 - 0,FC Ordino,581,570.0,5,0,Andorra,domestic league (tier 1)
2020/12/09,1a Divisio,0,Atlétic Escaldes,667,670.0,0 - 0,UE Santa Coloma,865,862.0,0,0,Andorra,domestic league (tier 1)
2020/12/13,1a Divisio,0,Atlétic Escaldes,670,675.0,2 - 1,CE Carroi,559,554.0,2,1,Andorra,domestic league (tier 1)
2020/12/20,1a Divisio,0,Atlétic Escaldes,672,686.0,2 - 1,Inter Club dEscaldes,933,919.0,2,1,Andorra,domestic league (tier 1)
2021/01/24,1a Divisio,0,Atlétic Escaldes,693,696.0,3 - 0,Penya Encarnada,405,402.0,3,0,Andorra,domestic league (tier 1)
2021/02/14,1a Divisio,0,Atlétic Escaldes,720,722.0,3 - 3,UE Engordany,902,900.0,3,3,Andorra,domestic league (tier 1)
2021/02/28,1a Divisio,0,Atlétic Escaldes,734,736.0,1 - 1,UE Sant Julià,889,887.0,1,1,Andorra,domestic league (tier 1)
2021/04/11,1a Divisio,0,Atlétic Escaldes,754,747.0,0 - 2,FC Santa Coloma,1047,1054.0,0,2,Andorra,domestic league (tier 1)
2021/04/25,1a Divisio,0,Atlétic Escaldes,753,742.0,1 - 4,Inter Club dEscaldes,1000,1011.0,1,4,Andorra,domestic league (tier 1)
2021/05/09,1a Divisio,0,Atlétic Escaldes,750,742.0,0 - 1,UE Sant Julià,918,926.0,0,1,Andorra,domestic league (tier 1)
2021/05/23,1a Divisio,0,Atlétic Escaldes,738,730.0,1 - 3,FC Santa Coloma,1023,1031.0,1,3,Andorra,domestic league (tier 1)
2021/09/19,1a Divisio,0,Atlétic Escaldes,730,733.0,1 - 1,UE Sant Julià,931,928.0,1,1,Andorra,domestic league (tier 1)
