Date,Competition,Neutral Venue,Home,PreHElo,PostHElo,Result,Away,PreAElo,PostAElo,Home Goals,Away Goals,Country,Category
2024/08/20,Armenia Cup,0,Araks Ararat,1113,1096.0,0 - 2,Gandzasar Kapan,1158,1175.0,0,2,Armenia,domestic cup
2025/09/16,Armenia Cup,0,Araks Ararat,1096,1090.0,1 - 1,Lernayin Artsakh,962,968.0,1,1,Armenia,domestic cup
2025/10/28,Armenia Cup,0,Araks Ararat,1090,1066.0,0 - 4,Shirak FC,1100,1124.0,0,4,Armenia,domestic cup
2026/08/24,Armenia Cup,0,Araks Ararat,1066,1075.0,4 - 2,FC Kilikia,1020,1011.0,4,2,Armenia,domestic cup
2018/08/11,Premier League Armenia,0,Artsakh FC,1124,1136.0,1 - 0,FC Urartu (as FC Banants),1290,1278.0,1,0,Armenia,domestic league (tier 1)
2018/08/22,Premier League Armenia,0,Artsakh FC,1128,1125.0,1 - 1,FC Ararat,1137,1140.0,1,1,Armenia,domestic league (tier 1)
2018/08/29,Premier League Armenia,0,Artsakh FC,1121,1124.0,2 - 2,Gandzasar Kapan (as Gandzasar FC),1346,1343.0,2,2,Armenia,domestic league (tier 1)
2018/09/15,Premier League Armenia,0,Artsakh FC,1120,1119.0,1 - 1,FC Ararat-Armenia,1177,1178.0,1,1,Armenia,domestic league (tier 1)
2018/10/20,Premier League Armenia,0,Artsakh FC,1112,1102.0,2 - 3,Lori FC,1218,1228.0,2,3,Armenia,domestic league (tier 1)
2018/10/31,Premier League Armenia,0,Artsakh FC,1100,1103.0,0 - 0,Pyunik FC,1300,1297.0,0,0,Armenia,domestic league (tier 1)
2018/11/11,Premier League Armenia,0,Artsakh FC,1126,1131.0,0 - 0,FC Alashkert,1437,1432.0,0,0,Armenia,domestic league (tier 1)
2018/11/28,Premier League Armenia,0,Artsakh FC,1122,1116.0,0 - 1,Shirak FC,1359,1365.0,0,1,Armenia,domestic league (tier 1)
2019/03/03,Premier League Armenia,0,Artsakh FC,1116,1119.0,1 - 1,FC Urartu (as FC Banants),1311,1308.0,1,1,Armenia,domestic league (tier 1)
2019/03/10,Premier League Armenia,0,Artsakh FC,1111,1107.0,0 - 0,FC Ararat,1079,1083.0,0,0,Armenia,domestic league (tier 1)
2019/04/01,Premier League Armenia,0,Artsakh FC,1104,1122.0,2 - 0,Gandzasar Kapan (as Gandzasar FC),1286,1268.0,2,0,Armenia,domestic league (tier 1)
2019/04/11,Premier League Armenia,0,Artsakh FC,1120,1108.0,1 - 3,FC Ararat-Armenia,1294,1306.0,1,3,Armenia,domestic league (tier 1)
