Date,Competition,Neutral Venue,Home,PreHElo,PostHElo,Result,Away,PreAElo,PostAElo,Home Goals,Away Goals,Country,Category
2021/07/17,Austrian Cup,0,1. Wiener Neustädter SC,1453,1434.0,1 - 5,SK Austria Klagenfurt,1547,1566.0,1,5,Austria,domestic cup
2024/08/02,2. Liga,0,ASK Voitsberg,1202,1190.0,1 - 2,SKU Amstetten,1220,1232.0,1,2,Austria,domestic league (tier 2)
2024/08/16,2. Liga,0,ASK Voitsberg,1186,1171.0,0 - 2,SV Horn,1281,1296.0,0,2,Austria,domestic league (tier 2)
2024/09/01,2. Liga,0,ASK Voitsberg,1187,1178.0,1 - 2,Kapfenberger SV 1919,1308,1317.0,1,2,Austria,domestic league (tier 2)
2024/09/20,2. Liga,0,ASK Voitsberg,1187,1173.0,0 - 2,SKN St. Pölten,1304,1318.0,0,2,Austria,domestic league (tier 2)
2024/10/04,2. Liga,0,ASK Voitsberg,1177,1187.0,2 - 1,SV Lafnitz,1260,1250.0,2,1,Austria,domestic league (tier 2)
2024/10/30,Austrian Cup,0,ASK Voitsberg,1198,1196.0,1 - 2,LASK,1731,1733.0,1,2,Austria,domestic cup
2024/11/02,2. Liga,0,ASK Voitsberg,1196,1189.0,0 - 1,FC Liefering,1408,1415.0,0,1,Austria,domestic league (tier 2)
2024/11/10,2. Liga,0,ASK Voitsberg,1189,1183.0,1 - 2,FC Admira Wacker,1448,1454.0,1,2,Austria,domestic league (tier 2)
2024/11/29,2. Liga,0,ASK Voitsberg,1215,1229.0,1 - 0,Austria Lustenau,1475,1461.0,1,0,Austria,domestic league (tier 2)
2025/02/25,2. Liga,0,ASK Voitsberg,1254,1265.0,2 - 1,Schwarz-Weiß Bregenz,1395,1384.0,2,1,Austria,domestic league (tier 2)
2025/03/07,2. Liga,0,ASK Voitsberg,1256,1271.0,3 - 0,Rapid Wien (A),1304,1289.0,3,0,Austria,domestic league (tier 2)
2025/03/28,2. Liga,0,ASK Voitsberg,1258,1253.0,0 - 1,SV Ried,1545,1550.0,0,1,Austria,domestic league (tier 2)
2025/04/11,2. Liga,0,ASK Voitsberg,1246,1244.0,1 - 1,Sturm Graz (A),1289,1291.0,1,1,Austria,domestic league (tier 2)
2025/04/21,2. Liga,0,ASK Voitsberg,1262,1260.0,1 - 1,SV Stripfing/Weiden,1304,1306.0,1,1,Austria,domestic league (tier 2)
2025/04/25,2. Liga,0,ASK Voitsberg,1260,1247.0,0 - 2,First Vienna FC,1407,1420.0,0,2,Austria,domestic league (tier 2)
2025/05/16,2. Liga,0,ASK Voitsberg,1260,1260.0,0 - 0,Floridsdorfer AC,1368,1368.0,0,0,Austria,domestic league (tier 2)
2025/07/27,Austrian Cup,0,ASK Voitsberg,1253,1271.0,3 - 2,Austria Wien,1780,1762.0,3,2,Austria,domestic cup
2025/08/26,Austrian Cup,0,ASK Voitsberg,1271,1257.0,1 - 4,FC Admira Wacker,1439,1453.0,1,4,Austria,domestic cup
2026/07/31,2. Liga,0,ASK Voitsberg,1291,1290.0,1 - 1,SKU Amstetten,1362,1363.0,1,1,Austria,domestic league (tier 2)
