Date,Competition,Neutral Venue,Home,PreHElo,PostHElo,Result,Away,PreAElo,PostAElo,Home Goals,Away Goals,Country,Category
2016/08/06,Premyer Liqasi,0,AZAL PFK Baku,1399,1383.0,0 - 2,Neftçi PFK,1481,1497.0,0,2,Azerbaijan,domestic league (tier 1)
2016/09/24,Premyer Liqasi,0,AZAL PFK Baku,1372,1362.0,1 - 3,Samaxi FK (asKeshla FK),1581,1591.0,1,3,Azerbaijan,domestic league (tier 1)
2016/10/16,Premyer Liqasi,0,AZAL PFK Baku,1365,1354.0,0 - 1,FK Kapaz,1413,1424.0,0,1,Azerbaijan,domestic league (tier 1)
2016/10/24,Premyer Liqasi,0,AZAL PFK Baku,1354,1354.0,1 - 1,Zira FK,1450,1450.0,1,1,Azerbaijan,domestic league (tier 1)
2016/10/29,Premyer Liqasi,0,AZAL PFK Baku,1354,1351.0,0 - 1,Qarabag FK,1783,1786.0,0,1,Azerbaijan,domestic league (tier 1)
2016/11/06,Premyer Liqasi,0,AZAL PFK Baku,1351,1356.0,0 - 0,Gabala FK,1662,1657.0,0,0,Azerbaijan,domestic league (tier 1)
2016/11/27,Premyer Liqasi,0,AZAL PFK Baku,1351,1349.0,1 - 1,Sumgayit FK,1391,1393.0,1,1,Azerbaijan,domestic league (tier 1)
2017/02/03,Premyer Liqasi,0,AZAL PFK Baku,1361,1358.0,1 - 2,Qarabag FK,1778,1781.0,1,2,Azerbaijan,domestic league (tier 1)
2017/02/13,Premyer Liqasi,0,AZAL PFK Baku,1355,1348.0,0 - 1,Samaxi FK (asKeshla FK),1569,1576.0,0,1,Azerbaijan,domestic league (tier 1)
2017/02/27,Premyer Liqasi,0,AZAL PFK Baku,1342,1332.0,0 - 1,Neftçi PFK,1447,1457.0,0,1,Azerbaijan,domestic league (tier 1)
2017/03/19,Premyer Liqasi,0,AZAL PFK Baku,1336,1342.0,1 - 1,Gabala FK,1665,1659.0,1,1,Azerbaijan,domestic league (tier 1)
2017/04/10,Premyer Liqasi,0,AZAL PFK Baku,1339,1328.0,1 - 2,Sumgayit FK,1408,1419.0,1,2,Azerbaijan,domestic league (tier 1)
2017/04/23,Premyer Liqasi,0,AZAL PFK Baku,1320,1311.0,1 - 2,FK Kapaz,1449,1458.0,1,2,Azerbaijan,domestic league (tier 1)
2017/04/29,Premyer Liqasi,0,AZAL PFK Baku,1311,1297.0,0 - 3,Zira FK,1476,1490.0,0,3,Azerbaijan,domestic league (tier 1)
2023/08/04,Premyer Liqasi,0,Araz-Naxçivan PFK,1307,1288.0,0 - 3,Turan Tovuz,1386,1405.0,0,3,Azerbaijan,domestic league (tier 1)
2023/08/12,Premyer Liqasi,0,Araz-Naxçivan PFK,1288,1307.0,2 - 0,Gabala FK,1493,1474.0,2,0,Azerbaijan,domestic league (tier 1)
2023/08/25,Premyer Liqasi,0,Araz-Naxçivan PFK,1306,1304.0,1 - 1,Sumgayit FK,1346,1348.0,1,1,Azerbaijan,domestic league (tier 1)
2023/09/16,Premyer Liqasi,0,Araz-Naxçivan PFK,1317,1331.0,1 - 0,Neftçi PFK,1572,1558.0,1,0,Azerbaijan,domestic league (tier 1)
2023/10/01,Premyer Liqasi,0,Araz-Naxçivan PFK,1325,1338.0,1 - 0,Zira FK,1533,1520.0,1,0,Azerbaijan,domestic league (tier 1)
2023/10/30,Premyer Liqasi,0,Araz-Naxçivan PFK,1373,1391.0,2 - 1,Qarabag FK,1843,1825.0,2,1,Azerbaijan,domestic league (tier 1)
2023/11/10,Premyer Liqasi,0,Araz-Naxçivan PFK,1379,1364.0,0 - 1,Kapaz PFK,1275,1290.0,0,1,Azerbaijan,domestic league (tier 1)
2023/12/02,Premyer Liqasi,0,Araz-Naxçivan PFK,1371,1369.0,1 - 1,Sebail FK,1384,1386.0,1,1,Azerbaijan,domestic league (tier 1)
2023/12/15,Premyer Liqasi,0,Araz-Naxçivan PFK,1375,1395.0,2 - 0,Sabah FK,1586,1566.0,2,0,Azerbaijan,domestic league (tier 1)
