Date,Competition,Neutral Venue,Home,PreHElo,PostHElo,Result,Away,PreAElo,PostAElo,Home Goals,Away Goals,Country,Category
2022/03/20,Cempionat,0,Arsenal Dzerzhinsk,1201,1198.0,1 - 2,FK Gomel,1577,1580.0,1,2,Belarus,domestic league (tier 1)
2022/04/11,Cempionat,0,Arsenal Dzerzhinsk,1207,1210.0,0 - 0,FK Vitebsk,1406,1403.0,0,0,Belarus,domestic league (tier 1)
2022/04/21,Cempionat,0,Arsenal Dzerzhinsk,1207,1209.0,1 - 1,FK Slutsk,1370,1368.0,1,1,Belarus,domestic league (tier 1)
2022/05/07,Cempionat,0,Arsenal Dzerzhinsk,1217,1208.0,1 - 3,FK Isloch Minsk,1463,1472.0,1,3,Belarus,domestic league (tier 1)
2022/05/20,Cempionat,0,Arsenal Dzerzhinsk,1205,1195.0,0 - 2,Energetik-BGU Minsk,1429,1439.0,0,2,Belarus,domestic league (tier 1)
2022/06/19,Cempionat,0,Arsenal Dzerzhinsk,1191,1189.0,1 - 2,Shakhter Soligorsk,1678,1680.0,1,2,Belarus,domestic league (tier 1)
2022/06/26,Cempionat,0,Arsenal Dzerzhinsk,1208,1223.0,3 - 2,FK Slaviya Mozyr,1477,1462.0,3,2,Belarus,domestic league (tier 1)
2022/07/10,Cempionat,0,Arsenal Dzerzhinsk,1218,1226.0,1 - 0,Dnepr Mogilev,1241,1233.0,1,0,Belarus,domestic league (tier 1)
2022/08/14,Cempionat,0,Arsenal Dzerzhinsk,1240,1237.0,0 - 1,Dinamo Minsk,1625,1628.0,0,1,Belarus,domestic league (tier 1)
2022/08/26,Cempionat,0,Arsenal Dzerzhinsk,1229,1223.0,1 - 2,Torpedo-BelAZ Zhodino,1479,1485.0,1,2,Belarus,domestic league (tier 1)
2022/09/09,Cempionat,0,Arsenal Dzerzhinsk,1219,1209.0,0 - 2,Dinamo Brest,1432,1442.0,0,2,Belarus,domestic league (tier 1)
2022/10/02,Cempionat,0,Arsenal Dzerzhinsk,1207,1212.0,1 - 1,Neman Grodno,1498,1493.0,1,1,Belarus,domestic league (tier 1)
2022/10/14,Cempionat,0,Arsenal Dzerzhinsk,1230,1233.0,0 - 0,FK Minsk,1426,1423.0,0,0,Belarus,domestic league (tier 1)
2022/10/30,Cempionat,0,Arsenal Dzerzhinsk,1239,1239.0,0 - 0,Belshina Bobruisk,1351,1351.0,0,0,Belarus,domestic league (tier 1)
2022/11/12,Cempionat,0,Arsenal Dzerzhinsk,1250,1246.0,0 - 2,BATE Borisov,1661,1665.0,0,2,Belarus,domestic league (tier 1)
2024/03/17,Cempionat,0,Arsenal Dzerzhinsk,1244,1240.0,0 - 1,Torpedo-BelAZ Zhodino,1571,1575.0,0,1,Belarus,domestic league (tier 1)
2024/04/05,Cempionat,0,Arsenal Dzerzhinsk,1241,1242.0,1 - 1,FK Vitebsk,1373,1372.0,1,1,Belarus,domestic league (tier 1)
2024/04/20,Cempionat,0,Arsenal Dzerzhinsk,1269,1290.0,2 - 0,Shakhter Soligorsk,1523,1502.0,2,0,Belarus,domestic league (tier 1)
2024/05/04,Cempionat,0,Arsenal Dzerzhinsk,1285,1272.0,0 - 2,Dinamo Brest,1441,1454.0,0,2,Belarus,domestic league (tier 1)
2024/05/11,Cempionat,0,Arsenal Dzerzhinsk,1272,1283.0,1 - 0,FK Slutsk,1392,1381.0,1,0,Belarus,domestic league (tier 1)
2024/05/26,Cempionat,0,Arsenal Dzerzhinsk,1282,1304.0,2 - 0,BATE Borisov,1555,1533.0,2,0,Belarus,domestic league (tier 1)
2024/06/01,Cempionat,0,Arsenal Dzerzhinsk,1304,1301.0,1 - 2,Dinamo Minsk,1680,1683.0,1,2,Belarus,domestic league (tier 1)
2024/06/16,Cempionat,0,Arsenal Dzerzhinsk,1301,1312.0,2 - 0,FK Smorgon,1304,1293.0,2,0,Belarus,domestic league (tier 1)
2024/06/30,Cempionat,0,Arsenal Dzerzhinsk,1326,1302.0,0 - 3,Naftan Novopolotsk,1291,1315.0,0,3,Belarus,domestic league (tier 1)
2024/08/11,Cempionat,0,Arsenal Dzerzhinsk,1296,1303.0,3 - 1,Dnepr Mogilev,1176,1169.0,3,1,Belarus,domestic league (tier 1)
2024/08/23,Cempionat,0,Arsenal Dzerzhinsk,1309,1328.0,3 - 1,FK Isloch Minsk,1502,1483.0,3,1,Belarus,domestic league (tier 1)
2024/09/14,Cempionat,0,Arsenal Dzerzhinsk,1356,1355.0,1 - 1,FK Slaviya Mozyr,1429,1430.0,1,1,Belarus,domestic league (tier 1)
2024/10/06,Cempionat,0,Arsenal Dzerzhinsk,1356,1346.0,0 - 4,Neman Grodno,1630,1640.0,0,4,Belarus,domestic league (tier 1)
2024/11/09,Cempionat,0,Arsenal Dzerzhinsk,1331,1330.0,0 - 0,FK Minsk,1390,1391.0,0,0,Belarus,domestic league (tier 1)
2024/11/30,Cempionat,0,Arsenal Dzerzhinsk,1331,1342.0,1 - 0,FK Gomel,1479,1468.0,1,0,Belarus,domestic league (tier 1)
2025/03/16,Cempionat,0,Arsenal Dzerzhinsk,1342,1343.0,1 - 1,Dinamo Brest,1481,1480.0,1,1,Belarus,domestic league (tier 1)
2025/04/06,Cempionat,0,Arsenal Dzerzhinsk,1343,1339.0,1 - 1,FK Smorgon,1298,1302.0,1,1,Belarus,domestic league (tier 1)
2025/04/19,Cempionat,0,Arsenal Dzerzhinsk,1337,1329.0,0 - 3,Neman Grodno,1649,1657.0,0,3,Belarus,domestic league (tier 1)
2025/05/02,Cempionat,0,Arsenal Dzerzhinsk,1335,1326.0,0 - 1,BATE Borisov,1485,1494.0,0,1,Belarus,domestic league (tier 1)
2025/05/18,Cempionat,0,Arsenal Dzerzhinsk,1331,1333.0,1 - 1,FK Vitebsk,1485,1483.0,1,1,Belarus,domestic league (tier 1)
