Date,Competition,Neutral Venue,Home,PreHElo,PostHElo,Result,Away,PreAElo,PostAElo,Home Goals,Away Goals,Country,Category
2016/08/06,Eerste Klasse B,0,AFC Tubize,1545,1541.0,2 - 2,Union Saint-Gilloise (as Union St. Gilloise),1485,1489.0,2,2,Belgium,domestic league (tier 2)
2016/08/14,Eerste Klasse B,0,AFC Tubize,1541,1518.0,0 - 4,Lommel SK (as Lommel United),1569,1592.0,0,4,Belgium,domestic league (tier 2)
2016/09/04,Eerste Klasse B,0,AFC Tubize,1507,1518.0,4 - 1,KSV Roeselare,1461,1450.0,4,1,Belgium,domestic league (tier 2)
2016/09/25,Eerste Klasse B,0,AFC Tubize,1537,1535.0,2 - 2,Royal Antwerp FC,1564,1566.0,2,2,Belgium,domestic league (tier 2)
2016/10/05,Eerste Klasse B,0,AFC Tubize,1547,1536.0,0 - 1,Oud-Heverlee Leuven,1598,1609.0,0,1,Belgium,domestic league (tier 2)
2016/10/21,Eerste Klasse B,0,AFC Tubize,1551,1534.0,1 - 3,Lierse SK,1616,1633.0,1,3,Belgium,domestic league (tier 2)
2016/11/06,Eerste Klasse B,0,AFC Tubize,1525,1537.0,4 - 1,Cercle Brugge,1510,1498.0,4,1,Belgium,domestic league (tier 2)
2016/11/20,Eerste Klasse B,0,AFC Tubize,1541,1523.0,0 - 3,Lierse SK,1627,1645.0,0,3,Belgium,domestic league (tier 2)
2016/12/03,Eerste Klasse B,0,AFC Tubize,1531,1514.0,0 - 2,Oud-Heverlee Leuven,1581,1598.0,0,2,Belgium,domestic league (tier 2)
2016/12/17,Eerste Klasse B,0,AFC Tubize,1519,1530.0,3 - 0,Union Saint-Gilloise (as Union St. Gilloise),1483,1472.0,3,0,Belgium,domestic league (tier 2)
2017/01/20,Eerste Klasse B,0,AFC Tubize,1543,1551.0,2 - 0,Lommel SK (as Lommel United),1477,1469.0,2,0,Belgium,domestic league (tier 2)
2017/01/29,Eerste Klasse B,0,AFC Tubize,1551,1535.0,2 - 4,Royal Antwerp FC,1628,1644.0,2,4,Belgium,domestic league (tier 2)
2017/02/12,Eerste Klasse B,0,AFC Tubize,1527,1540.0,3 - 1,KSV Roeselare,1585,1572.0,3,1,Belgium,domestic league (tier 2)
2017/02/26,Eerste Klasse B,0,AFC Tubize,1529,1509.0,1 - 3,Cercle Brugge,1510,1530.0,1,3,Belgium,domestic league (tier 2)
2017/03/31,Eerste Klasse B,0,AFC Tubize,1512,1509.0,2 - 2,Cercle Brugge,1500,1503.0,2,2,Belgium,domestic league (tier 2)
