Date,Competition,Neutral Venue,Home,PreHElo,PostHElo,Result,Away,PreAElo,PostAElo,Home Goals,Away Goals,Country,Category
2026/08/16,Premier Liga BiH,0,BSK Banja Luka,1321,1340.0,2 - 0,Velež Mostar,1515,1496.0,2,0,Bosnia and Herzegovina,domestic league (tier 1)
2026/08/29,Premier Liga BiH,0,BSK Banja Luka,1338,1326.0,0 - 1,Sloga Doboj,1356,1368.0,0,1,Bosnia and Herzegovina,domestic league (tier 1)
2026/09/05,Premier Liga BiH,0,BSK Banja Luka,1324,,Info,Celik Zenica,1342,,,,Bosnia and Herzegovina,domestic league (tier 1)
2017/07/23,Premier Liga BiH,0,Borac Banja Luka,1412,1424.0,2 - 0,Celik Zenica,1441,1429.0,2,0,Bosnia and Herzegovina,domestic league (tier 1)
2017/08/06,Premier Liga BiH,0,Borac Banja Luka,1434,1421.0,0 - 1,FK Mladost Doboj-Kakanj,1411,1424.0,0,1,Bosnia and Herzegovina,domestic league (tier 1)
2017/08/20,Premier Liga BiH,0,Borac Banja Luka,1418,1423.0,1 - 0,NK Vitez,1340,1335.0,1,0,Bosnia and Herzegovina,domestic league (tier 1)
2017/08/27,Premier Liga BiH,0,Borac Banja Luka,1423,1424.0,1 - 1,FK Sarajevo,1573,1572.0,1,1,Bosnia and Herzegovina,domestic league (tier 1)
2017/09/17,Premier Liga BiH,0,Borac Banja Luka,1417,1424.0,1 - 0,Radnik Bijeljina,1424,1417.0,1,0,Bosnia and Herzegovina,domestic league (tier 1)
2017/10/01,Premier Liga BiH,0,Borac Banja Luka,1414,1423.0,1 - 0,Sloboda Tuzla,1462,1453.0,1,0,Bosnia and Herzegovina,domestic league (tier 1)
2017/10/28,Premier Liga BiH,0,Borac Banja Luka,1404,1410.0,1 - 0,NK GOŠK Gabela,1341,1335.0,1,0,Bosnia and Herzegovina,domestic league (tier 1)
2017/11/19,Premier Liga BiH,0,Borac Banja Luka,1403,1397.0,0 - 1,Željeznicar Sarajevo,1635,1641.0,0,1,Bosnia and Herzegovina,domestic league (tier 1)
2017/12/10,Premier Liga BiH,0,Borac Banja Luka,1393,1405.0,2 - 1,Široki Brijeg,1575,1563.0,2,1,Bosnia and Herzegovina,domestic league (tier 1)
2018/02/25,Premier Liga BiH,0,Borac Banja Luka,1393,1383.0,0 - 1,FK Krupa,1508,1518.0,0,1,Bosnia and Herzegovina,domestic league (tier 1)
2018/03/07,Premier Liga BiH,0,Borac Banja Luka,1387,1392.0,1 - 1,Zrinjski Mostar,1659,1654.0,1,1,Bosnia and Herzegovina,domestic league (tier 1)
2018/03/11,Premier Liga BiH,0,Borac Banja Luka,1392,1387.0,0 - 0,Celik Zenica,1304,1309.0,0,0,Bosnia and Herzegovina,domestic league (tier 1)
