Date,Competition,Neutral Venue,Home,PreHElo,PostHElo,Result,Away,PreAElo,PostAElo,Home Goals,Away Goals,Country,Category
2019/07/13,Parva Liga,0,Arda Kardzhali,1303,1309.0,0 - 0,Botev Plovdiv,1663,1657.0,0,0,Bulgaria,domestic league (tier 1)
2019/07/27,Parva Liga,0,Arda Kardzhali,1312,1338.0,3 - 1,PFC Beroe,1715,1689.0,3,1,Bulgaria,domestic league (tier 1)
2019/08/11,Parva Liga,0,Arda Kardzhali,1360,1348.0,2 - 5,Lokomotiv Plovdiv,1565,1577.0,2,5,Bulgaria,domestic league (tier 1)
2019/08/23,Parva Liga,0,Arda Kardzhali,1347,1352.0,0 - 0,Cherno More Varna,1658,1653.0,0,0,Bulgaria,domestic league (tier 1)
2019/09/13,Parva Liga,0,Arda Kardzhali,1369,1381.0,2 - 1,Botev Vratsa (as FK Botev Vratsa),1529,1517.0,2,1,Bulgaria,domestic league (tier 1)
2019/09/30,Parva Liga,0,Arda Kardzhali,1403,1416.0,2 - 1,Etar Veliko Tarnovo,1593,1580.0,2,1,Bulgaria,domestic league (tier 1)
2019/10/06,Parva Liga,0,Arda Kardzhali,1416,1400.0,0 - 2,FC Dunav Ruse,1489,1505.0,0,2,Bulgaria,domestic league (tier 1)
2019/11/07,Parva Liga,0,Arda Kardzhali,1406,1385.0,0 - 2,Tsarsko Selo Sofia,1354,1375.0,0,2,Bulgaria,domestic league (tier 1)
2019/11/22,Parva Liga,0,Arda Kardzhali,1403,1412.0,2 - 0,Vitosha Bistritsa,1350,1341.0,2,0,Bulgaria,domestic league (tier 1)
2019/12/08,Parva Liga,0,Arda Kardzhali,1417,1424.0,0 - 0,CSKA Sofia,1841,1834.0,0,0,Bulgaria,domestic league (tier 1)
2020/02/17,Parva Liga,0,Arda Kardzhali,1431,1423.0,0 - 1,Slavia Sofia,1599,1607.0,0,1,Bulgaria,domestic league (tier 1)
2020/06/10,Parva Liga,0,Arda Kardzhali,1423,1431.0,1 - 1,PFC Ludogorets Razgrad,1895,1887.0,1,1,Bulgaria,domestic league (tier 1)
2020/06/14,Parva Liga,0,Arda Kardzhali,1431,1424.0,1 - 3,Levski Sofia,1735,1742.0,1,3,Bulgaria,domestic league (tier 1)
