Date,Competition,Neutral Venue,Home,PreHElo,PostHElo,Result,Away,PreAElo,PostAElo,Home Goals,Away Goals,Country,Category
2016/07/17,1. HNL,0,Dinamo Zagreb,1949,1951.0,3 - 1,Lokomotiva Zagreb,1622,1620.0,3,1,Croatia,domestic league (tier 1)
2016/07/29,1. HNL,0,Dinamo Zagreb,1956,1948.0,1 - 1,Slaven Belupo,1638,1646.0,1,1,Croatia,domestic league (tier 1)
2016/08/13,1. HNL,0,Dinamo Zagreb,1969,1970.0,2 - 1,NK Inter Zaprešic,1575,1574.0,2,1,Croatia,domestic league (tier 1)
2016/08/19,1. HNL,0,Dinamo Zagreb,1966,1967.0,1 - 0,RNK Split,1589,1588.0,1,0,Croatia,domestic league (tier 1)
2016/09/10,1. HNL,0,Dinamo Zagreb,1983,1964.0,0 - 1,NK Osijek,1600,1619.0,0,1,Croatia,domestic league (tier 1)
2016/10/02,1. HNL,0,Dinamo Zagreb,1920,1913.0,0 - 0,Hajduk Split,1746,1753.0,0,0,Croatia,domestic league (tier 1)
2016/10/22,1. HNL,0,Dinamo Zagreb,1904,1906.0,3 - 0,HNK Cibalia (as Cibalia Vinkovci),1498,1496.0,3,0,Croatia,domestic league (tier 1)
2016/11/18,1. HNL,0,Dinamo Zagreb,1905,1896.0,1 - 1,NK Istra 1961,1463,1472.0,1,1,Croatia,domestic league (tier 1)
2016/12/03,1. HNL,0,Dinamo Zagreb,1895,1893.0,1 - 1,HNK Rijeka,1908,1910.0,1,1,Croatia,domestic league (tier 1)
2016/12/11,1. HNL,0,Dinamo Zagreb,1890,1893.0,3 - 1,Lokomotiva Zagreb,1590,1587.0,3,1,Croatia,domestic league (tier 1)
2017/02/18,1. HNL,0,Dinamo Zagreb,1902,1904.0,1 - 0,Slaven Belupo,1627,1625.0,1,0,Croatia,domestic league (tier 1)
2017/03/04,1. HNL,0,Dinamo Zagreb,1909,1911.0,2 - 0,NK Inter Zaprešic,1568,1566.0,2,0,Croatia,domestic league (tier 1)
2017/03/11,1. HNL,0,Dinamo Zagreb,1911,1913.0,4 - 0,RNK Split,1546,1544.0,4,0,Croatia,domestic league (tier 1)
2017/04/01,1. HNL,0,Dinamo Zagreb,1912,1914.0,2 - 1,NK Osijek,1659,1657.0,2,1,Croatia,domestic league (tier 1)
2017/04/22,1. HNL,0,Dinamo Zagreb,1922,1897.0,0 - 2,Hajduk Split,1736,1761.0,0,2,Croatia,domestic league (tier 1)
2017/04/29,1. HNL,0,Dinamo Zagreb,1881,1883.0,6 - 0,HNK Cibalia (as Cibalia Vinkovci),1432,1430.0,6,0,Croatia,domestic league (tier 1)
2017/05/17,1. HNL,0,Dinamo Zagreb,1893,1894.0,2 - 1,NK Istra 1961,1481,1480.0,2,1,Croatia,domestic league (tier 1)
2017/05/27,1. HNL,0,Dinamo Zagreb,1901,1915.0,5 - 2,HNK Rijeka,1934,1920.0,5,2,Croatia,domestic league (tier 1)
2017/07/21,1. HNL,0,Dinamo Zagreb,1905,1907.0,4 - 0,HNK Cibalia (as Cibalia Vinkovci),1463,1461.0,4,0,Croatia,domestic league (tier 1)
2017/08/06,1. HNL,0,Dinamo Zagreb,1904,1912.0,3 - 1,Hajduk Split,1821,1813.0,3,1,Croatia,domestic league (tier 1)
2017/08/20,1. HNL,0,Dinamo Zagreb,1923,1925.0,2 - 0,Slaven Belupo,1595,1593.0,2,0,Croatia,domestic league (tier 1)
2017/09/10,1. HNL,0,Dinamo Zagreb,1927,1928.0,3 - 2,NK Rudeš,1460,1459.0,3,2,Croatia,domestic league (tier 1)
