Date,Competition,Neutral Venue,Home,PreHElo,PostHElo,Result,Away,PreAElo,PostAElo,Home Goals,Away Goals,Country,Category
2016/08/21,First Division,0,AE Zakakiou,1222,1240.0,3 - 1,Ethnikos Achna,1395,1377.0,3,1,Cyprus,domestic league (tier 1)
2016/09/11,First Division,0,AE Zakakiou,1242,1238.0,0 - 4,Apollon Limassol,1695,1699.0,0,4,Cyprus,domestic league (tier 1)
2016/09/24,First Division,0,AE Zakakiou,1246,1229.0,1 - 5,Nea Salamina,1374,1391.0,1,5,Cyprus,domestic league (tier 1)
2016/10/15,First Division,0,AE Zakakiou,1235,1233.0,1 - 4,APOEL Nikosia,1804,1806.0,1,4,Cyprus,domestic league (tier 1)
2016/10/23,First Division,0,AE Zakakiou,1233,1229.0,2 - 5,AEK Larnaca,1707,1711.0,2,5,Cyprus,domestic league (tier 1)
2016/11/05,First Division,0,AE Zakakiou,1260,1257.0,0 - 1,Omonia Nikosia,1671,1674.0,0,1,Cyprus,domestic league (tier 1)
2016/11/27,First Division,0,AE Zakakiou,1253,1248.0,1 - 1,Anagennisi Derynias,1164,1169.0,1,1,Cyprus,domestic league (tier 1)
2016/12/16,First Division,0,AE Zakakiou,1236,1234.0,3 - 3,Karmiotissa Polemidion,1281,1283.0,3,3,Cyprus,domestic league (tier 1)
2017/01/03,First Division,0,AE Zakakiou,1233,1225.0,0 - 2,Anorthosis Famagusta,1512,1520.0,0,2,Cyprus,domestic league (tier 1)
2017/01/16,First Division,0,AE Zakakiou,1220,1210.0,2 - 3,Aris Limassol,1306,1316.0,2,3,Cyprus,domestic league (tier 1)
2017/02/04,First Division,0,AE Zakakiou,1217,1211.0,0 - 3,AEL Limassol,1574,1580.0,0,3,Cyprus,domestic league (tier 1)
2017/02/18,First Division,0,AE Zakakiou,1207,1192.0,0 - 4,Ermis Aradippou,1377,1392.0,0,4,Cyprus,domestic league (tier 1)
2017/03/04,First Division,0,AE Zakakiou,1193,1176.0,0 - 4,Doxa Katokopias,1328,1345.0,0,4,Cyprus,domestic league (tier 1)
2022/10/05,Cyprus Cup,0,AE Zakakiou,1176,1171.0,0 - 3,Paphos FC,1595,1600.0,0,3,Cyprus,domestic cup
2023/08/20,First Division,0,AE Zakakiou,1171,1169.0,0 - 2,APOEL Nikosia,1700,1702.0,0,2,Cyprus,domestic league (tier 1)
2023/09/03,First Division,0,AE Zakakiou,1167,1164.0,0 - 5,Aris Limassol,1729,1732.0,0,5,Cyprus,domestic league (tier 1)
2023/09/22,First Division,0,AE Zakakiou,1189,1216.0,3 - 1,AEK Larnaca,1641,1614.0,3,1,Cyprus,domestic league (tier 1)
2023/10/02,First Division,0,AE Zakakiou,1216,1211.0,1 - 4,Pafos FC,1625,1630.0,1,4,Cyprus,domestic league (tier 1)
2023/10/22,First Division,0,AE Zakakiou,1220,1215.0,0 - 5,Apollon Limassol,1677,1682.0,0,5,Cyprus,domestic league (tier 1)
2023/11/03,First Division,0,AE Zakakiou,1224,1227.0,1 - 1,Ethnikos Achna,1426,1423.0,1,1,Cyprus,domestic league (tier 1)
2023/11/26,First Division,0,AE Zakakiou,1235,1239.0,2 - 2,Nea Salamina,1492,1488.0,2,2,Cyprus,domestic league (tier 1)
2023/12/17,First Division,0,AE Zakakiou,1242,1228.0,1 - 4,AEL Limassol,1414,1428.0,1,4,Cyprus,domestic league (tier 1)
2024/01/04,First Division,0,AE Zakakiou,1227,1225.0,1 - 1,Doxa Katokopias,1269,1271.0,1,1,Cyprus,domestic league (tier 1)
2024/01/18,Cyprus Cup,0,AE Zakakiou,1222,1233.0,4 - 2,PAEEK,1231,1220.0,4,2,Cyprus,domestic cup
2024/01/21,First Division,0,AE Zakakiou,1233,1240.0,0 - 0,Omonia Nikosia,1623,1616.0,0,0,Cyprus,domestic league (tier 1)
2024/02/09,First Division,0,AE Zakakiou,1242,1240.0,3 - 3,Othellos Athienou,1272,1274.0,3,3,Cyprus,domestic league (tier 1)
2024/02/18,First Division,0,AE Zakakiou,1247,1236.0,1 - 2,Karmiotissa Polemidion,1300,1311.0,1,2,Cyprus,domestic league (tier 1)
2024/02/21,First Division,0,AE Zakakiou,1236,1230.0,0 - 2,Anorthosis Famagusta,1589,1595.0,0,2,Cyprus,domestic league (tier 1)
2024/03/03,First Division,0,AE Zakakiou,1225,1218.0,0 - 1,Ethnikos Achna,1418,1425.0,0,1,Cyprus,domestic league (tier 1)
2024/03/16,First Division,0,AE Zakakiou,1217,1195.0,0 - 4,Othellos Athienou,1260,1282.0,0,4,Cyprus,domestic league (tier 1)
2024/04/04,First Division,0,AE Zakakiou,1194,1181.0,0 - 3,Nea Salamina,1384,1397.0,0,3,Cyprus,domestic league (tier 1)
2024/04/08,First Division,0,AE Zakakiou,1181,1170.0,1 - 5,AEL Limassol,1427,1438.0,1,5,Cyprus,domestic league (tier 1)
2024/04/20,First Division,0,AE Zakakiou,1166,1152.0,2 - 5,Karmiotissa Polemidion,1345,1359.0,2,5,Cyprus,domestic league (tier 1)
2024/04/23,First Division,0,AE Zakakiou,1152,1143.0,2 - 3,Doxa Katokopias,1290,1299.0,2,3,Cyprus,domestic league (tier 1)
2024/05/08,First Division,0,AE Zakakiou,1137,1133.0,1 - 5,Apollon Limassol,1588,1592.0,1,5,Cyprus,domestic league (tier 1)
2016/09/10,First Division,0,AEK Larnaca,1667,1668.0,3 - 0,Karmiotissa Polemidion,1226,1225.0,3,0,Cyprus,domestic league (tier 1)
2016/09/14,First Division,0,AEK Larnaca,1668,1670.0,2 - 0,Doxa Katokopias,1335,1333.0,2,0,Cyprus,domestic league (tier 1)
2016/09/25,First Division,0,AEK Larnaca,1692,1699.0,4 - 1,Anorthosis Famagusta,1555,1548.0,4,1,Cyprus,domestic league (tier 1)
2016/10/17,First Division,0,AEK Larnaca,1704,1707.0,4 - 0,Aris Limassol,1364,1361.0,4,0,Cyprus,domestic league (tier 1)
2016/10/29,First Division,0,AEK Larnaca,1712,1712.0,1 - 1,APOEL Nikosia,1796,1796.0,1,1,Cyprus,domestic league (tier 1)
2016/11/05,First Division,0,AEK Larnaca,1712,1715.0,2 - 1,AEL Limassol,1511,1508.0,2,1,Cyprus,domestic league (tier 1)
2016/11/26,First Division,0,AEK Larnaca,1707,1709.0,1 - 0,Ermis Aradippou,1414,1412.0,1,0,Cyprus,domestic league (tier 1)
2016/12/17,First Division,0,AEK Larnaca,1693,1695.0,1 - 0,Ethnikos Achna,1395,1393.0,1,0,Cyprus,domestic league (tier 1)
2017/01/03,First Division,0,AEK Larnaca,1700,1680.0,1 - 3,Apollon Limassol,1675,1695.0,1,3,Cyprus,domestic league (tier 1)
2017/01/14,First Division,0,AEK Larnaca,1689,1692.0,2 - 0,Nea Salamina,1429,1426.0,2,0,Cyprus,domestic league (tier 1)
2017/01/29,First Division,0,AEK Larnaca,1690,1681.0,1 - 1,AE Zakakiou,1209,1218.0,1,1,Cyprus,domestic league (tier 1)
2017/02/19,First Division,0,AEK Larnaca,1687,1696.0,4 - 2,Omonia Nikosia,1647,1638.0,4,2,Cyprus,domestic league (tier 1)
2017/03/05,First Division,0,AEK Larnaca,1677,1678.0,6 - 0,Anagennisi Derynias,1141,1140.0,6,0,Cyprus,domestic league (tier 1)
2017/03/13,First Division,0,AEK Larnaca,1678,1674.0,1 - 1,Omonia Nikosia,1645,1649.0,1,1,Cyprus,domestic league (tier 1)
2017/04/01,First Division,0,AEK Larnaca,1668,1680.0,2 - 1,APOEL Nikosia,1828,1816.0,2,1,Cyprus,domestic league (tier 1)
2017/04/12,First Division,0,AEK Larnaca,1670,1675.0,1 - 0,Anorthosis Famagusta,1577,1572.0,1,0,Cyprus,domestic league (tier 1)
2017/04/30,First Division,0,AEK Larnaca,1687,1696.0,1 - 0,Apollon Limassol,1746,1737.0,1,0,Cyprus,domestic league (tier 1)
2017/05/13,First Division,0,AEK Larnaca,1701,1695.0,1 - 1,AEL Limassol,1583,1589.0,1,1,Cyprus,domestic league (tier 1)
2017/08/27,First Division,0,AEK Larnaca,1725,1727.0,2 - 0,Olympiakos Nikosia,1346,1344.0,2,0,Cyprus,domestic league (tier 1)
2017/09/16,First Division,0,AEK Larnaca,1734,1738.0,1 - 0,AEL Limassol,1611,1607.0,1,0,Cyprus,domestic league (tier 1)
2017/09/30,First Division,0,AEK Larnaca,1702,1697.0,1 - 1,Anorthosis Famagusta,1601,1606.0,1,1,Cyprus,domestic league (tier 1)
2017/10/21,First Division,0,AEK Larnaca,1705,1720.0,3 - 1,APOEL Nikosia,1802,1787.0,3,1,Cyprus,domestic league (tier 1)
2017/11/05,First Division,0,AEK Larnaca,1729,1728.0,1 - 1,Apollon Limassol,1792,1793.0,1,1,Cyprus,domestic league (tier 1)
2017/11/26,First Division,0,AEK Larnaca,1733,1735.0,2 - 0,Paphos FC,1343,1341.0,2,0,Cyprus,domestic league (tier 1)
2017/12/04,First Division,0,AEK Larnaca,1735,1743.0,5 - 0,Omonia Nikosia,1582,1574.0,5,0,Cyprus,domestic league (tier 1)
2017/12/17,First Division,0,AEK Larnaca,1746,1737.0,1 - 1,Ermis Aradippou,1355,1364.0,1,1,Cyprus,domestic league (tier 1)
2018/01/03,First Division,0,AEK Larnaca,1736,1737.0,2 - 0,Nea Salamina,1322,1321.0,2,0,Cyprus,domestic league (tier 1)
2018/01/13,First Division,0,AEK Larnaca,1721,1723.0,4 - 1,Aris Limassol,1323,1321.0,4,1,Cyprus,domestic league (tier 1)
2018/01/31,First Division,0,AEK Larnaca,1718,1721.0,4 - 0,Doxa Katokopias,1393,1390.0,4,0,Cyprus,domestic league (tier 1)
