Date,Competition,Neutral Venue,Home,PreHElo,PostHElo,Result,Away,PreAElo,PostAElo,Home Goals,Away Goals,Country,Category
2016/08/06,Fotbalova Liga,0,1. FC Slovácko,1676,1674.0,2 - 2,FK Dukla Praha,1697,1699.0,2,2,Czech Republic,domestic league (tier 1)
2016/08/20,Fotbalova Liga,0,1. FC Slovácko,1680,1691.0,2 - 0,Bohemians 1905,1680,1669.0,2,0,Czech Republic,domestic league (tier 1)
2016/09/09,Fotbalova Liga,0,1. FC Slovácko,1684,1664.0,1 - 3,FC Trinity Zlín (as Trinity Zlín),1662,1682.0,1,3,Czech Republic,domestic league (tier 1)
2016/09/24,Fotbalova Liga,0,1. FC Slovácko,1659,1655.0,1 - 1,Vysocina Jihlava,1627,1631.0,1,1,Czech Republic,domestic league (tier 1)
2016/10/15,Fotbalova Liga,0,1. FC Slovácko,1649,1653.0,1 - 1,Viktoria Plzen,1906,1902.0,1,1,Czech Republic,domestic league (tier 1)
2016/10/29,Fotbalova Liga,0,1. FC Slovácko,1649,1647.0,1 - 1,FK Teplice,1689,1691.0,1,1,Czech Republic,domestic league (tier 1)
2016/11/19,Fotbalova Liga,0,1. FC Slovácko,1660,1640.0,1 - 3,FC Hradec Králové,1636,1656.0,1,3,Czech Republic,domestic league (tier 1)
2017/02/18,Fotbalova Liga,0,1. FC Slovácko,1660,1660.0,0 - 0,FK Jablonec,1777,1777.0,0,0,Czech Republic,domestic league (tier 1)
2017/03/04,Fotbalova Liga,0,1. FC Slovácko,1663,1661.0,0 - 0,Zbrojovka Brno,1693,1695.0,0,0,Czech Republic,domestic league (tier 1)
2017/03/18,Fotbalova Liga,0,1. FC Slovácko,1665,1677.0,2 - 1,FK Mladá Boleslav,1846,1834.0,2,1,Czech Republic,domestic league (tier 1)
2017/04/08,Fotbalova Liga,0,1. FC Slovácko,1678,1683.0,1 - 0,FK Viagem Príbram,1577,1572.0,1,0,Czech Republic,domestic league (tier 1)
2017/04/21,Fotbalova Liga,0,1. FC Slovácko,1679,1668.0,0 - 2,Slavia Praha,1879,1890.0,0,2,Czech Republic,domestic league (tier 1)
2017/05/06,Fotbalova Liga,0,1. FC Slovácko,1673,1670.0,1 - 1,MFK Karviná,1648,1651.0,1,1,Czech Republic,domestic league (tier 1)
2017/05/20,Fotbalova Liga,0,1. FC Slovácko,1661,1650.0,0 - 1,Slovan Liberec,1742,1753.0,0,1,Czech Republic,domestic league (tier 1)
2017/05/27,Fotbalova Liga,0,1. FC Slovácko,1650,1654.0,1 - 1,AC Sparta Praha,1890,1886.0,1,1,Czech Republic,domestic league (tier 1)
2017/07/29,Fotbalova Liga,0,1. FC Slovácko,1654,1655.0,1 - 1,FK Jablonec,1779,1778.0,1,1,Czech Republic,domestic league (tier 1)
2017/08/12,Fotbalova Liga,0,1. FC Slovácko,1657,1669.0,5 - 2,Baník Ostrava,1651,1639.0,5,2,Czech Republic,domestic league (tier 1)
2017/08/26,Fotbalova Liga,0,1. FC Slovácko,1666,1665.0,0 - 0,Sigma Olomouc,1730,1731.0,0,0,Czech Republic,domestic league (tier 1)
2017/09/16,Fotbalova Liga,0,1. FC Slovácko,1657,1647.0,0 - 1,FK Mladá Boleslav,1746,1756.0,0,1,Czech Republic,domestic league (tier 1)
2017/09/30,Fotbalova Liga,0,1. FC Slovácko,1653,1649.0,0 - 0,MFK Karviná,1610,1614.0,0,0,Czech Republic,domestic league (tier 1)
2017/10/29,Fotbalova Liga,0,1. FC Slovácko,1654,1643.0,0 - 3,Slavia Praha,1892,1903.0,0,3,Czech Republic,domestic league (tier 1)
2017/11/18,Fotbalova Liga,0,1. FC Slovácko,1652,1643.0,1 - 4,Viktoria Plzen,1929,1938.0,1,4,Czech Republic,domestic league (tier 1)
2017/12/02,Fotbalova Liga,0,1. FC Slovácko,1636,1642.0,2 - 1,Vysocina Jihlava,1581,1575.0,2,1,Czech Republic,domestic league (tier 1)
2018/02/24,Fotbalova Liga,0,1. FC Slovácko,1654,1657.0,1 - 1,AC Sparta Praha,1862,1859.0,1,1,Czech Republic,domestic league (tier 1)
2018/03/10,Fotbalova Liga,0,1. FC Slovácko,1646,1654.0,1 - 0,Bohemians 1905,1687,1679.0,1,0,Czech Republic,domestic league (tier 1)
2018/03/31,Fotbalova Liga,0,1. FC Slovácko,1658,1649.0,0 - 1,Slovan Liberec,1800,1809.0,0,1,Czech Republic,domestic league (tier 1)
2018/04/14,Fotbalova Liga,0,1. FC Slovácko,1652,1658.0,1 - 0,Zbrojovka Brno,1623,1617.0,1,0,Czech Republic,domestic league (tier 1)
2018/04/21,Fotbalova Liga,0,1. FC Slovácko,1658,1669.0,2 - 0,FK Dukla Praha,1672,1661.0,2,0,Czech Republic,domestic league (tier 1)
2018/05/05,Fotbalova Liga,0,1. FC Slovácko,1676,1674.0,0 - 0,FK Teplice,1715,1717.0,0,0,Czech Republic,domestic league (tier 1)
