Date,Competition,Neutral Venue,Home,PreHElo,PostHElo,Result,Away,PreAElo,PostAElo,Home Goals,Away Goals,Country,Category
2016/07/31,1. Division Denmark,0,AB Gladsaxe,1311,1309.0,3 - 3,Næstved BK,1323,1325.0,3,3,Denmark,domestic league (tier 2)
2016/08/21,1. Division Denmark,0,AB Gladsaxe,1298,1284.0,1 - 2,Nykøbing FC,1245,1259.0,1,2,Denmark,domestic league (tier 2)
2016/09/04,1. Division Denmark,0,AB Gladsaxe,1291,1275.0,0 - 2,FC Roskilde,1367,1383.0,0,2,Denmark,domestic league (tier 2)
2016/09/11,1. Division Denmark,0,AB Gladsaxe,1275,1259.0,1 - 3,Skive IK,1354,1370.0,1,3,Denmark,domestic league (tier 2)
2016/09/25,1. Division Denmark,0,AB Gladsaxe,1256,1246.0,1 - 3,Vendsyssel FF,1467,1477.0,1,3,Denmark,domestic league (tier 2)
2016/10/09,1. Division Denmark,0,AB Gladsaxe,1270,1258.0,0 - 3,Hobro IK,1477,1489.0,0,3,Denmark,domestic league (tier 2)
2016/10/23,1. Division Denmark,0,AB Gladsaxe,1271,1284.0,2 - 1,HB Køge,1465,1452.0,2,1,Denmark,domestic league (tier 2)
2016/11/06,1. Division Denmark,0,AB Gladsaxe,1279,1269.0,1 - 2,Fremad Amager,1364,1374.0,1,2,Denmark,domestic league (tier 2)
2016/11/20,1. Division Denmark,0,AB Gladsaxe,1266,1256.0,2 - 3,FC Fredericia,1380,1390.0,2,3,Denmark,domestic league (tier 2)
2017/03/05,1. Division Denmark,0,AB Gladsaxe,1248,1234.0,0 - 4,FC Roskilde,1441,1455.0,0,4,Denmark,domestic league (tier 2)
2017/03/19,1. Division Denmark,0,AB Gladsaxe,1230,1222.0,1 - 2,Vejle BK,1394,1402.0,1,2,Denmark,domestic league (tier 2)
2017/04/09,1. Division Denmark,0,AB Gladsaxe,1253,1242.0,0 - 1,Næstved BK,1319,1330.0,0,1,Denmark,domestic league (tier 2)
2017/04/30,1. Division Denmark,0,AB Gladsaxe,1256,1244.0,0 - 3,Vendsyssel FF,1463,1475.0,0,3,Denmark,domestic league (tier 2)
2017/05/11,1. Division Denmark,0,AB Gladsaxe,1250,1262.0,2 - 1,FC Helsingør,1438,1426.0,2,1,Denmark,domestic league (tier 2)
