Date,Competition,Neutral Venue,Home,PreHElo,PostHElo,Result,Away,PreAElo,PostAElo,Home Goals,Away Goals,Country,Category
2016/08/01,Meistriliiga,0,FC Flora,1252,1269.0,6 - 1,FCI Levadia (as FC Levadia),1304,1287.0,6,1,Estonia,domestic league (tier 1)
2016/08/06,Meistriliiga,0,FC Flora,1269,1271.0,4 - 1,JK Narva Trans,860,858.0,4,1,Estonia,domestic league (tier 1)
2016/08/12,Meistriliiga,0,FC Flora,1271,1272.0,3 - 0,Pärnu Linnameeskond,643,642.0,3,0,Estonia,domestic league (tier 1)
2016/08/23,Meistriliiga,0,FC Flora,1285,1291.0,3 - 0,FC Infonet,1123,1117.0,3,0,Estonia,domestic league (tier 1)
2016/09/10,Meistriliiga,0,FC Flora,1293,1290.0,1 - 1,JK Nõmme Kalju,1273,1276.0,1,1,Estonia,domestic league (tier 1)
2016/09/13,Meistriliiga,0,FC Flora,1290,1294.0,2 - 1,FC Infonet,1126,1122.0,2,1,Estonia,domestic league (tier 1)
2016/09/23,Meistriliiga,0,FC Flora,1275,1275.0,4 - 0,Rakvere JK Tarvas,494,494.0,4,0,Estonia,domestic league (tier 1)
2016/10/22,Meistriliiga,0,FC Flora,1274,1276.0,4 - 0,Paide Linnameeskond,900,898.0,4,0,Estonia,domestic league (tier 1)
2016/10/29,Meistriliiga,0,FC Flora,1276,1268.0,3 - 3,JK Sillamäe Kalev,1023,1031.0,3,3,Estonia,domestic league (tier 1)
2017/03/04,Meistriliiga,0,FC Flora,1234,1232.0,1 - 1,FCI Levadia (as FC Levadia),1260,1262.0,1,1,Estonia,domestic league (tier 1)
2017/03/18,Meistriliiga,0,FC Flora,1235,1236.0,2 - 0,Pärnu JK Vaprus,692,691.0,2,0,Estonia,domestic league (tier 1)
2017/04/01,Meistriliiga,0,FC Flora,1236,1238.0,4 - 0,JK Tammeka,806,804.0,4,0,Estonia,domestic league (tier 1)
2017/04/08,Meistriliiga,0,FC Flora,1238,1242.0,2 - 0,JK Sillamäe Kalev,1018,1014.0,2,0,Estonia,domestic league (tier 1)
2017/04/14,Meistriliiga,0,FC Flora,1242,1244.0,3 - 0,Paide Linnameeskond,883,881.0,3,0,Estonia,domestic league (tier 1)
