Date,Competition,Neutral Venue,Home,PreHElo,PostHElo,Result,Away,PreAElo,PostAElo,Home Goals,Away Goals,Country,Category
2017/03/19,Effodeildin,0,07 Vestur,766,755.0,0 - 1,TB/FCS/Royn,835,846.0,0,1,Faroe Islands,domestic league (tier 1)
2017/04/09,Effodeildin,0,07 Vestur,750,746.0,0 - 2,KÍ Klaksvík,1197,1201.0,0,2,Faroe Islands,domestic league (tier 1)
2017/04/30,Effodeildin,0,07 Vestur,786,787.0,1 - 1,Skála ÍF,911,910.0,1,1,Faroe Islands,domestic league (tier 1)
2017/06/03,Effodeildin,0,07 Vestur,791,784.0,1 - 4,HB Tórshavn,1119,1126.0,1,4,Faroe Islands,domestic league (tier 1)
2017/06/14,Effodeildin,0,07 Vestur,784,795.0,3 - 2,ÍF Fuglafjørður,912,901.0,3,2,Faroe Islands,domestic league (tier 1)
2017/06/23,Effodeildin,0,07 Vestur,788,785.0,2 - 4,Víkingur,1293,1296.0,2,4,Faroe Islands,domestic league (tier 1)
2017/07/22,Effodeildin,0,07 Vestur,785,779.0,0 - 7,NSÍ Runavík,1212,1218.0,0,7,Faroe Islands,domestic league (tier 1)
2017/08/12,Effodeildin,0,07 Vestur,794,795.0,2 - 2,EB/Streymur,915,914.0,2,2,Faroe Islands,domestic league (tier 1)
2017/08/24,Effodeildin,0,07 Vestur,793,800.0,1 - 1,KÍ Klaksvík,1193,1186.0,1,1,Faroe Islands,domestic league (tier 1)
2017/09/16,Effodeildin,0,07 Vestur,799,822.0,5 - 0,Skála ÍF,947,924.0,5,0,Faroe Islands,domestic league (tier 1)
2017/09/24,Effodeildin,0,07 Vestur,813,830.0,4 - 3,B36 Tórshavn,1223,1206.0,4,3,Faroe Islands,domestic league (tier 1)
2017/10/01,Effodeildin,0,07 Vestur,830,826.0,2 - 3,NSÍ Runavík,1185,1189.0,2,3,Faroe Islands,domestic league (tier 1)
2017/10/15,Effodeildin,0,07 Vestur,826,840.0,3 - 1,TB/FCS/Royn,914,900.0,3,1,Faroe Islands,domestic league (tier 1)
2018/03/17,Effodeildin,0,07 Vestur,869,856.0,1 - 2,TB/FCS/Royn,873,886.0,1,2,Faroe Islands,domestic league (tier 1)
2018/04/02,Effodeildin,0,07 Vestur,856,837.0,0 - 3,EB/Streymur,926,945.0,0,3,Faroe Islands,domestic league (tier 1)
2018/04/12,Effodeildin,0,07 Vestur,835,832.0,2 - 3,KÍ Klaksvík,1256,1259.0,2,3,Faroe Islands,domestic league (tier 1)
2018/04/15,Effodeildin,0,07 Vestur,832,825.0,0 - 3,B36 Tórshavn,1180,1187.0,0,3,Faroe Islands,domestic league (tier 1)
2018/05/13,Effodeildin,0,07 Vestur,813,796.0,0 - 3,TB/FCS/Royn,916,933.0,0,3,Faroe Islands,domestic league (tier 1)
2018/05/21,Effodeildin,0,07 Vestur,796,789.0,0 - 5,NSÍ Runavík,1166,1173.0,0,5,Faroe Islands,domestic league (tier 1)
2018/05/27,Effodeildin,0,07 Vestur,789,811.0,4 - 1,Skála ÍF,971,949.0,4,1,Faroe Islands,domestic league (tier 1)
2018/06/22,Effodeildin,0,07 Vestur,805,802.0,0 - 1,Víkingur,1208,1211.0,0,1,Faroe Islands,domestic league (tier 1)
2018/08/12,Effodeildin,0,07 Vestur,801,809.0,1 - 0,AB Argir,835,827.0,1,0,Faroe Islands,domestic league (tier 1)
2018/08/16,Effodeildin,0,07 Vestur,809,804.0,1 - 4,HB Tórshavn,1227,1232.0,1,4,Faroe Islands,domestic league (tier 1)
2018/09/16,Effodeildin,0,07 Vestur,827,823.0,1 - 3,B36 Tórshavn,1237,1241.0,1,3,Faroe Islands,domestic league (tier 1)
2018/10/06,Effodeildin,0,07 Vestur,831,856.0,4 - 2,KÍ Klaksvík,1228,1203.0,4,2,Faroe Islands,domestic league (tier 1)
2018/10/23,Effodeildin,0,07 Vestur,856,855.0,3 - 3,EB/Streymur,910,911.0,3,3,Faroe Islands,domestic league (tier 1)
2021/03/07,Effodeildin,0,07 Vestur,866,862.0,0 - 2,B36 Tórshavn,1287,1291.0,0,2,Faroe Islands,domestic league (tier 1)
2021/03/13,Effodeildin,0,07 Vestur,862,867.0,3 - 2,B68 Toftir,768,763.0,3,2,Faroe Islands,domestic league (tier 1)
2021/04/25,Effodeildin,0,07 Vestur,871,864.0,2 - 4,Víkingur,1163,1170.0,2,4,Faroe Islands,domestic league (tier 1)
2021/04/28,Effodeildin,0,07 Vestur,864,844.0,1 - 3,EB/Streymur,855,875.0,1,3,Faroe Islands,domestic league (tier 1)
2021/05/02,Effodeildin,0,07 Vestur,844,841.0,0 - 5,KÍ Klaksvík,1357,1360.0,0,5,Faroe Islands,domestic league (tier 1)
2021/05/13,Effodeildin,0,07 Vestur,850,846.0,0 - 9,KÍ Klaksvík,1369,1373.0,0,9,Faroe Islands,domestic league (tier 1)
2021/06/14,Effodeildin,0,07 Vestur,853,860.0,1 - 0,ÍF Fuglafjørður,828,821.0,1,0,Faroe Islands,domestic league (tier 1)
2021/06/26,Effodeildin,0,07 Vestur,857,852.0,2 - 4,NSÍ Runavík,1239,1244.0,2,4,Faroe Islands,domestic league (tier 1)
2021/07/27,Effodeildin,0,07 Vestur,852,840.0,0 - 1,EB/Streymur,871,883.0,0,1,Faroe Islands,domestic league (tier 1)
2021/08/08,Effodeildin,0,07 Vestur,839,848.0,3 - 1,TB Tvøroyri,785,776.0,3,1,Faroe Islands,domestic league (tier 1)
2021/08/28,Effodeildin,0,07 Vestur,879,874.0,1 - 1,B68 Toftir,807,812.0,1,1,Faroe Islands,domestic league (tier 1)
2021/09/12,Effodeildin,0,07 Vestur,874,881.0,2 - 2,B36 Tórshavn,1257,1250.0,2,2,Faroe Islands,domestic league (tier 1)
2021/09/26,Effodeildin,0,07 Vestur,880,877.0,1 - 2,Víkingur,1252,1255.0,1,2,Faroe Islands,domestic league (tier 1)
2021/10/24,Effodeildin,0,07 Vestur,886,883.0,0 - 5,HB Tórshavn,1400,1403.0,0,5,Faroe Islands,domestic league (tier 1)
2022/03/05,Effodeildin,0,07 Vestur,899,895.0,2 - 3,Víkingur,1241,1245.0,2,3,Faroe Islands,domestic league (tier 1)
2022/04/10,Effodeildin,0,07 Vestur,881,887.0,1 - 0,B68 Toftir,854,848.0,1,0,Faroe Islands,domestic league (tier 1)
2022/04/24,Effodeildin,0,07 Vestur,906,920.0,3 - 2,NSÍ Runavík,1155,1141.0,3,2,Faroe Islands,domestic league (tier 1)
2022/05/15,Effodeildin,0,07 Vestur,926,923.0,0 - 6,KÍ Klaksvík,1461,1464.0,0,6,Faroe Islands,domestic league (tier 1)
2022/05/28,Effodeildin,0,07 Vestur,933,940.0,2 - 0,Skála ÍF,833,826.0,2,0,Faroe Islands,domestic league (tier 1)
2022/06/19,Effodeildin,0,07 Vestur,940,917.0,1 - 3,AB Argir,840,863.0,1,3,Faroe Islands,domestic league (tier 1)
2022/06/26,Effodeildin,0,07 Vestur,917,912.0,0 - 1,B36 Tórshavn,1203,1208.0,0,1,Faroe Islands,domestic league (tier 1)
2022/07/02,Effodeildin,0,07 Vestur,912,919.0,5 - 4,EB/Streymur,890,883.0,5,4,Faroe Islands,domestic league (tier 1)
2022/08/14,Effodeildin,0,07 Vestur,934,906.0,2 - 6,B68 Toftir,837,865.0,2,6,Faroe Islands,domestic league (tier 1)
2022/09/04,Effodeildin,0,07 Vestur,917,924.0,1 - 1,Víkingur,1328,1321.0,1,1,Faroe Islands,domestic league (tier 1)
2022/09/07,Faroe Islands Cup,0,07 Vestur,924,933.0,2 - 2,KÍ Klaksvík,1507,1498.0,2,2,Faroe Islands,domestic cup
2022/09/11,Effodeildin,0,07 Vestur,933,928.0,0 - 4,HB Tórshavn,1352,1357.0,0,4,Faroe Islands,domestic league (tier 1)
2022/10/08,Effodeildin,0,07 Vestur,935,940.0,1 - 1,B36 Tórshavn,1223,1218.0,1,1,Faroe Islands,domestic league (tier 1)
2022/10/22,Effodeildin,0,07 Vestur,960,955.0,1 - 1,AB Argir,862,867.0,1,1,Faroe Islands,domestic league (tier 1)
2023/03/04,Effodeildin,0,07 Vestur,955,959.0,1 - 0,ÍF Fuglafjørður,794,790.0,1,0,Faroe Islands,domestic league (tier 1)
