Date,Competition,Neutral Venue,Home,PreHElo,PostHElo,Result,Away,PreAElo,PostAElo,Home Goals,Away Goals,Country,Category
2018/04/28,Ykkönen,0,AC Kajaani,1062,1075.0,2 - 1,AC Oulu,1282,1269.0,2,1,Finland,domestic league (tier 2)
2018/05/05,Ykkönen,0,AC Kajaani,1075,1061.0,1 - 3,KTP,1198,1212.0,1,3,Finland,domestic league (tier 2)
2018/05/21,Ykkönen,0,AC Kajaani,1059,1079.0,2 - 0,Haka Valkeakoski,1281,1261.0,2,0,Finland,domestic league (tier 2)
2018/06/09,Ykkönen,0,AC Kajaani,1097,1083.0,0 - 2,Ekenäs IF,1231,1245.0,0,2,Finland,domestic league (tier 2)
2018/06/20,Ykkönen,0,AC Kajaani,1089,1104.0,2 - 1,Helsingfors IFK,1360,1345.0,2,1,Finland,domestic league (tier 2)
2018/07/07,Ykkönen,0,AC Kajaani,1106,1099.0,0 - 1,KPV Kokkola,1305,1312.0,0,1,Finland,domestic league (tier 2)
2018/07/28,Ykkönen,0,AC Kajaani,1101,1097.0,2 - 2,Klubi 04,1042,1046.0,2,2,Finland,domestic league (tier 2)
2018/08/11,Ykkönen,0,AC Kajaani,1094,1084.0,0 - 1,JJK Jyväskylä,1211,1221.0,0,1,Finland,domestic league (tier 2)
2018/09/01,Ykkönen,0,AC Kajaani,1099,1115.0,3 - 1,KTP,1211,1195.0,3,1,Finland,domestic league (tier 2)
2018/09/15,Ykkönen,0,AC Kajaani,1109,1101.0,1 - 2,Haka Valkeakoski,1274,1282.0,1,2,Finland,domestic league (tier 2)
2018/09/22,Ykkönen,0,AC Kajaani,1101,1093.0,0 - 1,FF Jaro,1264,1272.0,0,1,Finland,domestic league (tier 2)
2018/10/06,Ykkönen,0,AC Kajaani,1080,1082.0,1 - 1,Ekenäs IF,1259,1257.0,1,1,Finland,domestic league (tier 2)
2018/10/27,Ykkönen,0,AC Kajaani,1097,1092.0,0 - 1,Helsingfors IFK,1382,1387.0,0,1,Finland,domestic league (tier 2)
2019/04/27,Ykkönen,0,AC Kajaani,1096,1083.0,1 - 2,Musan Salama,1085,1098.0,1,2,Finland,domestic league (tier 2)
2019/05/06,Ykkönen,0,AC Kajaani,1083,1074.0,0 - 2,AC Oulu,1335,1344.0,0,2,Finland,domestic league (tier 2)
