Date,Competition,Neutral Venue,Home,PreHElo,PostHElo,Result,Away,PreAElo,PostAElo,Home Goals,Away Goals,Country,Category
2016/08/05,Ligue 2,0,AC Ajaccio,1611,1619.0,2 - 1,ESTAC Troyes,1647,1639.0,2,1,France,domestic league (tier 2)
2016/08/19,Ligue 2,0,AC Ajaccio,1599,1610.0,3 - 1,FC Bourg-Péronnas,1595,1584.0,3,1,France,domestic league (tier 2)
2016/09/09,Ligue 2,0,AC Ajaccio,1604,1593.0,1 - 2,Red Star FC,1654,1665.0,1,2,France,domestic league (tier 2)
2016/09/20,Ligue 2,0,AC Ajaccio,1597,1611.0,2 - 0,AJ Auxerre,1680,1666.0,2,0,France,domestic league (tier 2)
2016/09/30,Ligue 2,0,AC Ajaccio,1606,1605.0,1 - 1,Stade Brest,1677,1678.0,1,1,France,domestic league (tier 2)
2016/10/14,Ligue 2,0,AC Ajaccio,1605,1616.0,1 - 0,Stade Reims,1756,1745.0,1,0,France,domestic league (tier 2)
2016/10/28,Ligue 2,0,AC Ajaccio,1610,1590.0,1 - 3,Stade Laval,1598,1618.0,1,3,France,domestic league (tier 2)
2016/11/18,Ligue 2,0,AC Ajaccio,1596,1607.0,2 - 0,RC Strasbourg,1606,1595.0,2,0,France,domestic league (tier 2)
2016/11/29,Ligue 2,0,AC Ajaccio,1611,1608.0,1 - 1,Amiens SC,1620,1623.0,1,1,France,domestic league (tier 2)
2016/12/16,Ligue 2,0,AC Ajaccio,1599,1588.0,1 - 2,Nîmes Olympique,1650,1661.0,1,2,France,domestic league (tier 2)
2017/01/20,Ligue 2,0,AC Ajaccio,1602,1607.0,1 - 0,US Orléans,1527,1522.0,1,0,France,domestic league (tier 2)
2017/02/03,Ligue 2,0,AC Ajaccio,1601,1610.0,2 - 1,Clermont Foot 63 (as Clermont Foot),1673,1664.0,2,1,France,domestic league (tier 2)
2017/02/10,Ligue 2,0,AC Ajaccio,1599,1608.0,3 - 2,Valenciennes FC,1650,1641.0,3,2,France,domestic league (tier 2)
2017/02/24,Ligue 2,0,AC Ajaccio,1602,1602.0,0 - 0,FC Sochaux,1687,1687.0,0,0,France,domestic league (tier 2)
2017/03/17,Ligue 2,0,AC Ajaccio,1609,1608.0,0 - 0,Havre AC,1687,1688.0,0,0,France,domestic league (tier 2)
2017/04/10,Ligue 2,0,AC Ajaccio,1610,1594.0,3 - 6,RC Lens,1731,1747.0,3,6,France,domestic league (tier 2)
2017/04/21,Ligue 2,0,AC Ajaccio,1586,1599.0,3 - 1,Chamois Niortais,1641,1628.0,3,1,France,domestic league (tier 2)
2017/05/08,Ligue 2,0,AC Ajaccio,1593,1603.0,1 - 0,GFC Ajaccio,1698,1688.0,1,0,France,domestic league (tier 2)
