Date,Competition,Neutral Venue,Home,PreHElo,PostHElo,Result,Away,PreAElo,PostAElo,Home Goals,Away Goals,Country,Category
2016/08/07,Umaglesi Liga,0,Chikhura Sachkhere,1407,1410.0,0 - 0,Dinamo Tbilisi,1603,1600.0,0,0,Georgia,domestic league (tier 1)
2016/08/20,Umaglesi Liga,0,Chikhura Sachkhere,1422,1424.0,3 - 2,Lokomotiv Tbilisi,1159,1157.0,3,2,Georgia,domestic league (tier 1)
2016/09/17,Umaglesi Liga,0,Chikhura Sachkhere,1442,1424.0,1 - 2,Guria Lanchkhuti,1203,1221.0,1,2,Georgia,domestic league (tier 1)
2016/10/15,Umaglesi Liga,0,Chikhura Sachkhere,1455,1447.0,1 - 1,FC Kobuleti,1195,1203.0,1,1,Georgia,domestic league (tier 1)
2016/10/29,Umaglesi Liga,0,Chikhura Sachkhere,1456,1460.0,2 - 1,Torpedo Kutaisi,1337,1333.0,2,1,Georgia,domestic league (tier 1)
2016/11/26,Umaglesi Liga,0,Chikhura Sachkhere,1443,1449.0,4 - 1,FC Tskhinvali (as Spartaki Tskhinvali),1281,1275.0,4,1,Georgia,domestic league (tier 1)
2016/12/11,Umaglesi Liga,0,Chikhura Sachkhere,1439,1437.0,2 - 2,FC Samtredia,1473,1475.0,2,2,Georgia,domestic league (tier 1)
2017/03/05,Umaglesi Liga,0,Chikhura Sachkhere,1437,1433.0,0 - 0,Dila Gori,1402,1406.0,0,0,Georgia,domestic league (tier 1)
2017/03/19,Umaglesi Liga,0,Chikhura Sachkhere,1447,1451.0,3 - 1,FC Kobuleti,1234,1230.0,3,1,Georgia,domestic league (tier 1)
2017/04/02,Umaglesi Liga,0,Chikhura Sachkhere,1451,1436.0,0 - 1,Dinamo Batumi,1342,1357.0,0,1,Georgia,domestic league (tier 1)
2017/04/09,Umaglesi Liga,0,Chikhura Sachkhere,1431,1435.0,2 - 1,FC Saburtalo,1280,1276.0,2,1,Georgia,domestic league (tier 1)
2017/04/21,Umaglesi Liga,0,Chikhura Sachkhere,1426,1431.0,3 - 1,Kolkheti Poti,1233,1228.0,3,1,Georgia,domestic league (tier 1)
2017/05/10,Umaglesi Liga,0,Chikhura Sachkhere,1405,1393.0,1 - 2,FC Samtredia,1451,1463.0,1,2,Georgia,domestic league (tier 1)
2017/05/24,Umaglesi Liga,0,Chikhura Sachkhere,1404,1416.0,2 - 1,Dinamo Tbilisi,1581,1569.0,2,1,Georgia,domestic league (tier 1)
2017/06/02,Umaglesi Liga,0,Chikhura Sachkhere,1425,1404.0,0 - 3,Torpedo Kutaisi,1450,1471.0,0,3,Georgia,domestic league (tier 1)
2017/07/23,Umaglesi Liga,0,Chikhura Sachkhere,1418,1427.0,4 - 2,Dila Gori,1373,1364.0,4,2,Georgia,domestic league (tier 1)
2017/08/06,Umaglesi Liga,0,Chikhura Sachkhere,1416,1408.0,1 - 1,FC Kobuleti,1151,1159.0,1,1,Georgia,domestic league (tier 1)
2017/08/13,Umaglesi Liga,0,Chikhura Sachkhere,1408,1413.0,2 - 1,Dinamo Batumi,1303,1298.0,2,1,Georgia,domestic league (tier 1)
2017/08/25,Umaglesi Liga,0,Chikhura Sachkhere,1406,1401.0,0 - 0,FC Saburtalo,1313,1318.0,0,0,Georgia,domestic league (tier 1)
2017/09/17,Umaglesi Liga,0,Chikhura Sachkhere,1430,1432.0,2 - 1,Kolkheti Poti,1186,1184.0,2,1,Georgia,domestic league (tier 1)
2017/10/13,Umaglesi Liga,0,Chikhura Sachkhere,1404,1393.0,1 - 2,FC Samtredia,1462,1473.0,1,2,Georgia,domestic league (tier 1)
2017/10/28,Umaglesi Liga,0,Chikhura Sachkhere,1408,1394.0,1 - 3,Dinamo Tbilisi,1529,1543.0,1,3,Georgia,domestic league (tier 1)
2017/11/18,Umaglesi Liga,0,Chikhura Sachkhere,1407,1390.0,1 - 3,Torpedo Kutaisi,1467,1484.0,1,3,Georgia,domestic league (tier 1)
2017/11/26,Umaglesi Liga,0,Chikhura Sachkhere,1402,1407.0,1 - 0,Lokomotiv Tbilisi,1305,1300.0,1,0,Georgia,domestic league (tier 1)
2018/03/03,Umaglesi Liga,0,Chikhura Sachkhere,1412,1417.0,6 - 1,Kolkheti Poti,1181,1176.0,6,1,Georgia,domestic league (tier 1)
2018/03/17,Umaglesi Liga,0,Chikhura Sachkhere,1417,1420.0,1 - 0,Metalurgi Rustavi,1215,1212.0,1,0,Georgia,domestic league (tier 1)
2018/04/05,Umaglesi Liga,0,Chikhura Sachkhere,1419,1410.0,1 - 2,Dinamo Tbilisi,1545,1554.0,1,2,Georgia,domestic league (tier 1)
2018/04/22,Umaglesi Liga,0,Chikhura Sachkhere,1439,1436.0,0 - 0,FC Samtredia,1415,1418.0,0,0,Georgia,domestic league (tier 1)
2018/04/27,Umaglesi Liga,0,Chikhura Sachkhere,1436,1444.0,2 - 1,FC Saburtalo,1448,1440.0,2,1,Georgia,domestic league (tier 1)
2018/05/12,Umaglesi Liga,0,Chikhura Sachkhere,1451,1425.0,0 - 3,Dila Gori,1360,1386.0,0,3,Georgia,domestic league (tier 1)
2018/05/26,Umaglesi Liga,0,Chikhura Sachkhere,1439,1414.0,1 - 3,Lokomotiv Tbilisi,1276,1301.0,1,3,Georgia,domestic league (tier 1)
2018/06/18,Umaglesi Liga,0,Chikhura Sachkhere,1410,1419.0,1 - 0,Torpedo Kutaisi,1459,1450.0,1,0,Georgia,domestic league (tier 1)
2018/07/05,Umaglesi Liga,0,Chikhura Sachkhere,1424,1429.0,4 - 0,Sioni Bolnisi,1212,1207.0,4,0,Georgia,domestic league (tier 1)
