Date,Competition,Neutral Venue,Home,PreHElo,PostHElo,Result,Away,PreAElo,PostAElo,Home Goals,Away Goals,Country,Category
2022/07/30,Regionalliga (4th level),0,1. FC Bocholt,1228,1214.0,1 - 2,Fortuna Düsseldorf II,1197,1211.0,1,2,Germany,domestic league (tier 4)
2022/08/13,Regionalliga (4th level),0,1. FC Bocholt,1211,1213.0,2 - 2,Wuppertaler SV,1388,1386.0,2,2,Germany,domestic league (tier 4)
2022/08/27,Regionalliga (4th level),0,1. FC Bocholt,1217,1225.0,3 - 2,SG Wattenscheid 09,1258,1250.0,3,2,Germany,domestic league (tier 4)
2022/09/17,Regionalliga (4th level),0,1. FC Bocholt,1220,1233.0,2 - 0,Alemannia Aachen,1271,1258.0,2,0,Germany,domestic league (tier 4)
2022/10/08,Regionalliga (4th level),0,1. FC Bocholt,1236,1245.0,4 - 0,SV 19 Straelen,1143,1134.0,4,0,Germany,domestic league (tier 4)
2022/10/22,Regionalliga (4th level),0,1. FC Bocholt,1267,1246.0,1 - 3,SV Lippstadt 08,1222,1243.0,1,3,Germany,domestic league (tier 4)
2022/11/05,Regionalliga (4th level),0,1. FC Bocholt,1262,1237.0,2 - 8,FC Schalke 04 II,1299,1324.0,2,8,Germany,domestic league (tier 4)
2022/11/26,Regionalliga (4th level),0,1. FC Bocholt,1229,1200.0,0 - 3,1. FC Düren,1057,1086.0,0,3,Germany,domestic league (tier 4)
2023/01/28,Regionalliga (4th level),0,1. FC Bocholt,1203,1194.0,0 - 1,Fortuna Köln,1340,1349.0,0,1,Germany,domestic league (tier 4)
2023/02/11,Regionalliga (4th level),0,1. FC Bocholt,1189,1200.0,4 - 2,Rot Weiss Ahlen,1186,1175.0,4,2,Germany,domestic league (tier 4)
2023/02/25,Regionalliga (4th level),0,1. FC Bocholt,1219,1218.0,0 - 0,SC Wiedenbrück,1280,1281.0,0,0,Germany,domestic league (tier 4)
