Date,Competition,Neutral Venue,Home,PreHElo,PostHElo,Result,Away,PreAElo,PostAElo,Home Goals,Away Goals,Country,Category
2018/08/18,Premier Division Gibraltar,0,Boca Gibraltar,680,671.0,0 - 3,Mons Calpe S.C.,974,983.0,0,3,Gibraltor,domestic league (tier 1)
2018/10/02,Premier Division Gibraltar,0,Boca Gibraltar,669,659.0,0 - 2,Glacis United FC,897,907.0,0,2,Gibraltor,domestic league (tier 1)
2018/10/27,Premier Division Gibraltar,0,Boca Gibraltar,675,663.0,2 - 5,Gibraltar Phoenix,881,893.0,2,5,Gibraltor,domestic league (tier 1)
2018/11/22,Premier Division Gibraltar,0,Boca Gibraltar,663,672.0,1 - 0,Lions Gibraltar,735,726.0,1,0,Gibraltor,domestic league (tier 1)
2018/11/27,Premier Division Gibraltar,0,Boca Gibraltar,672,665.0,0 - 4,Gibraltar United FC,1028,1035.0,0,4,Gibraltor,domestic league (tier 1)
2018/12/06,Premier Division Gibraltar,0,Boca Gibraltar,664,672.0,1 - 1,St. Josephs FC,1135,1127.0,1,1,Gibraltor,domestic league (tier 1)
2019/02/02,Premier Division Gibraltar,0,Boca Gibraltar,660,658.0,0 - 11,Lincoln Red Imps,1293,1295.0,0,11,Gibraltor,domestic league (tier 1)
2019/02/23,Premier Division Gibraltar,0,Boca Gibraltar,652,649.0,0 - 9,Europa FC,1253,1256.0,0,9,Gibraltor,domestic league (tier 1)
2019/03/09,Premier Division Gibraltar,0,Boca Gibraltar,648,641.0,0 - 5,Mons Calpe S.C.,1012,1019.0,0,5,Gibraltor,domestic league (tier 1)
2019/04/07,Premier Division Gibraltar,0,Boca Gibraltar,638,630.0,2 - 3,Glacis United FC,824,832.0,2,3,Gibraltor,domestic league (tier 1)
2019/04/25,Premier Division Gibraltar,0,Boca Gibraltar,627,615.0,0 - 8,Gibraltar Phoenix,920,932.0,0,8,Gibraltor,domestic league (tier 1)
2019/05/11,Premier Division Gibraltar,0,Boca Gibraltar,615,589.0,0 - 7,Lions Gibraltar,668,694.0,0,7,Gibraltor,domestic league (tier 1)
2019/09/19,Premier Division Gibraltar,0,Boca Gibraltar,592,585.0,1 - 3,Lynx FC,898,905.0,1,3,Gibraltor,domestic league (tier 1)
2019/09/29,Premier Division Gibraltar,0,Boca Gibraltar,585,593.0,1 - 1,Mons Calpe S.C.,1050,1042.0,1,1,Gibraltor,domestic league (tier 1)
2019/10/19,Premier Division Gibraltar,0,Boca Gibraltar,593,591.0,1 - 1,Europa Point FC,606,608.0,1,1,Gibraltor,domestic league (tier 1)
2019/11/04,Premier Division Gibraltar,0,Boca Gibraltar,613,602.0,1 - 2,FCB Magpies,661,672.0,1,2,Gibraltor,domestic league (tier 1)
2019/11/27,Premier Division Gibraltar,0,Boca Gibraltar,602,601.0,1 - 8,Lincoln Red Imps,1291,1292.0,1,8,Gibraltor,domestic league (tier 1)
2020/01/14,Premier Division Gibraltar,0,Boca Gibraltar,618,598.0,2 - 4,Europa Point FC,590,610.0,2,4,Gibraltor,domestic league (tier 1)
2020/01/28,Premier Division Gibraltar,0,Boca Gibraltar,603,598.0,0 - 2,Mons Calpe S.C.,993,998.0,0,2,Gibraltor,domestic league (tier 1)
2020/02/20,Premier Division Gibraltar,0,Boca Gibraltar,613,619.0,7 - 5,College 1975 FC,460,454.0,7,5,Gibraltor,domestic league (tier 1)
2020/10/25,Premier Division Gibraltar,0,Boca Gibraltar,612,619.0,6 - 1,College 1975 FC,457,450.0,6,1,Gibraltor,domestic league (tier 1)
2020/12/05,Premier Division Gibraltar,0,Boca Gibraltar,637,630.0,0 - 3,Mons Calpe S.C.,990,997.0,0,3,Gibraltor,domestic league (tier 1)
2019/08/24,Premier Division Gibraltar,0,College 1975 FC,587,582.0,1 - 9,Mons Calpe S.C.,1044,1049.0,1,9,Gibraltor,domestic league (tier 1)
2019/09/15,Premier Division Gibraltar,0,College 1975 FC,582,565.0,1 - 3,FCB Magpies,644,661.0,1,3,Gibraltor,domestic league (tier 1)
2019/09/30,Premier Division Gibraltar,0,College 1975 FC,565,548.0,0 - 3,Manchester 62 FC,676,693.0,0,3,Gibraltor,domestic league (tier 1)
2019/10/24,Premier Division Gibraltar,0,College 1975 FC,548,526.0,0 - 4,Boca Gibraltar,591,613.0,0,4,Gibraltor,domestic league (tier 1)
2019/11/01,Premier Division Gibraltar,0,College 1975 FC,526,525.0,0 - 12,Europa FC,1278,1279.0,0,12,Gibraltor,domestic league (tier 1)
2019/11/28,Premier Division Gibraltar,0,College 1975 FC,520,505.0,1 - 6,Lions Gibraltar,705,720.0,1,6,Gibraltor,domestic league (tier 1)
2020/01/23,Premier Division Gibraltar,0,College 1975 FC,491,473.0,2 - 6,Europa Point FC,610,628.0,2,6,Gibraltor,domestic league (tier 1)
2020/02/06,Premier Division Gibraltar,0,College 1975 FC,467,460.0,1 - 2,Glacis United FC,689,696.0,1,2,Gibraltor,domestic league (tier 1)
2020/02/26,Premier Division Gibraltar,0,College 1975 FC,454,451.0,0 - 6,Mons Calpe S.C.,994,997.0,0,6,Gibraltor,domestic league (tier 1)
2020/10/19,Premier Division Gibraltar,0,College 1975 FC,458,457.0,0 - 8,Lincoln Red Imps,1275,1276.0,0,8,Gibraltor,domestic league (tier 1)
2020/11/02,Premier Division Gibraltar,0,College 1975 FC,450,447.0,0 - 6,Mons Calpe S.C.,998,1001.0,0,6,Gibraltor,domestic league (tier 1)
2020/11/23,Premier Division Gibraltar,0,College 1975 FC,447,443.0,1 - 7,Lynx FC,937,941.0,1,7,Gibraltor,domestic league (tier 1)
2020/12/05,Premier Division Gibraltar,0,College 1975 FC,440,428.0,1 - 5,Glacis United FC,680,692.0,1,5,Gibraltor,domestic league (tier 1)
2020/12/19,Premier Division Gibraltar,0,College 1975 FC,428,416.0,1 - 3,Europa Point FC,606,618.0,1,3,Gibraltor,domestic league (tier 1)
2021/02/27,Premier Division Gibraltar,0,College 1975 FC,415,406.0,0 - 3,FCB Magpies,710,719.0,0,3,Gibraltor,domestic league (tier 1)
2021/03/12,Premier Division Gibraltar,0,College 1975 FC,406,428.0,4 - 1,Europa Point FC,600,578.0,4,1,Gibraltor,domestic league (tier 1)
2021/04/09,Premier Division Gibraltar,0,College 1975 FC,431,420.0,1 - 8,FCB Magpies,732,743.0,1,8,Gibraltor,domestic league (tier 1)
2021/04/25,Premier Division Gibraltar,0,College 1975 FC,450,442.0,0 - 2,Glacis United FC,724,732.0,0,2,Gibraltor,domestic league (tier 1)
2021/05/02,Premier Division Gibraltar,0,College 1975 FC,442,444.0,0 - 0,Manchester 62 FC,624,622.0,0,0,Gibraltor,domestic league (tier 1)
2021/10/30,Premier Division Gibraltar,0,College 1975 FC,439,447.0,2 - 1,Europa Point FC,467,459.0,2,1,Gibraltor,domestic league (tier 1)
2021/11/28,Premier Division Gibraltar,0,College 1975 FC,447,444.0,0 - 2,Lynx FC,905,908.0,0,2,Gibraltor,domestic league (tier 1)
2021/12/11,Premier Division Gibraltar,0,College 1975 FC,442,435.0,0 - 2,Glacis United FC,759,766.0,0,2,Gibraltor,domestic league (tier 1)
