Date,Competition,Neutral Venue,Home,PreHElo,PostHElo,Result,Away,PreAElo,PostAElo,Home Goals,Away Goals,Country,Category
2024/09/15,Greece Cup,0,AE Ermionida FC,1287,1273.0,0 - 7,PAS Giannina,1529,1543.0,0,7,Greece,domestic cup
2017/11/05,Football League Greece,0,AE Karaiskakis,1281,1290.0,1 - 0,Acharnaikos FC,1334,1325.0,1,0,Greece,domestic league (tier 2)
2017/11/19,Football League Greece,0,AE Karaiskakis,1316,1324.0,2 - 1,Sparta FC,1360,1352.0,2,1,Greece,domestic league (tier 2)
2017/12/03,Football League Greece,0,AE Karaiskakis,1313,1325.0,3 - 1,Anagennisi Karditsa,1351,1339.0,3,1,Greece,domestic league (tier 2)
2017/12/16,Football League Greece,0,AE Karaiskakis,1314,1309.0,0 - 1,AO Trikala,1588,1593.0,0,1,Greece,domestic league (tier 2)
2018/01/07,Football League Greece,0,AE Karaiskakis,1312,1321.0,2 - 1,Ergotelis,1367,1358.0,2,1,Greece,domestic league (tier 2)
2018/01/14,Football League Greece,0,AE Karaiskakis,1321,1311.0,0 - 1,Panachaiki GE,1406,1416.0,0,1,Greece,domestic league (tier 2)
2018/01/27,Football League Greece,0,AE Karaiskakis,1320,1319.0,0 - 0,Doxa Dramas FC,1396,1397.0,0,0,Greece,domestic league (tier 2)
2018/02/05,Football League Greece,0,AE Karaiskakis,1316,1327.0,2 - 0,Panegialios FC,1328,1317.0,2,0,Greece,domestic league (tier 2)
2018/02/18,Football League Greece,0,AE Karaiskakis,1331,1342.0,2 - 0,Apollon Lárissa (as Apollon Larisa),1343,1332.0,2,0,Greece,domestic league (tier 2)
2018/02/26,Football League Greece,0,AE Karaiskakis,1342,1342.0,2 - 2,PAE Chania (as Kissamikos),1445,1445.0,2,2,Greece,domestic league (tier 2)
2018/03/18,Football League Greece,0,AE Karaiskakis,1344,1355.0,3 - 0,Panserraikos,1310,1299.0,3,0,Greece,domestic league (tier 2)
2018/04/01,Football League Greece,0,AE Karaiskakis,1346,1356.0,2 - 0,Aiginiakos FC,1314,1304.0,2,0,Greece,domestic league (tier 2)
2018/04/14,Football League Greece,0,AE Karaiskakis,1363,1368.0,1 - 0,GS Kallithea,1281,1276.0,1,0,Greece,domestic league (tier 2)
2018/04/29,Football League Greece,0,AE Karaiskakis,1349,1342.0,0 - 2,Aris Saloniki,1659,1666.0,0,2,Greece,domestic league (tier 2)
2018/05/13,Football League Greece,0,AE Karaiskakis,1348,1344.0,1 - 2,OFI Heraklion,1701,1705.0,1,2,Greece,domestic league (tier 2)
2018/05/20,Football League Greece,0,AE Karaiskakis,1345,1354.0,2 - 1,Apollon Pontou (as Apollon Kalamarias),1417,1408.0,2,1,Greece,domestic league (tier 2)
2018/11/03,Football League Greece,0,AE Karaiskakis,1321,1313.0,0 - 1,Platanias Chanion,1477,1485.0,0,1,Greece,domestic league (tier 2)
2018/11/21,Football League Greece,0,AE Karaiskakis,1319,1331.0,4 - 0,Aiginiakos FC,1285,1273.0,4,0,Greece,domestic league (tier 2)
2018/12/02,Football League Greece,0,AE Karaiskakis,1337,1326.0,0 - 1,Apollon Lárissa (as Apollon Larisa),1394,1405.0,0,1,Greece,domestic league (tier 2)
2018/12/16,Football League Greece,0,AE Karaiskakis,1344,1349.0,1 - 0,Aittitos Spaton,1267,1262.0,1,0,Greece,domestic league (tier 2)
2018/12/23,Football League Greece,0,AE Karaiskakis,1349,1345.0,0 - 0,Sparta FC,1287,1291.0,0,0,Greece,domestic league (tier 2)
2019/01/13,Football League Greece,0,AE Karaiskakis,1345,1328.0,0 - 2,Apollon Pontou (as Apollon Kalamarias),1398,1415.0,0,2,Greece,domestic league (tier 2)
2019/01/27,Football League Greece,0,AE Karaiskakis,1324,1335.0,1 - 0,Ergotelis,1456,1445.0,1,0,Greece,domestic league (tier 2)
2019/02/10,Football League Greece,0,AE Karaiskakis,1334,1324.0,0 - 1,Volos NFC,1425,1435.0,0,1,Greece,domestic league (tier 2)
2019/02/24,Football League Greece,0,AE Karaiskakis,1318,1324.0,1 - 0,Irodotos,1271,1265.0,1,0,Greece,domestic league (tier 2)
2019/03/03,Football League Greece,0,AE Karaiskakis,1324,1326.0,1 - 1,AO Kerkyra,1503,1501.0,1,1,Greece,domestic league (tier 2)
2019/03/09,Football League Greece,0,AE Karaiskakis,1337,1329.0,0 - 1,Panachaiki GE,1514,1522.0,0,1,Greece,domestic league (tier 2)
2019/03/24,Football League Greece,0,AE Karaiskakis,1344,1357.0,1 - 0,AEP Iraklis FC,1535,1522.0,1,0,Greece,domestic league (tier 2)
2019/04/07,Football League Greece,0,AE Karaiskakis,1375,1375.0,0 - 0,Doxa Dramas FC,1463,1463.0,0,0,Greece,domestic league (tier 2)
2019/04/17,Football League Greece,0,AE Karaiskakis,1369,1370.0,0 - 0,PAE Chania,1504,1503.0,0,0,Greece,domestic league (tier 2)
2019/05/05,Football League Greece,0,AE Karaiskakis,1375,1357.0,1 - 3,AO Trikala,1408,1426.0,1,3,Greece,domestic league (tier 2)
2019/10/26,Football League Greece,0,AE Karaiskakis,1378,1392.0,2 - 0,Apollon Lárissa (as Apollon Larisa),1465,1451.0,2,0,Greece,domestic league (tier 2)
2019/11/10,Football League Greece,0,AE Karaiskakis,1385,1386.0,1 - 1,Levadiakos,1505,1504.0,1,1,Greece,domestic league (tier 2)
2019/11/24,Football League Greece,0,AE Karaiskakis,1378,1379.0,0 - 0,PAE Chania,1504,1503.0,0,0,Greece,domestic league (tier 2)
2019/12/01,Football League Greece,0,AE Karaiskakis,1379,1386.0,2 - 1,Apollon Pontou,1366,1359.0,2,1,Greece,domestic league (tier 2)
2019/12/15,Football League Greece,0,AE Karaiskakis,1402,1417.0,4 - 2,Platanias Chanion,1507,1492.0,4,2,Greece,domestic league (tier 2)
2020/01/05,Football League Greece,0,AE Karaiskakis,1413,1423.0,3 - 0,AO Kerkyra,1349,1339.0,3,0,Greece,domestic league (tier 2)
2020/01/12,Football League Greece,0,AE Karaiskakis,1423,1422.0,2 - 2,Doxa Dramas FC,1479,1480.0,2,2,Greece,domestic league (tier 2)
2020/01/27,Football League Greece,0,AE Karaiskakis,1414,1428.0,2 - 0,Panachaiki GE,1499,1485.0,2,0,Greece,domestic league (tier 2)
2020/02/09,Football League Greece,0,AE Karaiskakis,1434,1450.0,3 - 0,Ergotelis,1503,1487.0,3,0,Greece,domestic league (tier 2)
2020/03/01,Football League Greece,0,AE Karaiskakis,1454,1444.0,1 - 2,Apollon Smyrnis,1562,1572.0,1,2,Greece,domestic league (tier 2)
2021/01/16,Football League Greece,0,AE Karaiskakis,1437,1424.0,0 - 2,Levadiakos,1575,1588.0,0,2,Greece,domestic league (tier 2)
2021/01/24,Football League Greece,0,AE Karaiskakis,1422,1423.0,1 - 1,PAE Chania,1570,1569.0,1,1,Greece,domestic league (tier 2)
2021/01/31,Football League Greece,0,AE Karaiskakis,1427,1415.0,0 - 1,Ergotelis,1455,1467.0,0,1,Greece,domestic league (tier 2)
2021/02/10,Football League Greece,0,AE Karaiskakis,1403,1395.0,0 - 1,Xanthi FC,1584,1592.0,0,1,Greece,domestic league (tier 2)
2021/02/17,Football League Greece,0,AE Karaiskakis,1384,1394.0,1 - 0,AO Trikala,1476,1466.0,1,0,Greece,domestic league (tier 2)
2021/03/07,Football League Greece,0,AE Karaiskakis,1384,1368.0,2 - 3,OFI Ierapetra,1240,1256.0,2,3,Greece,domestic league (tier 2)
2021/03/17,Football League Greece,0,AE Karaiskakis,1364,1365.0,0 - 0,Panachaiki GE,1482,1481.0,0,0,Greece,domestic league (tier 2)
2021/03/28,Football League Greece,0,AE Karaiskakis,1381,1370.0,1 - 2,Apollon Lárissa,1451,1462.0,1,2,Greece,domestic league (tier 2)
2021/04/07,Football League Greece,0,AE Karaiskakis,1377,1359.0,0 - 3,Ionikos Nikea,1460,1478.0,0,3,Greece,domestic league (tier 2)
2021/04/18,Football League Greece,0,AE Karaiskakis,1354,1352.0,1 - 1,Doxa Dramas FC,1398,1400.0,1,1,Greece,domestic league (tier 2)
2021/04/21,Football League Greece,0,AE Karaiskakis,1352,1359.0,2 - 1,Diagoras FC,1358,1351.0,2,1,Greece,domestic league (tier 2)
2021/05/04,Football League Greece,0,AE Karaiskakis,1373,1373.0,3 - 3,Panachaiki GE,1471,1471.0,3,3,Greece,domestic league (tier 2)
2021/05/18,Football League Greece,0,AE Karaiskakis,1396,1369.0,0 - 3,OFI Ierapetra,1278,1305.0,0,3,Greece,domestic league (tier 2)
2021/09/26,Greece Cup,0,AE Karaiskakis,1369,1360.0,0 - 2,Xanthi FC,1612,1621.0,0,2,Greece,domestic cup
2021/11/13,Football League Greece,0,AE Karaiskakis,1368,1347.0,0 - 2,AE Kifisias,1316,1337.0,0,2,Greece,domestic league (tier 2)
2021/11/24,Football League Greece,0,AE Karaiskakis,1339,1329.0,0 - 1,Kalamata,1451,1461.0,0,1,Greece,domestic league (tier 2)
2021/12/11,Football League Greece,0,AE Karaiskakis,1331,1343.0,3 - 2,Ergotelis,1503,1491.0,3,2,Greece,domestic league (tier 2)
2021/12/19,Football League Greece,0,AE Karaiskakis,1344,1340.0,0 - 0,Diagoras FC,1293,1297.0,0,0,Greece,domestic league (tier 2)
2022/01/23,Football League Greece,0,AE Karaiskakis,1329,1334.0,2 - 1,Irodotos,1225,1220.0,2,1,Greece,domestic league (tier 2)
2022/01/26,Football League Greece,0,AE Karaiskakis,1334,1310.0,0 - 2,APS Zakynthos,1199,1223.0,0,2,Greece,domestic league (tier 2)
2022/02/06,Football League Greece,0,AE Karaiskakis,1294,1302.0,2 - 1,AS Rhodos,1329,1321.0,2,1,Greece,domestic league (tier 2)
2022/02/13,Football League Greece,0,AE Karaiskakis,1302,1298.0,0 - 0,AO Episkopi,1263,1267.0,0,0,Greece,domestic league (tier 2)
2022/02/19,Football League Greece,0,AE Karaiskakis,1302,1291.0,0 - 1,AEK Athen II,1354,1365.0,0,1,Greece,domestic league (tier 2)
