Date,Competition,Neutral Venue,Home,PreHElo,PostHElo,Result,Away,PreAElo,PostAElo,Home Goals,Away Goals,Country,Category
2021/09/19,Hungary Cup,0,BFC Siófok,1468,1455.0,0 - 3,Puskás FC,1667,1680.0,0,3,Hungary,domestic cup
2023/11/01,Hungary Cup,0,BFC Siófok,1455,1443.0,1 - 3,Diósgyöri VTK,1620,1632.0,1,3,Hungary,domestic cup
2025/09/13,Hungary Cup,0,BFC Siófok,1443,1428.0,1 - 7,MTK,1642,1657.0,1,7,Hungary,domestic cup
2017/07/23,NB I,0,Balmazújvárosi FC,1519,1509.0,0 - 1,Budapesti Vasas,1633,1643.0,0,1,Hungary,domestic league (tier 1)
2017/08/05,NB I,0,Balmazújvárosi FC,1517,1538.0,4 - 0,Diósgyöri VTK,1651,1630.0,4,0,Hungary,domestic league (tier 1)
2017/08/26,NB I,0,Balmazújvárosi FC,1522,1513.0,0 - 1,Újpest FC,1666,1675.0,0,1,Hungary,domestic league (tier 1)
2017/09/16,NB I,0,Balmazújvárosi FC,1517,1509.0,0 - 1,Debreceni VSC,1682,1690.0,0,1,Hungary,domestic league (tier 1)
2017/09/30,NB I,0,Balmazújvárosi FC,1505,1500.0,2 - 3,Ferencvárosi TC,1783,1788.0,2,3,Hungary,domestic league (tier 1)
2017/10/14,NB I,0,Balmazújvárosi FC,1500,1505.0,1 - 1,Fehérvár FC (as MOL Vidi FC),1810,1805.0,1,1,Hungary,domestic league (tier 1)
2017/10/28,NB I,0,Balmazújvárosi FC,1521,1508.0,0 - 3,Budapest Honvéd,1709,1722.0,0,3,Hungary,domestic league (tier 1)
2017/11/18,NB I,0,Balmazújvárosi FC,1524,1532.0,2 - 1,Szombathelyi Haladás,1539,1531.0,2,1,Hungary,domestic league (tier 1)
2017/11/25,NB I,0,Balmazújvárosi FC,1532,1532.0,2 - 2,Puskás FC,1616,1616.0,2,2,Hungary,domestic league (tier 1)
2017/12/09,NB I,0,Balmazújvárosi FC,1538,1535.0,0 - 0,Mezokövesdi SE,1539,1542.0,0,0,Hungary,domestic league (tier 1)
2018/03/03,NB I,0,Balmazújvárosi FC,1559,1559.0,0 - 0,Paksi SE,1660,1660.0,0,0,Hungary,domestic league (tier 1)
2018/03/31,NB I,0,Balmazújvárosi FC,1552,1550.0,1 - 1,Budapesti Vasas,1580,1582.0,1,1,Hungary,domestic league (tier 1)
2018/04/14,NB I,0,Balmazújvárosi FC,1544,1553.0,2 - 1,Diósgyöri VTK,1620,1611.0,2,1,Hungary,domestic league (tier 1)
2018/05/05,NB I,0,Balmazújvárosi FC,1549,1551.0,1 - 1,Újpest FC,1702,1700.0,1,1,Hungary,domestic league (tier 1)
2018/05/19,NB I,0,Balmazújvárosi FC,1544,1565.0,4 - 0,Debreceni VSC,1688,1667.0,4,0,Hungary,domestic league (tier 1)
2018/06/02,NB I,0,Balmazújvárosi FC,1579,1583.0,3 - 3,Ferencvárosi TC,1821,1817.0,3,3,Hungary,domestic league (tier 1)
2020/08/17,NB I,0,Budafoki MTE,1405,1419.0,2 - 1,Kisvárda FC,1635,1621.0,2,1,Hungary,domestic league (tier 1)
2020/08/30,NB I,0,Budafoki MTE,1427,1420.0,1 - 4,Fehérvár FC,1774,1781.0,1,4,Hungary,domestic league (tier 1)
2020/10/17,NB I,0,Budafoki MTE,1435,1446.0,2 - 1,Diósgyöri VTK,1554,1543.0,2,1,Hungary,domestic league (tier 1)
2020/11/01,NB I,0,Budafoki MTE,1471,1463.0,2 - 3,Paksi SE,1658,1666.0,2,3,Hungary,domestic league (tier 1)
2020/12/04,NB I,0,Budafoki MTE,1464,1466.0,1 - 1,Újpest FC,1639,1637.0,1,1,Hungary,domestic league (tier 1)
2020/12/16,NB I,0,Budafoki MTE,1463,1455.0,0 - 1,Mezokövesdi SE,1624,1632.0,0,1,Hungary,domestic league (tier 1)
2020/12/23,NB I,0,Budafoki MTE,1454,1446.0,1 - 2,Budapest Honvéd,1615,1623.0,1,2,Hungary,domestic league (tier 1)
2021/01/24,NB I,0,Budafoki MTE,1446,1449.0,2 - 2,MTK,1662,1659.0,2,2,Hungary,domestic league (tier 1)
2021/01/27,NB I,0,Budafoki MTE,1449,1445.0,0 - 3,Ferencvárosi TC,1883,1887.0,0,3,Hungary,domestic league (tier 1)
2021/02/03,NB I,0,Budafoki MTE,1450,1468.0,3 - 1,Zalaegerszegi TE,1629,1611.0,3,1,Hungary,domestic league (tier 1)
2021/02/21,NB I,0,Budafoki MTE,1480,1469.0,0 - 3,Puskás FC,1713,1724.0,0,3,Hungary,domestic league (tier 1)
2021/02/27,NB I,0,Budafoki MTE,1495,1512.0,2 - 0,Kisvárda FC,1645,1628.0,2,0,Hungary,domestic league (tier 1)
2021/03/07,NB I,0,Budafoki MTE,1506,1500.0,1 - 2,Fehérvár FC,1753,1759.0,1,2,Hungary,domestic league (tier 1)
2021/04/04,NB I,0,Budafoki MTE,1494,1488.0,0 - 4,Ferencvárosi TC,1880,1886.0,0,4,Hungary,domestic league (tier 1)
2021/04/16,NB I,0,Budafoki MTE,1495,1483.0,1 - 2,Diósgyöri VTK,1533,1545.0,1,2,Hungary,domestic league (tier 1)
2021/04/25,NB I,0,Budafoki MTE,1473,1456.0,2 - 9,Paksi SE,1664,1681.0,2,9,Hungary,domestic league (tier 1)
2021/05/02,NB I,0,Budafoki MTE,1456,1448.0,0 - 1,Budapest Honvéd,1615,1623.0,0,1,Hungary,domestic league (tier 1)
2021/10/27,Hungary Cup,0,Budafoki MTE,1443,1436.0,1 - 2,Újpest FC,1648,1655.0,1,2,Hungary,domestic cup
2023/03/01,Hungary Cup,0,Budafoki MTE,1436,1459.0,2 - 0,Kisvárda FC,1730,1707.0,2,0,Hungary,domestic cup
2023/04/05,Hungary Cup,0,Budafoki MTE,1459,1476.0,3 - 0,Budapesti Vasas,1557,1540.0,3,0,Hungary,domestic cup
2023/05/03,Hungary Cup,0,Budafoki MTE,1476,1468.0,0 - 2,Zalaegerszegi TE,1645,1653.0,0,2,Hungary,domestic cup
2024/09/15,Hungary Cup,0,Budafoki MTE,1462,1457.0,0 - 3,Ferencvárosi TC,1865,1870.0,0,3,Hungary,domestic cup
