Date,Competition,Neutral Venue,Home,PreHElo,PostHElo,Result,Away,PreAElo,PostAElo,Home Goals,Away Goals,Country,Category
2016/07/08,First Division Ireland,0,Athlone Town,979,990.0,1 - 0,Shelbourne FC,1118,1107.0,1,0,Ireland,domestic league (tier 2)
2016/07/22,First Division Ireland,0,Athlone Town,987,982.0,0 - 2,Limerick FC,1361,1366.0,0,2,Ireland,domestic league (tier 2)
2016/08/05,First Division Ireland,0,Athlone Town,975,954.0,1 - 3,Waterford FC (as Waterford United),941,962.0,1,3,Ireland,domestic league (tier 2)
2016/08/26,First Division Ireland,0,Athlone Town,945,955.0,4 - 0,Cabinteely FC,867,857.0,4,0,Ireland,domestic league (tier 2)
2016/09/09,First Division Ireland,0,Athlone Town,947,941.0,0 - 1,Drogheda United,1213,1219.0,0,1,Ireland,domestic league (tier 2)
2016/09/23,First Division Ireland,0,Athlone Town,941,944.0,1 - 1,UC Dublin,1150,1147.0,1,1,Ireland,domestic league (tier 2)
2016/10/15,First Division Ireland,0,Athlone Town,930,917.0,0 - 2,Cobh Ramblers,1082,1095.0,0,2,Ireland,domestic league (tier 2)
2017/02/24,First Division Ireland,0,Athlone Town,917,925.0,1 - 0,Waterford FC (as Waterford United),960,952.0,1,0,Ireland,domestic league (tier 2)
2017/03/10,First Division Ireland,0,Athlone Town,942,929.0,0 - 3,Longford Town,1129,1142.0,0,3,Ireland,domestic league (tier 2)
2017/03/25,First Division Ireland,0,Athlone Town,923,907.0,1 - 4,Shelbourne FC,1053,1069.0,1,4,Ireland,domestic league (tier 2)
2017/03/31,First Division Ireland,0,Athlone Town,907,905.0,3 - 3,Cabinteely FC,919,921.0,3,3,Ireland,domestic league (tier 2)
2017/04/21,First Division Ireland,0,Athlone Town,892,904.0,1 - 0,Wexford FC,1054,1042.0,1,0,Ireland,domestic league (tier 2)
2017/05/05,First Division Ireland,0,Athlone Town,900,913.0,2 - 1,Cobh Ramblers,1121,1108.0,2,1,Ireland,domestic league (tier 2)
2017/05/26,First Division Ireland,0,Athlone Town,899,891.0,0 - 2,UC Dublin,1167,1175.0,0,2,Ireland,domestic league (tier 2)
2017/06/02,First Division Ireland,0,Athlone Town,891,876.0,1 - 6,Waterford FC (as Waterford United),1087,1102.0,1,6,Ireland,domestic league (tier 2)
2017/06/23,First Division Ireland,0,Athlone Town,882,886.0,2 - 2,Longford Town,1118,1114.0,2,2,Ireland,domestic league (tier 2)
2017/07/07,First Division Ireland,0,Athlone Town,882,869.0,1 - 3,Shelbourne FC,1037,1050.0,1,3,Ireland,domestic league (tier 2)
2017/07/14,First Division Ireland,0,Athlone Town,869,869.0,1 - 1,Cabinteely FC,954,954.0,1,1,Ireland,domestic league (tier 2)
2017/08/04,First Division Ireland,0,Athlone Town,862,863.0,1 - 1,Wexford FC,1000,999.0,1,1,Ireland,domestic league (tier 2)
2017/09/01,First Division Ireland,0,Athlone Town,858,852.0,0 - 1,Cobh Ramblers,1120,1126.0,0,1,Ireland,domestic league (tier 2)
2017/10/07,First Division Ireland,0,Athlone Town,840,830.0,0 - 4,UC Dublin,1126,1136.0,0,4,Ireland,domestic league (tier 2)
2018/03/16,First Division Ireland,0,Athlone Town,826,819.0,1 - 3,UC Dublin,1144,1151.0,1,3,Ireland,domestic league (tier 2)
2018/03/19,First Division Ireland,0,Athlone Town,819,811.0,1 - 2,Cabinteely FC,975,983.0,1,2,Ireland,domestic league (tier 2)
2018/03/30,First Division Ireland,0,Athlone Town,804,811.0,1 - 1,Finn Harps,1210,1203.0,1,1,Ireland,domestic league (tier 2)
2018/04/13,First Division Ireland,0,Athlone Town,807,798.0,1 - 4,Cobh Ramblers,1086,1095.0,1,4,Ireland,domestic league (tier 2)
2018/05/04,First Division Ireland,0,Athlone Town,790,787.0,0 - 3,Galway United,1293,1296.0,0,3,Ireland,domestic league (tier 2)
2018/05/11,First Division Ireland,0,Athlone Town,787,784.0,0 - 1,Drogheda United,1179,1182.0,0,1,Ireland,domestic league (tier 2)
2018/05/25,First Division Ireland,0,Athlone Town,782,788.0,1 - 1,Longford Town,1130,1124.0,1,1,Ireland,domestic league (tier 2)
2018/06/08,First Division Ireland,0,Athlone Town,781,775.0,0 - 5,Shelbourne FC,1168,1174.0,0,5,Ireland,domestic league (tier 2)
2018/06/29,First Division Ireland,0,Athlone Town,773,764.0,0 - 1,Wexford FC,925,934.0,0,1,Ireland,domestic league (tier 2)
2018/07/13,First Division Ireland,0,Athlone Town,763,754.0,1 - 3,Cabinteely FC,1010,1019.0,1,3,Ireland,domestic league (tier 2)
2018/07/27,First Division Ireland,0,Athlone Town,753,751.0,0 - 1,UC Dublin,1217,1219.0,0,1,Ireland,domestic league (tier 2)
2018/08/17,First Division Ireland,0,Athlone Town,747,744.0,1 - 3,Finn Harps,1238,1241.0,1,3,Ireland,domestic league (tier 2)
2018/08/24,First Division Ireland,0,Athlone Town,744,750.0,0 - 0,Cobh Ramblers,1062,1056.0,0,0,Ireland,domestic league (tier 2)
2019/02/22,First Division Ireland,0,Athlone Town,754,772.0,4 - 2,Wexford FC,925,907.0,4,2,Ireland,domestic league (tier 2)
2019/03/08,First Division Ireland,0,Athlone Town,787,783.0,0 - 2,Shelbourne FC,1189,1193.0,0,2,Ireland,domestic league (tier 2)
