Date,Competition,Neutral Venue,Home,PreHElo,PostHElo,Result,Away,PreAElo,PostAElo,Home Goals,Away Goals,Country,Category
2016/08/28,Ligat haAl,0,Beitar Jerusalem,1622,1618.0,2 - 2,Ironi Kiryat Shmona,1556,1560.0,2,2,Israel,domestic league (tier 1)
2016/09/17,Ligat haAl,0,Beitar Jerusalem,1625,1630.0,3 - 0,Hapoel Ashkelon,1426,1421.0,3,0,Israel,domestic league (tier 1)
2016/10/01,Ligat haAl,0,Beitar Jerusalem,1610,1614.0,1 - 0,Hapoel Kfar Saba,1480,1476.0,1,0,Israel,domestic league (tier 1)
2016/10/31,Ligat haAl,0,Beitar Jerusalem,1612,1607.0,2 - 2,Bnei Yehuda Tel Aviv,1526,1531.0,2,2,Israel,domestic league (tier 1)
2016/11/05,Ligat haAl,0,Beitar Jerusalem,1607,1612.0,1 - 0,Hapoel Raanana,1516,1511.0,1,0,Israel,domestic league (tier 1)
2016/11/21,Ligat haAl,0,Beitar Jerusalem,1612,1607.0,1 - 1,Hapoel Tel Aviv,1542,1547.0,1,1,Israel,domestic league (tier 1)
2016/11/28,Ligat haAl,0,Beitar Jerusalem,1607,1593.0,0 - 1,Bnei Sachnin FC,1566,1580.0,0,1,Israel,domestic league (tier 1)
2016/12/12,Ligat haAl,0,Beitar Jerusalem,1617,1609.0,1 - 3,Hapoel Beer Sheva,1899,1907.0,1,3,Israel,domestic league (tier 1)
2016/12/17,Ligat haAl,0,Beitar Jerusalem,1609,1607.0,1 - 1,Maccabi Petach-Tikva,1633,1635.0,1,1,Israel,domestic league (tier 1)
2017/01/02,Ligat haAl,0,Beitar Jerusalem,1595,1608.0,1 - 0,Maccabi Tel Aviv,1793,1780.0,1,0,Israel,domestic league (tier 1)
2017/01/15,Ligat haAl,0,Beitar Jerusalem,1612,1617.0,1 - 0,Hapoel Haifa,1516,1511.0,1,0,Israel,domestic league (tier 1)
2017/01/28,Ligat haAl,0,Beitar Jerusalem,1637,1631.0,1 - 1,FC Ashdod,1493,1499.0,1,1,Israel,domestic league (tier 1)
2017/02/20,Ligat haAl,0,Beitar Jerusalem,1658,1662.0,2 - 1,Hapoel Tel Aviv,1542,1538.0,2,1,Israel,domestic league (tier 1)
2017/03/06,Ligat haAl,0,Beitar Jerusalem,1669,1655.0,0 - 1,Maccabi Haifa,1608,1622.0,0,1,Israel,domestic league (tier 1)
2017/04/08,Ligat haAl,0,Beitar Jerusalem,1650,1661.0,3 - 0,Bnei Sachnin FC,1611,1600.0,3,0,Israel,domestic league (tier 1)
2017/04/22,Ligat haAl,0,Beitar Jerusalem,1656,1659.0,1 - 1,Maccabi Tel Aviv,1850,1847.0,1,1,Israel,domestic league (tier 1)
2017/04/26,Ligat haAl,0,Beitar Jerusalem,1659,1666.0,2 - 1,Maccabi Petach-Tikva,1644,1637.0,2,1,Israel,domestic league (tier 1)
2017/04/29,Ligat haAl,0,Beitar Jerusalem,1666,1675.0,2 - 0,Maccabi Haifa,1621,1612.0,2,0,Israel,domestic league (tier 1)
2017/05/15,Ligat haAl,0,Beitar Jerusalem,1695,1697.0,1 - 1,Hapoel Beer Sheva,1881,1879.0,1,1,Israel,domestic league (tier 1)
2017/08/28,Ligat haAl,0,Beitar Jerusalem,1765,1768.0,4 - 1,FC Ashdod,1477,1474.0,4,1,Israel,domestic league (tier 1)
2017/09/16,Ligat haAl,0,Beitar Jerusalem,1777,1770.0,3 - 3,Hapoel Haifa,1546,1553.0,3,3,Israel,domestic league (tier 1)
2017/09/25,Ligat haAl,0,Beitar Jerusalem,1770,1763.0,1 - 1,Ironi Kiryat Shmona,1559,1566.0,1,1,Israel,domestic league (tier 1)
2017/10/16,Ligat haAl,0,Beitar Jerusalem,1750,1753.0,4 - 1,Maccabi Netanya,1450,1447.0,4,1,Israel,domestic league (tier 1)
2017/10/28,Ligat haAl,0,Beitar Jerusalem,1752,1755.0,2 - 0,Hapoel Ashkelon,1479,1476.0,2,0,Israel,domestic league (tier 1)
