Date,Competition,Neutral Venue,Home,PreHElo,PostHElo,Result,Away,PreAElo,PostAElo,Home Goals,Away Goals,Country,Category
2016/08/29,Serie B,0,AC Cesena,1726,1722.0,1 - 1,AC Perugia Calcio,1680,1684.0,1,1,Italy,domestic league (tier 2)
2016/09/09,Serie B,0,AC Cesena,1722,1732.0,1 - 0,Carpi FC,1817,1807.0,1,0,Italy,domestic league (tier 2)
2016/09/19,Serie B,0,AC Cesena,1723,1717.0,0 - 0,US Salernitana 1919,1586,1592.0,0,0,Italy,domestic league (tier 2)
2016/10/02,Serie B,0,AC Cesena,1706,1701.0,2 - 2,Latina Calcio,1598,1603.0,2,2,Italy,domestic league (tier 2)
2016/10/14,Serie B,0,AC Cesena,1701,1696.0,1 - 1,SPAL 2013 Ferrara,1610,1615.0,1,1,Italy,domestic league (tier 2)
2016/10/25,Serie B,0,AC Cesena,1696,1683.0,0 - 1,Virtus Entella,1682,1695.0,0,1,Italy,domestic league (tier 2)
2016/11/13,Serie B,0,AC Cesena,1668,1677.0,2 - 0,AC Pisa,1631,1622.0,2,0,Italy,domestic league (tier 2)
2016/11/26,Serie B,0,AC Cesena,1670,1679.0,3 - 0,US Avellino,1576,1567.0,3,0,Italy,domestic league (tier 2)
2016/12/10,Serie B,0,AC Cesena,1687,1698.0,3 - 0,AS Cittadella,1647,1636.0,3,0,Italy,domestic league (tier 2)
2016/12/24,Serie B,0,AC Cesena,1686,1694.0,3 - 1,Trapani Calcio,1621,1613.0,3,1,Italy,domestic league (tier 2)
2017/01/28,Serie B,0,AC Cesena,1704,1699.0,2 - 2,Ascoli Calcio (as Ascoli Picchio FC),1624,1629.0,2,2,Italy,domestic league (tier 2)
2017/02/11,Serie B,0,AC Cesena,1712,1708.0,1 - 1,SSC Bari (as FC Bari 1908),1666,1670.0,1,1,Italy,domestic league (tier 2)
2017/02/25,Serie B,0,AC Cesena,1709,1693.0,1 - 2,Pro Vercelli,1559,1575.0,1,2,Italy,domestic league (tier 2)
2017/03/04,Serie B,0,AC Cesena,1694,1689.0,1 - 1,Vicenza Virtus (as Vicenza Calcio),1592,1597.0,1,1,Italy,domestic league (tier 2)
2017/03/19,Serie B,0,AC Cesena,1680,1684.0,1 - 0,Ternana Calcio,1539,1535.0,1,0,Italy,domestic league (tier 2)
2017/03/31,Serie B,0,AC Cesena,1677,1676.0,1 - 1,Frosinone Calcio,1756,1757.0,1,1,Italy,domestic league (tier 2)
2017/04/04,Serie B,0,AC Cesena,1676,1671.0,1 - 1,Brescia Calcio,1578,1583.0,1,1,Italy,domestic league (tier 2)
2017/04/17,Serie B,0,AC Cesena,1683,1691.0,1 - 0,Spezia Calcio,1699,1691.0,1,0,Italy,domestic league (tier 2)
2017/04/25,Serie B,0,AC Cesena,1692,1702.0,4 - 1,Benevento Calcio,1638,1628.0,4,1,Italy,domestic league (tier 2)
2017/05/06,Serie B,0,AC Cesena,1714,1699.0,0 - 1,Novara Calcio,1642,1657.0,0,1,Italy,domestic league (tier 2)
2017/05/18,Serie B,0,AC Cesena,1711,1710.0,0 - 0,Hellas Verona,1773,1774.0,0,0,Italy,domestic league (tier 2)
2017/09/03,Serie B,0,AC Cesena,1694,1688.0,0 - 0,Venezia FC,1559,1565.0,0,0,Italy,domestic league (tier 2)
2017/09/15,Serie B,0,AC Cesena,1679,1688.0,3 - 1,US Avellino,1618,1609.0,3,1,Italy,domestic league (tier 2)
2017/09/24,Serie B,0,AC Cesena,1674,1652.0,0 - 2,Ascoli Calcio (as Ascoli Picchio FC),1587,1609.0,0,2,Italy,domestic league (tier 2)
2017/10/07,Serie B,0,AC Cesena,1635,1643.0,1 - 0,Spezia Calcio,1680,1672.0,1,0,Italy,domestic league (tier 2)
2017/10/21,Serie B,0,AC Cesena,1637,1634.0,3 - 3,Foggia Calcio,1637,1640.0,3,3,Italy,domestic league (tier 2)
2017/10/28,Serie B,0,AC Cesena,1660,1657.0,2 - 2,Novara Calcio,1667,1670.0,2,2,Italy,domestic league (tier 2)
2017/11/12,Serie B,0,AC Cesena,1659,1657.0,3 - 3,US Salernitana 1919,1686,1688.0,3,3,Italy,domestic league (tier 2)
2017/11/27,Serie B,0,AC Cesena,1649,1655.0,1 - 0,Brescia Calcio,1614,1608.0,1,0,Italy,domestic league (tier 2)
2017/12/08,Serie B,0,AC Cesena,1660,1671.0,4 - 2,Pescara Calcio,1658,1647.0,4,2,Italy,domestic league (tier 2)
2017/12/21,Serie B,0,AC Cesena,1676,1676.0,1 - 1,US Palermo,1769,1769.0,1,1,Italy,domestic league (tier 2)
2018/01/20,Serie B,0,AC Cesena,1668,1665.0,1 - 1,SSC Bari (as FC Bari 1908),1679,1682.0,1,1,Italy,domestic league (tier 2)
