Date,Competition,Neutral Venue,Home,PreHElo,PostHElo,Result,Away,PreAElo,PostAElo,Home Goals,Away Goals,Country,Category
2022/07/08,Kazakhstan Cup,0,FK Aksu,1334,1322.0,0 - 1,FK Atyrau,1352,1364.0,0,1,Kazakhstan ,domestic cup
2022/07/31,Kazakhstan Cup,0,FK Aksu,1309,1314.0,1 - 1,FK Kairat,1585,1580.0,1,1,Kazakhstan ,domestic cup
2022/08/13,Kazakhstan Cup,0,FK Aksu,1318,1310.0,0 - 1,FK Ordabasy,1478,1486.0,0,1,Kazakhstan ,domestic cup
2023/04/30,Kazakhstan Cup,0,FK Aksu,1321,1334.0,2 - 1,Tobyl Kostanay,1527,1514.0,2,1,Kazakhstan ,domestic cup
2021/07/11,Kazakhstan Cup,0,FK Aktobe,1368,1348.0,0 - 2,FK Akzhayik,1349,1369.0,0,2,Kazakhstan ,domestic cup
2021/07/24,Kazakhstan Cup,0,FK Aktobe,1346,1334.0,1 - 2,Kaysar Kyzylorda,1385,1397.0,1,2,Kazakhstan ,domestic cup
2021/08/15,Kazakhstan Cup,0,FK Aktobe,1322,1327.0,1 - 1,FK Astana,1624,1619.0,1,1,Kazakhstan ,domestic cup
2022/07/30,Kazakhstan Cup,0,FK Aktobe,1425,1422.0,1 - 1,FK Taraz,1434,1437.0,1,1,Kazakhstan ,domestic cup
2022/08/06,Kazakhstan Cup,0,FK Aktobe,1422,1427.0,1 - 0,FK Makhtaaral,1346,1341.0,1,0,Kazakhstan ,domestic cup
2022/08/14,Kazakhstan Cup,0,FK Aktobe,1427,1437.0,1 - 0,Tobyl Kostanay,1516,1506.0,1,0,Kazakhstan ,domestic cup
2023/04/19,Kazakhstan Cup,0,FK Aktobe,1510,1503.0,2 - 2,FK Atyrau,1314,1321.0,2,2,Kazakhstan ,domestic cup
2024/04/14,Kazakhstan Cup,0,FK Aktobe,1551,1554.0,1 - 0,Zhetysu Taldykorgan,1344,1341.0,1,0,Kazakhstan ,domestic cup
2024/05/29,Kazakhstan Cup,0,FK Aktobe,1578,1582.0,2 - 0,FK Yelimay,1357,1353.0,2,0,Kazakhstan ,domestic cup
2026/04/30,Kazakhstan Cup,0,FK Aktobe,1470,1479.0,2 - 1,FK Yelimay,1530,1521.0,2,1,Kazakhstan ,domestic cup
2026/05/13,Kazakhstan Cup,0,FK Aktobe,1476,1469.0,0 - 0,FK Altay VKO,1262,1269.0,0,0,Kazakhstan ,domestic cup
2021/07/17,Kazakhstan Cup,0,FK Akzhayik,1369,1367.0,0 - 0,Kaysar Kyzylorda,1383,1385.0,0,0,Kazakhstan ,domestic cup
2021/08/01,Kazakhstan Cup,0,FK Akzhayik,1365,1391.0,3 - 0,FK Astana,1653,1627.0,3,0,Kazakhstan ,domestic cup
2021/08/07,Kazakhstan Cup,0,FK Akzhayik,1391,1397.0,2 - 1,FK Aktobe,1328,1322.0,2,1,Kazakhstan ,domestic cup
2022/07/17,Kazakhstan Cup,0,FK Akzhayik,1336,1348.0,3 - 1,Kaspiy Aktau,1374,1362.0,3,1,Kazakhstan ,domestic cup
2022/07/24,Kazakhstan Cup,0,FK Akzhayik,1348,1356.0,1 - 0,FK Kyzylzhar,1394,1386.0,1,0,Kazakhstan ,domestic cup
2022/08/05,Kazakhstan Cup,0,FK Akzhayik,1377,1374.0,2 - 2,Kaysar Kyzylorda,1377,1380.0,2,2,Kazakhstan ,domestic cup
2022/10/19,Kazakhstan Cup,0,FK Akzhayik,1378,1390.0,5 - 3,FK Taraz,1413,1401.0,5,3,Kazakhstan ,domestic cup
2022/11/12,Kazakhstan Cup,0,FK Akzhayik,1375,1365.0,4 - 5,FK Ordabasy,1465,1475.0,4,5,Kazakhstan ,domestic cup
2023/04/30,Kazakhstan Cup,0,FK Akzhayik,1362,1365.0,0 - 0,FK Kairat,1566,1563.0,0,0,Kazakhstan ,domestic cup
2026/04/30,Kazakhstan Cup,0,FK Altay VKO,1257,1264.0,4 - 3,FK Ulytau,1246,1239.0,4,3,Kazakhstan ,domestic cup
2026/08/19,Kazakhstan Cup,0,FK Altay VKO,1265,1261.0,1 - 2,FK Ordabasy,1586,1590.0,1,2,Kazakhstan ,domestic cup
2021/07/16,Kazakhstan Cup,0,FK Astana,1638,1640.0,3 - 2,FK Aktobe,1348,1346.0,3,2,Kazakhstan ,domestic cup
2021/07/25,Kazakhstan Cup,0,FK Astana,1654,1656.0,1 - 0,FK Akzhayik,1367,1365.0,1,0,Kazakhstan ,domestic cup
2021/08/08,Kazakhstan Cup,0,FK Astana,1630,1633.0,1 - 0,Kaysar Kyzylorda,1403,1400.0,1,0,Kazakhstan ,domestic cup
2021/08/21,Kazakhstan Cup,0,FK Astana,1619,1611.0,3 - 3,Kaspiy Aktau,1356,1364.0,3,3,Kazakhstan ,domestic cup
2021/11/07,Kazakhstan Cup,0,FK Astana,1624,1602.0,0 - 3,FK Kairat,1637,1659.0,0,3,Kazakhstan ,domestic cup
2022/07/15,Kazakhstan Cup,0,FK Astana,1581,1588.0,5 - 2,Shakter Karaganda,1453,1446.0,5,2,Kazakhstan ,domestic cup
2022/08/07,Kazakhstan Cup,0,FK Astana,1581,1573.0,2 - 2,Zhetysu Taldykorgan,1336,1344.0,2,2,Kazakhstan ,domestic cup
