Date,Competition,Neutral Venue,Home,PreHElo,PostHElo,Result,Away,PreAElo,PostAElo,Home Goals,Away Goals,Country,Category
2016/08/28,Superliga Kosovo,0,Besa Pejë,1263,1274.0,2 - 0,KF Ferizaj,1263,1252.0,2,0,Kosovo,domestic league (tier 1)
2016/09/11,Superliga Kosovo,0,Besa Pejë,1277,1278.0,1 - 1,KF Prishtina,1420,1419.0,1,1,Kosovo,domestic league (tier 1)
2016/09/25,Superliga Kosovo,0,Besa Pejë,1279,1288.0,2 - 0,Drita Gjilan,1220,1211.0,2,0,Kosovo,domestic league (tier 1)
2016/10/12,Superliga Kosovo,0,Besa Pejë,1281,1291.0,2 - 0,KF Liria,1257,1247.0,2,0,Kosovo,domestic league (tier 1)
2016/10/30,Superliga Kosovo,0,Besa Pejë,1285,1281.0,0 - 0,KF Gjilani,1257,1261.0,0,0,Kosovo,domestic league (tier 1)
2016/11/02,Superliga Kosovo,0,Besa Pejë,1281,1279.0,1 - 1,KF Feronikeli,1314,1316.0,1,1,Kosovo,domestic league (tier 1)
2016/11/16,Superliga Kosovo,0,Besa Pejë,1289,1295.0,2 - 1,FK Drenica,1246,1240.0,2,1,Kosovo,domestic league (tier 1)
2016/11/27,Superliga Kosovo,0,Besa Pejë,1288,1273.0,1 - 2,KF Trepça,1188,1203.0,1,2,Kosovo,domestic league (tier 1)
2017/02/25,Superliga Kosovo,0,Besa Pejë,1274,1282.0,1 - 0,KF Llapi,1317,1309.0,1,0,Kosovo,domestic league (tier 1)
2017/03/08,Superliga Kosovo,0,Besa Pejë,1294,1300.0,4 - 0,KF Hajvalia,1117,1111.0,4,0,Kosovo,domestic league (tier 1)
2017/03/12,Superliga Kosovo,0,Besa Pejë,1300,1289.0,2 - 3,KF Trepça89,1381,1392.0,2,3,Kosovo,domestic league (tier 1)
2017/04/02,Superliga Kosovo,0,Besa Pejë,1301,1277.0,1 - 3,KF Trepça,1159,1183.0,1,3,Kosovo,domestic league (tier 1)
2017/04/09,Superliga Kosovo,0,Besa Pejë,1292,1289.0,1 - 1,KF Gjilani,1274,1277.0,1,1,Kosovo,domestic league (tier 1)
2017/04/16,Superliga Kosovo,0,Besa Pejë,1289,1294.0,1 - 0,KF Liria,1210,1205.0,1,0,Kosovo,domestic league (tier 1)
2017/04/30,Superliga Kosovo,0,Besa Pejë,1284,1275.0,1 - 2,KF Prishtina,1417,1426.0,1,2,Kosovo,domestic league (tier 1)
2017/05/09,Superliga Kosovo,0,Besa Pejë,1266,1253.0,0 - 2,KF Trepça89,1423,1436.0,0,2,Kosovo,domestic league (tier 1)
2017/05/20,Superliga Kosovo,0,Besa Pejë,1242,1249.0,1 - 0,KF Ferizaj,1216,1209.0,1,0,Kosovo,domestic league (tier 1)
2017/08/27,Superliga Kosovo,0,Besa Pejë,1230,1241.0,2 - 0,Drita Gjilan,1234,1223.0,2,0,Kosovo,domestic league (tier 1)
2017/09/13,Superliga Kosovo,0,Besa Pejë,1237,1242.0,2 - 0,KF Flamurtari,1077,1072.0,2,0,Kosovo,domestic league (tier 1)
2017/09/23,Superliga Kosovo,0,Besa Pejë,1236,1247.0,2 - 0,KF Liria,1233,1222.0,2,0,Kosovo,domestic league (tier 1)
2017/10/01,Superliga Kosovo,0,Besa Pejë,1236,1216.0,0 - 2,FK Drenica,1224,1244.0,0,2,Kosovo,domestic league (tier 1)
2017/10/15,Superliga Kosovo,0,Besa Pejë,1209,1215.0,3 - 1,KF Vllaznia,1051,1045.0,3,1,Kosovo,domestic league (tier 1)
2017/10/26,Superliga Kosovo,0,Besa Pejë,1210,1210.0,0 - 0,KF Gjilani,1311,1311.0,0,0,Kosovo,domestic league (tier 1)
2017/11/05,Superliga Kosovo,0,Besa Pejë,1201,1183.0,0 - 5,KF Feronikeli,1344,1362.0,0,5,Kosovo,domestic league (tier 1)
2017/11/22,Superliga Kosovo,0,Besa Pejë,1167,1152.0,1 - 6,KF Llapi,1348,1363.0,1,6,Kosovo,domestic league (tier 1)
2017/12/03,Superliga Kosovo,0,Besa Pejë,1144,1131.0,1 - 2,KF Vëllaznimi,1142,1155.0,1,2,Kosovo,domestic league (tier 1)
2018/02/24,Superliga Kosovo,0,Besa Pejë,1137,1130.0,0 - 1,KF Trepça89,1354,1361.0,0,1,Kosovo,domestic league (tier 1)
2018/03/11,Superliga Kosovo,0,Besa Pejë,1120,1113.0,1 - 3,KF Prishtina,1421,1428.0,1,3,Kosovo,domestic league (tier 1)
2018/03/18,Superliga Kosovo,0,Besa Pejë,1111,1124.0,1 - 0,KF Gjilani,1301,1288.0,1,0,Kosovo,domestic league (tier 1)
2018/04/07,Superliga Kosovo,0,Besa Pejë,1130,1119.0,0 - 2,Drita Gjilan,1327,1338.0,0,2,Kosovo,domestic league (tier 1)
2018/04/22,Superliga Kosovo,0,Besa Pejë,1117,1108.0,0 - 1,FK Drenica,1264,1273.0,0,1,Kosovo,domestic league (tier 1)
2018/05/03,Superliga Kosovo,0,Besa Pejë,1112,1085.0,0 - 4,KF Flamurtari,1058,1085.0,0,4,Kosovo,domestic league (tier 1)
2018/05/18,Superliga Kosovo,0,Besa Pejë,1101,1094.0,3 - 4,KF Llapi,1303,1310.0,3,4,Kosovo,domestic league (tier 1)
2020/09/19,Superliga Kosovo,0,Besa Pejë,1087,1077.0,1 - 4,KF Ballkani,1337,1347.0,1,4,Kosovo,domestic league (tier 1)
2020/09/25,Superliga Kosovo,0,Besa Pejë,1073,1047.0,0 - 3,KF Arbëria,982,1008.0,0,3,Kosovo,domestic league (tier 1)
2020/10/03,Superliga Kosovo,0,Besa Pejë,1045,1058.0,2 - 1,KF Trepça89,1256,1243.0,2,1,Kosovo,domestic league (tier 1)
2020/10/20,Superliga Kosovo,0,Besa Pejë,1055,1056.0,2 - 2,KF Llapi,1199,1198.0,2,2,Kosovo,domestic league (tier 1)
2020/10/24,Superliga Kosovo,0,Besa Pejë,1056,1060.0,1 - 1,KF Feronikeli,1299,1295.0,1,1,Kosovo,domestic league (tier 1)
2020/11/04,Superliga Kosovo,0,Besa Pejë,1055,1057.0,0 - 0,FK Drenica,1238,1236.0,0,0,Kosovo,domestic league (tier 1)
2020/11/21,Superliga Kosovo,0,Besa Pejë,1048,1042.0,1 - 4,Drita Gjilan,1430,1436.0,1,4,Kosovo,domestic league (tier 1)
2020/11/28,Superliga Kosovo,0,Besa Pejë,1037,1032.0,0 - 2,KF Prishtina,1401,1406.0,0,2,Kosovo,domestic league (tier 1)
2020/12/12,Superliga Kosovo,0,Besa Pejë,1024,1019.0,1 - 2,KF Gjilani,1324,1329.0,1,2,Kosovo,domestic league (tier 1)
2021/02/13,Superliga Kosovo,0,Besa Pejë,1019,1012.0,0 - 3,KF Ballkani,1374,1381.0,0,3,Kosovo,domestic league (tier 1)
2021/02/25,Superliga Kosovo,0,Besa Pejë,1019,998.0,0 - 3,KF Arbëria,1046,1067.0,0,3,Kosovo,domestic league (tier 1)
2021/03/05,Superliga Kosovo,0,Besa Pejë,997,991.0,1 - 2,KF Trepça89,1240,1246.0,1,2,Kosovo,domestic league (tier 1)
2021/03/13,Superliga Kosovo,0,Besa Pejë,990,979.0,1 - 4,KF Llapi,1234,1245.0,1,4,Kosovo,domestic league (tier 1)
2021/03/20,Superliga Kosovo,0,Besa Pejë,979,995.0,2 - 1,KF Feronikeli,1304,1288.0,2,1,Kosovo,domestic league (tier 1)
2021/04/16,Superliga Kosovo,0,Besa Pejë,990,984.0,1 - 2,FK Drenica,1219,1225.0,1,2,Kosovo,domestic league (tier 1)
2021/04/28,Superliga Kosovo,0,Besa Pejë,978,986.0,1 - 1,Drita Gjilan,1436,1428.0,1,1,Kosovo,domestic league (tier 1)
2021/05/05,Superliga Kosovo,0,Besa Pejë,993,990.0,0 - 3,KF Prishtina,1492,1495.0,0,3,Kosovo,domestic league (tier 1)
2021/05/23,Superliga Kosovo,0,Besa Pejë,985,1000.0,1 - 0,KF Gjilani,1298,1283.0,1,0,Kosovo,domestic league (tier 1)
2016/09/07,Superliga Kosovo,0,Drita Gjilan,1256,1243.0,0 - 1,KF Llapi,1251,1264.0,0,1,Kosovo,domestic league (tier 1)
2016/09/18,Superliga Kosovo,0,Drita Gjilan,1233,1220.0,0 - 1,KF Hajvalia,1216,1229.0,0,1,Kosovo,domestic league (tier 1)
2016/09/30,Superliga Kosovo,0,Drita Gjilan,1211,1200.0,0 - 1,KF Gjilani,1260,1271.0,0,1,Kosovo,domestic league (tier 1)
2016/10/16,Superliga Kosovo,0,Drita Gjilan,1195,1192.0,0 - 0,KF Ferizaj,1202,1205.0,0,0,Kosovo,domestic league (tier 1)
2016/11/02,Superliga Kosovo,0,Drita Gjilan,1189,1186.0,2 - 2,KF Trepça,1187,1190.0,2,2,Kosovo,domestic league (tier 1)
2016/11/06,Superliga Kosovo,0,Drita Gjilan,1186,1188.0,0 - 0,KF Trepça89,1345,1343.0,0,0,Kosovo,domestic league (tier 1)
2016/11/20,Superliga Kosovo,0,Drita Gjilan,1183,1192.0,1 - 0,KF Liria,1258,1249.0,1,0,Kosovo,domestic league (tier 1)
2016/12/01,Superliga Kosovo,0,Drita Gjilan,1204,1203.0,1 - 1,Besa Pejë,1273,1274.0,1,1,Kosovo,domestic league (tier 1)
2017/03/05,Superliga Kosovo,0,Drita Gjilan,1208,1199.0,0 - 1,KF Feronikeli,1327,1336.0,0,1,Kosovo,domestic league (tier 1)
2017/03/12,Superliga Kosovo,0,Drita Gjilan,1192,1200.0,2 - 1,FK Drenica,1220,1212.0,2,1,Kosovo,domestic league (tier 1)
2017/04/16,Superliga Kosovo,0,Drita Gjilan,1204,1193.0,0 - 2,KF Trepça89,1394,1405.0,0,2,Kosovo,domestic league (tier 1)
2017/04/30,Superliga Kosovo,0,Drita Gjilan,1185,1193.0,2 - 1,KF Ferizaj,1211,1203.0,2,1,Kosovo,domestic league (tier 1)
2017/05/14,Superliga Kosovo,0,Drita Gjilan,1183,1189.0,2 - 0,KF Hajvalia,1043,1037.0,2,0,Kosovo,domestic league (tier 1)
2017/05/28,Superliga Kosovo,0,Drita Gjilan,1204,1217.0,2 - 0,Besa Pejë,1249,1236.0,2,0,Kosovo,domestic league (tier 1)
2017/09/09,Superliga Kosovo,0,Drita Gjilan,1223,1217.0,0 - 0,KF Flamurtari,1071,1077.0,0,0,Kosovo,domestic league (tier 1)
2017/09/17,Superliga Kosovo,0,Drita Gjilan,1206,1220.0,3 - 0,FK Drenica,1238,1224.0,3,0,Kosovo,domestic league (tier 1)
2017/09/28,Superliga Kosovo,0,Drita Gjilan,1236,1235.0,1 - 1,KF Gjilani,1305,1306.0,1,1,Kosovo,domestic league (tier 1)
2017/10/10,Superliga Kosovo,0,Drita Gjilan,1241,1258.0,3 - 1,KF Llapi,1384,1367.0,3,1,Kosovo,domestic league (tier 1)
2017/10/20,Superliga Kosovo,0,Drita Gjilan,1257,1257.0,1 - 1,KF Trepça89,1354,1354.0,1,1,Kosovo,domestic league (tier 1)
2017/10/29,Superliga Kosovo,0,Drita Gjilan,1259,1268.0,2 - 0,Besa Pejë,1210,1201.0,2,0,Kosovo,domestic league (tier 1)
2017/11/18,Superliga Kosovo,0,Drita Gjilan,1265,1272.0,4 - 3,KF Liria,1260,1253.0,4,3,Kosovo,domestic league (tier 1)
2017/11/26,Superliga Kosovo,0,Drita Gjilan,1275,1279.0,3 - 0,KF Vllaznia,1021,1017.0,3,0,Kosovo,domestic league (tier 1)
2018/02/18,Superliga Kosovo,0,Drita Gjilan,1283,1293.0,1 - 0,KF Feronikeli,1369,1359.0,1,0,Kosovo,domestic league (tier 1)
