Date,Competition,Neutral Venue,Home,PreHElo,PostHElo,Result,Away,PreAElo,PostAElo,Home Goals,Away Goals,Country,Category
2016/08/08,Virsliga,0,BFC Daugavpils,988,984.0,0 - 1,Rigas Futbola skola,1316,1320.0,0,1,Latvia,domestic league (tier 1)
2016/08/20,Virsliga,0,BFC Daugavpils,983,980.0,2 - 2,Riga FC,985,988.0,2,2,Latvia,domestic league (tier 1)
2016/08/24,Virsliga,0,BFC Daugavpils,980,988.0,0 - 0,FK Jelgava,1460,1452.0,0,0,Latvia,domestic league (tier 1)
2016/09/10,Virsliga,0,BFC Daugavpils,987,984.0,0 - 1,FK Liepaja,1380,1383.0,0,1,Latvia,domestic league (tier 1)
2016/09/18,Virsliga,0,BFC Daugavpils,984,982.0,3 - 3,FS Metta/LU,1024,1026.0,3,3,Latvia,domestic league (tier 1)
2016/09/24,Virsliga,0,BFC Daugavpils,982,998.0,2 - 1,FK Spartaks,1337,1321.0,2,1,Latvia,domestic league (tier 1)
2016/10/16,Virsliga,0,BFC Daugavpils,995,991.0,0 - 4,FK Ventspils,1450,1454.0,0,4,Latvia,domestic league (tier 1)
2016/10/29,Virsliga,0,BFC Daugavpils,980,978.0,0 - 1,FK Jelgava,1462,1464.0,0,1,Latvia,domestic league (tier 1)
2019/03/09,Virsliga,0,BFC Daugavpils,965,975.0,1 - 0,FS Metta/LU,1073,1063.0,1,0,Latvia,domestic league (tier 1)
2019/04/06,Virsliga,0,BFC Daugavpils,962,960.0,0 - 1,Riga FC,1401,1403.0,0,1,Latvia,domestic league (tier 1)
2019/04/15,Virsliga,0,BFC Daugavpils,969,966.0,0 - 1,Rigas Futbola skola,1378,1381.0,0,1,Latvia,domestic league (tier 1)
2019/04/23,Virsliga,0,BFC Daugavpils,985,1011.0,4 - 1,FK Spartaks,1268,1242.0,4,1,Latvia,domestic league (tier 1)
2019/05/07,Virsliga,0,BFC Daugavpils,1021,1028.0,1 - 0,Valmiera FC,1007,1000.0,1,0,Latvia,domestic league (tier 1)
2019/05/18,Virsliga,0,BFC Daugavpils,1028,1022.0,0 - 3,Riga FC,1399,1405.0,0,3,Latvia,domestic league (tier 1)
2019/05/22,Virsliga,0,BFC Daugavpils,1022,1016.0,0 - 3,FK Ventspils,1388,1394.0,0,3,Latvia,domestic league (tier 1)
2019/06/01,Virsliga,0,BFC Daugavpils,1014,1029.0,1 - 0,FK Liepaja,1322,1307.0,1,0,Latvia,domestic league (tier 1)
2019/06/21,Virsliga,0,BFC Daugavpils,1025,1009.0,0 - 2,FK Jelgava,1111,1127.0,0,2,Latvia,domestic league (tier 1)
2019/06/26,Virsliga,0,BFC Daugavpils,1009,1008.0,0 - 0,FS Metta/LU,1089,1090.0,0,0,Latvia,domestic league (tier 1)
2019/07/20,Virsliga,0,BFC Daugavpils,1029,1023.0,0 - 4,Riga FC,1422,1428.0,0,4,Latvia,domestic league (tier 1)
2019/08/05,Virsliga,0,BFC Daugavpils,1021,1017.0,0 - 1,Rigas Futbola skola,1352,1356.0,0,1,Latvia,domestic league (tier 1)
2019/08/17,Virsliga,0,BFC Daugavpils,1035,1029.0,2 - 3,FK Spartaks,1264,1270.0,2,3,Latvia,domestic league (tier 1)
2019/09/14,Virsliga,0,BFC Daugavpils,1020,1019.0,2 - 2,Valmiera FC,1069,1070.0,2,2,Latvia,domestic league (tier 1)
2019/10/05,Virsliga,0,BFC Daugavpils,1018,1024.0,1 - 1,FK Ventspils,1370,1364.0,1,1,Latvia,domestic league (tier 1)
2019/10/27,Virsliga,0,BFC Daugavpils,1022,1036.0,1 - 0,FK Liepaja,1269,1255.0,1,0,Latvia,domestic league (tier 1)
