Date,Competition,Neutral Venue,Home,PreHElo,PostHElo,Result,Away,PreAElo,PostAElo,Home Goals,Away Goals,Country,Category
2023/07/02,A Lyga,0,Banga Gargždai,1074,1070.0,1 - 4,FK Žalgiris,1510,1514.0,1,4,Lithuania,domestic league (tier 1)
2023/07/14,A Lyga,0,Banga Gargždai,1083,1069.0,0 - 1,FC Džiugas,1040,1054.0,0,1,Lithuania,domestic league (tier 1)
2023/07/18,A Lyga,0,Banga Gargždai,1069,1073.0,1 - 1,Kauno Žalgiris,1312,1308.0,1,1,Lithuania,domestic league (tier 1)
2023/07/25,A Lyga,0,Banga Gargždai,1073,1058.0,0 - 3,FC Hegelmann,1233,1248.0,0,3,Lithuania,domestic league (tier 1)
2023/08/19,A Lyga,0,Banga Gargždai,1068,1069.0,1 - 1,FA Šiauliai,1217,1216.0,1,1,Lithuania,domestic league (tier 1)
2023/09/16,A Lyga,0,Banga Gargždai,1066,1073.0,1 - 0,DFK Dainava,1070,1063.0,1,0,Lithuania,domestic league (tier 1)
2023/10/21,A Lyga,0,Banga Gargždai,1079,1066.0,1 - 2,FK Riteriai,1082,1095.0,1,2,Lithuania,domestic league (tier 1)
2023/11/03,A Lyga,0,Banga Gargždai,1066,1076.0,1 - 0,FK Suduva,1178,1168.0,1,0,Lithuania,domestic league (tier 1)
2024/03/02,A Lyga,0,Banga Gargždai,1069,1074.0,1 - 1,Kauno Žalgiris,1366,1361.0,1,1,Lithuania,domestic league (tier 1)
2024/03/13,A Lyga,0,Banga Gargždai,1080,1074.0,1 - 4,FK Žalgiris,1452,1458.0,1,4,Lithuania,domestic league (tier 1)
2024/03/29,A Lyga,0,Banga Gargždai,1093,1074.0,0 - 2,FC Džiugas,1092,1111.0,0,2,Lithuania,domestic league (tier 1)
2024/04/10,A Lyga,0,Banga Gargždai,1077,1076.0,0 - 0,FK Suduva,1147,1148.0,0,0,Lithuania,domestic league (tier 1)
2024/04/28,A Lyga,0,Banga Gargždai,1119,1108.0,0 - 1,FA Šiauliai,1197,1208.0,0,1,Lithuania,domestic league (tier 1)
2024/05/11,A Lyga,0,Banga Gargždai,1136,1156.0,2 - 0,FK Panevežys,1363,1343.0,2,0,Lithuania,domestic league (tier 1)
2024/05/26,A Lyga,0,Banga Gargždai,1159,1133.0,0 - 3,DFK Dainava,1064,1090.0,0,3,Lithuania,domestic league (tier 1)
2024/06/15,A Lyga,0,Banga Gargždai,1126,1129.0,2 - 0,FK TransINVEST,846,843.0,2,0,Lithuania,domestic league (tier 1)
2024/06/26,A Lyga,0,Banga Gargždai,1133,1127.0,0 - 2,FK Žalgiris,1461,1467.0,0,2,Lithuania,domestic league (tier 1)
2024/07/06,A Lyga,0,Banga Gargždai,1144,1140.0,0 - 0,FC Džiugas,1107,1111.0,0,0,Lithuania,domestic league (tier 1)
2024/07/12,A Lyga,0,Banga Gargždai,1140,1129.0,2 - 4,FC Hegelmann,1347,1358.0,2,4,Lithuania,domestic league (tier 1)
2024/07/26,A Lyga,0,Banga Gargždai,1116,1119.0,1 - 1,Kauno Žalgiris,1328,1325.0,1,1,Lithuania,domestic league (tier 1)
2024/08/02,A Lyga,0,Banga Gargždai,1119,1126.0,1 - 0,FK Suduva,1110,1103.0,1,0,Lithuania,domestic league (tier 1)
2024/08/24,A Lyga,0,Banga Gargždai,1140,1155.0,4 - 1,FA Šiauliai,1180,1165.0,4,1,Lithuania,domestic league (tier 1)
2024/09/15,A Lyga,0,Banga Gargždai,1153,1144.0,2 - 3,FK Panevežys,1289,1298.0,2,3,Lithuania,domestic league (tier 1)
2024/09/29,Lithuania Cup,0,Banga Gargždai,1175,1180.0,0 - 0,FC Hegelmann,1362,1357.0,0,0,Lithuania,domestic cup
2024/10/05,A Lyga,0,Banga Gargždai,1180,1154.0,0 - 3,DFK Dainava,1093,1119.0,0,3,Lithuania,domestic league (tier 1)
2024/11/02,A Lyga,0,Banga Gargždai,1147,1140.0,1 - 1,FK TransINVEST,977,984.0,1,1,Lithuania,domestic league (tier 1)
2024/11/09,A Lyga,0,Banga Gargždai,1140,1143.0,1 - 1,FC Hegelmann,1331,1328.0,1,1,Lithuania,domestic league (tier 1)
2025/02/22,Lithuania Supercup,0,Banga Gargždai,1143,1150.0,2 - 2,FK Žalgiris,1443,1436.0,2,2,Lithuania,domestic supercup
2025/03/01,A Lyga,0,Banga Gargždai,1150,1168.0,2 - 0,FC Hegelmann,1328,1310.0,2,0,Lithuania,domestic league (tier 1)
2025/04/05,A Lyga,0,Banga Gargždai,1173,1160.0,1 - 2,FA Šiauliai,1160,1173.0,1,2,Lithuania,domestic league (tier 1)
2025/04/12,A Lyga,0,Banga Gargždai,1160,1139.0,1 - 3,FK Riteriai,1105,1126.0,1,3,Lithuania,domestic league (tier 1)
2025/04/16,A Lyga,0,Banga Gargždai,1139,1126.0,0 - 1,FC Džiugas,1133,1146.0,0,1,Lithuania,domestic league (tier 1)
