Date,Competition,Neutral Venue,Home,PreHElo,PostHElo,Result,Away,PreAElo,PostAElo,Home Goals,Away Goals,Country,Category
2021/10/03,Luxembourg Cup,0,Avenir Beggen,930,920.0,2 - 5,UNA Strassen,1194,1204.0,2,5,Luxembourg,domestic cup
2022/10/02,Luxembourg Cup,0,Avenir Beggen,920,935.0,2 - 0,Jeunesse Canach,1025,1010.0,2,0,Luxembourg,domestic cup
2022/10/30,Luxembourg Cup,0,Avenir Beggen,935,929.0,0 - 3,RFCU Luxemburg,1296,1302.0,0,3,Luxembourg,domestic cup
2025/09/21,Luxembourg Cup,0,Avenir Beggen,918,906.0,2 - 3,US Rumelange,943,955.0,2,3,Luxembourg,domestic cup
2019/08/11,Nationaldivision,0,Blue Boys Muhlenbach,1005,988.0,0 - 3,Victoria Rosport,1122,1139.0,0,3,Luxembourg,domestic league (tier 1)
2019/08/25,Nationaldivision,0,Blue Boys Muhlenbach,1008,1024.0,3 - 2,CS FOLA Esch,1361,1345.0,3,2,Luxembourg,domestic league (tier 1)
2019/09/15,Nationaldivision,0,Blue Boys Muhlenbach,1019,1011.0,0 - 2,FC Differdange 03,1295,1303.0,0,2,Luxembourg,domestic league (tier 1)
2019/10/06,Nationaldivision,0,Blue Boys Muhlenbach,1005,1004.0,1 - 1,Etzella Ettelbruck,1076,1077.0,1,1,Luxembourg,domestic league (tier 1)
2019/11/03,Nationaldivision,0,Blue Boys Muhlenbach,1000,1023.0,4 - 2,Jeunesse Esch,1301,1278.0,4,2,Luxembourg,domestic league (tier 1)
2019/12/08,Nationaldivision,0,Blue Boys Muhlenbach,1010,1000.0,0 - 1,US Hostert,1098,1108.0,0,1,Luxembourg,domestic league (tier 1)
2020/02/16,Nationaldivision,0,Blue Boys Muhlenbach,1000,1004.0,2 - 2,RFCU Luxemburg,1239,1235.0,2,2,Luxembourg,domestic league (tier 1)
2020/03/01,Nationaldivision,0,Blue Boys Muhlenbach,999,977.0,0 - 3,FC Rodange 91,1003,1025.0,0,3,Luxembourg,domestic league (tier 1)
2020/03/08,Nationaldivision,0,Blue Boys Muhlenbach,976,979.0,1 - 1,US Mondorf,1168,1165.0,1,1,Luxembourg,domestic league (tier 1)
2016/08/15,Nationaldivision,0,CS FOLA Esch,1486,1488.0,1 - 0,US Mondorf,1158,1156.0,1,0,Luxembourg,domestic league (tier 1)
2016/08/26,Nationaldivision,0,CS FOLA Esch,1492,1484.0,1 - 1,Progrès Niedercorn,1222,1230.0,1,1,Luxembourg,domestic league (tier 1)
2016/09/25,Nationaldivision,0,CS FOLA Esch,1488,1481.0,2 - 2,Jeunesse Esch,1280,1287.0,2,2,Luxembourg,domestic league (tier 1)
