Date,Competition,Neutral Venue,Home,PreHElo,PostHElo,Result,Away,PreAElo,PostAElo,Home Goals,Away Goals,Country,Category
2023/04/05,Moldova Cup,0,CF Gagauzia,987,971.0,1 - 4,FC Balti,1124,1140.0,1,4,Moldova,domestic cup
2016/07/31,Divizia Nationala,0,CF Ungheni,1006,1007.0,0 - 0,Speranta Nisporeni,1150,1149.0,0,0,Moldova,domestic league (tier 1)
2016/08/13,Divizia Nationala,0,CF Ungheni,1006,994.0,0 - 2,CS Petrocub,1168,1180.0,0,2,Moldova,domestic league (tier 1)
2016/08/27,Divizia Nationala,0,CF Ungheni,991,1004.0,2 - 1,Dinamo-Auto (as Dinamo Auto),1188,1175.0,2,1,Moldova,domestic league (tier 1)
2016/09/25,Divizia Nationala,0,CF Ungheni,1002,1009.0,1 - 1,FC Zimbru,1402,1395.0,1,1,Moldova,domestic league (tier 1)
2016/10/21,Divizia Nationala,0,CF Ungheni,1006,996.0,1 - 2,FC Academia UTM,1093,1103.0,1,2,Moldova,domestic league (tier 1)
2016/11/05,Divizia Nationala,0,CF Ungheni,990,989.0,1 - 2,FC Sheriff,1624,1625.0,1,2,Moldova,domestic league (tier 1)
2016/11/25,Divizia Nationala,0,CF Ungheni,983,976.0,0 - 3,FC Zaria,1330,1337.0,0,3,Moldova,domestic league (tier 1)
2016/12/09,Divizia Nationala,0,CF Ungheni,982,997.0,3 - 0,FC Saxan,1032,1017.0,3,0,Moldova,domestic league (tier 1)
2017/03/01,Divizia Nationala,0,CF Ungheni,995,993.0,1 - 2,Dacia Chisinau,1528,1530.0,1,2,Moldova,domestic league (tier 1)
2017/03/05,Divizia Nationala,0,CF Ungheni,993,990.0,0 - 2,FC Milsami,1493,1496.0,0,2,Moldova,domestic league (tier 1)
2017/03/16,Divizia Nationala,0,CF Ungheni,989,985.0,1 - 2,FC Zimbru,1337,1341.0,1,2,Moldova,domestic league (tier 1)
2017/04/04,Divizia Nationala,0,CF Ungheni,1000,984.0,0 - 4,CS Petrocub,1156,1172.0,0,4,Moldova,domestic league (tier 1)
2017/04/14,Divizia Nationala,0,CF Ungheni,1001,1002.0,2 - 2,Dinamo-Auto (as Dinamo Auto),1150,1149.0,2,2,Moldova,domestic league (tier 1)
2017/05/08,Divizia Nationala,0,CF Ungheni,991,988.0,0 - 2,FC Milsami,1452,1455.0,0,2,Moldova,domestic league (tier 1)
2017/05/21,Divizia Nationala,0,CF Ungheni,986,984.0,0 - 6,FC Sheriff,1621,1623.0,0,6,Moldova,domestic league (tier 1)
2016/08/05,Divizia Nationala,0,CS Petrocub,1155,1168.0,3 - 1,Dinamo-Auto (as Dinamo Auto),1217,1204.0,3,1,Moldova,domestic league (tier 1)
2016/08/21,Divizia Nationala,0,CS Petrocub,1180,1184.0,2 - 1,FC Saxan,1018,1014.0,2,1,Moldova,domestic league (tier 1)
