Date,Competition,Neutral Venue,Home,PreHElo,PostHElo,Result,Away,PreAElo,PostAElo,Home Goals,Away Goals,Country,Category
2023/07/30,1. CFL,0,FK Arsenal,1256,1253.0,2 - 2,FK Jezero,1246,1249.0,2,2,Montenegro,domestic league (tier 1)
2023/08/20,1. CFL,0,FK Arsenal,1272,1267.0,2 - 2,Jedinstvo Bijelo Polje,1188,1193.0,2,2,Montenegro,domestic league (tier 1)
2023/09/03,1. CFL,0,FK Arsenal,1254,1251.0,2 - 2,OFK Petrovac,1234,1237.0,2,2,Montenegro,domestic league (tier 1)
2023/09/23,1. CFL,0,FK Arsenal,1241,1230.0,0 - 1,FK Decic Tuzi,1290,1301.0,0,1,Montenegro,domestic league (tier 1)
2023/09/27,1. CFL,0,FK Arsenal,1230,1239.0,2 - 0,FK Rudar Pljevlja,1169,1160.0,2,0,Montenegro,domestic league (tier 1)
2023/10/07,1. CFL,0,FK Arsenal,1243,1244.0,1 - 1,FK Sutjeska,1387,1386.0,1,1,Montenegro,domestic league (tier 1)
2023/10/21,1. CFL,0,FK Arsenal,1244,1242.0,2 - 2,FK Mornar,1277,1279.0,2,2,Montenegro,domestic league (tier 1)
2023/11/05,1. CFL,0,FK Arsenal,1232,1235.0,1 - 1,FK Buducnost Podgorica,1430,1427.0,1,1,Montenegro,domestic league (tier 1)
2023/11/26,1. CFL,0,FK Arsenal,1237,1214.0,0 - 2,OFK Mladost DG,1129,1152.0,0,2,Montenegro,domestic league (tier 1)
2024/02/17,1. CFL,0,FK Arsenal,1216,1230.0,3 - 1,FK Jezero,1299,1285.0,3,1,Montenegro,domestic league (tier 1)
2024/03/03,1. CFL,0,FK Arsenal,1240,1236.0,1 - 1,Jedinstvo Bijelo Polje,1176,1180.0,1,1,Montenegro,domestic league (tier 1)
2024/03/13,1. CFL,0,FK Arsenal,1228,1226.0,1 - 1,OFK Petrovac,1241,1243.0,1,1,Montenegro,domestic league (tier 1)
2024/03/30,1. CFL,0,FK Arsenal,1236,1222.0,0 - 2,FK Decic Tuzi,1352,1366.0,0,2,Montenegro,domestic league (tier 1)
2024/04/03,1. CFL,0,FK Arsenal,1222,1230.0,4 - 2,FK Rudar Pljevlja,1158,1150.0,4,2,Montenegro,domestic league (tier 1)
2024/04/14,1. CFL,0,FK Arsenal,1219,1231.0,1 - 0,FK Sutjeska,1405,1393.0,1,0,Montenegro,domestic league (tier 1)
2024/04/21,1. CFL,0,FK Arsenal,1231,1220.0,1 - 2,FK Mornar,1307,1318.0,1,2,Montenegro,domestic league (tier 1)
2024/05/04,1. CFL,0,FK Arsenal,1222,1206.0,0 - 4,FK Buducnost Podgorica,1379,1395.0,0,4,Montenegro,domestic league (tier 1)
2024/05/18,1. CFL,0,FK Arsenal,1210,1219.0,3 - 1,OFK Mladost DG,1169,1160.0,3,1,Montenegro,domestic league (tier 1)
2024/08/04,1. CFL,0,FK Arsenal,1214,1221.0,2 - 1,Jedinstvo Bijelo Polje,1200,1193.0,2,1,Montenegro,domestic league (tier 1)
2024/08/17,1. CFL,0,FK Arsenal,1221,1208.0,0 - 2,FK Buducnost Podgorica,1373,1386.0,0,2,Montenegro,domestic league (tier 1)
2024/08/25,1. CFL,0,FK Arsenal,1224,1223.0,1 - 1,OFK Petrovac,1279,1280.0,1,1,Montenegro,domestic league (tier 1)
2024/08/31,1. CFL,0,FK Arsenal,1223,1220.0,1 - 1,FK Bokelj,1213,1216.0,1,1,Montenegro,domestic league (tier 1)
2024/09/22,1. CFL,0,FK Arsenal,1237,1232.0,0 - 0,FK Otrant,1163,1168.0,0,0,Montenegro,domestic league (tier 1)
2024/10/06,1. CFL,0,FK Arsenal,1227,1229.0,0 - 0,FK Decic Tuzi,1385,1383.0,0,0,Montenegro,domestic league (tier 1)
2024/10/23,1. CFL,0,FK Arsenal,1226,1216.0,0 - 1,FK Sutjeska,1311,1321.0,0,1,Montenegro,domestic league (tier 1)
2024/11/06,Montenegro Cup,0,FK Arsenal,1236,1211.0,1 - 4,FK Podgorica,1176,1201.0,1,4,Montenegro,domestic cup
2024/11/10,1. CFL,0,FK Arsenal,1211,1232.0,4 - 0,FK Mornar,1354,1333.0,4,0,Montenegro,domestic league (tier 1)
2024/12/01,1. CFL,0,FK Arsenal,1247,1233.0,0 - 1,FK Jezero,1194,1208.0,0,1,Montenegro,domestic league (tier 1)
2024/12/07,1. CFL,0,FK Arsenal,1233,1229.0,1 - 1,Jedinstvo Bijelo Polje,1178,1182.0,1,1,Montenegro,domestic league (tier 1)
2025/02/26,1. CFL,0,FK Arsenal,1235,1223.0,1 - 5,FK Buducnost Podgorica,1466,1478.0,1,5,Montenegro,domestic league (tier 1)
2025/03/08,1. CFL,0,FK Arsenal,1214,1205.0,1 - 2,OFK Petrovac,1343,1352.0,1,2,Montenegro,domestic league (tier 1)
2025/03/12,1. CFL,0,FK Arsenal,1205,1214.0,1 - 0,FK Bokelj,1260,1251.0,1,0,Montenegro,domestic league (tier 1)
2025/03/29,1. CFL,0,FK Arsenal,1209,1214.0,2 - 1,FK Otrant,1117,1112.0,2,1,Montenegro,domestic league (tier 1)
2025/04/12,1. CFL,0,FK Arsenal,1216,1227.0,1 - 0,FK Decic Tuzi,1339,1328.0,1,0,Montenegro,domestic league (tier 1)
2025/04/26,1. CFL,0,FK Arsenal,1223,1222.0,1 - 1,FK Sutjeska,1290,1291.0,1,1,Montenegro,domestic league (tier 1)
2025/05/14,1. CFL,0,FK Arsenal,1218,1216.0,1 - 1,FK Mornar,1248,1250.0,1,1,Montenegro,domestic league (tier 1)
2025/05/24,1. CFL,0,FK Arsenal,1200,1198.0,0 - 0,FK Jezero,1234,1236.0,0,0,Montenegro,domestic league (tier 1)
2025/06/04,1. CFL rel.,0,FK Arsenal,1200,1211.0,4 - 0,FK Lovcen,1154,1143.0,4,0,Montenegro,domestic relegation
2025/08/04,1. CFL,0,FK Arsenal,1211,1223.0,2 - 0,Jedinstvo Bijelo Polje,1229,1217.0,2,0,Montenegro,domestic league (tier 1)
2025/08/17,1. CFL,0,FK Arsenal,1227,1241.0,1 - 0,FK Buducnost Podgorica,1479,1465.0,1,0,Montenegro,domestic league (tier 1)
2025/08/30,1. CFL,0,FK Arsenal,1246,1243.0,2 - 2,FK Jezero,1254,1257.0,2,2,Montenegro,domestic league (tier 1)
