Date,Competition,Neutral Venue,Home,PreHElo,PostHElo,Result,Away,PreAElo,PostAElo,Home Goals,Away Goals,Country,Category
2023/08/19,Tweede Divisie,0,ACV Assen,1077,1093.0,4 - 2,Jong Sparta Rotterdam,1202,1186.0,4,2,Netherlands,domestic league (tier 3)
2023/09/02,Tweede Divisie,0,ACV Assen,1088,1101.0,2 - 0,FC Lisse,1148,1135.0,2,0,Netherlands,domestic league (tier 3)
2023/09/16,Tweede Divisie,0,ACV Assen,1088,1088.0,1 - 1,VV Noordwijk,1194,1194.0,1,1,Netherlands,domestic league (tier 3)
2023/09/30,Tweede Divisie,0,ACV Assen,1092,1084.0,1 - 2,SV Spakenburg,1278,1286.0,1,2,Netherlands,domestic league (tier 3)
2023/10/14,Tweede Divisie,0,ACV Assen,1115,1131.0,3 - 0,GVVV,1184,1168.0,3,0,Netherlands,domestic league (tier 3)
2023/11/04,Tweede Divisie,0,ACV Assen,1144,1136.0,2 - 3,De Treffers,1324,1332.0,2,3,Netherlands,domestic league (tier 3)
2023/11/18,Tweede Divisie,0,ACV Assen,1150,1161.0,2 - 1,Rijnsburgse Boys,1270,1259.0,2,1,Netherlands,domestic league (tier 3)
2023/12/02,Tweede Divisie,0,ACV Assen,1185,1170.0,0 - 2,Amsterdamsche FC,1294,1309.0,0,2,Netherlands,domestic league (tier 3)
2023/12/16,Tweede Divisie,0,ACV Assen,1166,1175.0,3 - 1,Excelsior Maassluis,1116,1107.0,3,1,Netherlands,domestic league (tier 3)
2024/02/03,Tweede Divisie,0,ACV Assen,1174,1181.0,1 - 0,Jong Almere City FC,1177,1170.0,1,0,Netherlands,domestic league (tier 3)
2024/02/10,Tweede Divisie,0,ACV Assen,1181,1166.0,1 - 3,HHC Hardenberg,1292,1307.0,1,3,Netherlands,domestic league (tier 3)
2024/02/24,Tweede Divisie,0,ACV Assen,1180,1165.0,1 - 2,Kozakken Boys,1084,1099.0,1,2,Netherlands,domestic league (tier 3)
2024/03/16,Tweede Divisie,0,ACV Assen,1162,1174.0,1 - 0,Quick Boys,1324,1312.0,1,0,Netherlands,domestic league (tier 3)
2024/03/30,Tweede Divisie,0,ACV Assen,1165,1160.0,2 - 2,ADO 20,1092,1097.0,2,2,Netherlands,domestic league (tier 3)
2024/04/13,Tweede Divisie,0,ACV Assen,1157,1133.0,0 - 3,SVV Scheveningen,1121,1145.0,0,3,Netherlands,domestic league (tier 3)
2024/05/04,Tweede Divisie,0,ACV Assen,1138,1139.0,0 - 0,Koninklijke HFC,1256,1255.0,0,0,Netherlands,domestic league (tier 3)
2024/05/18,Tweede Divisie,0,ACV Assen,1133,1152.0,3 - 1,VV Katwijk,1331,1312.0,3,1,Netherlands,domestic league (tier 3)
2024/08/24,Tweede Divisie,0,ACV Assen,1148,1132.0,0 - 2,Koninklijke HFC,1227,1243.0,0,2,Netherlands,domestic league (tier 3)
2024/09/07,Tweede Divisie,0,ACV Assen,1119,1114.0,1 - 2,SV Spakenburg,1415,1420.0,1,2,Netherlands,domestic league (tier 3)
2024/09/21,Tweede Divisie,0,ACV Assen,1138,1139.0,1 - 1,Rijnsburgse Boys,1264,1263.0,1,1,Netherlands,domestic league (tier 3)
2024/09/24,Netherlands Cup,0,ACV Assen,1139,1117.0,2 - 5,IJsselmeervogels,1146,1168.0,2,5,Netherlands,domestic cup
2024/10/05,Tweede Divisie,0,ACV Assen,1129,1122.0,1 - 2,Quick Boys,1339,1346.0,1,2,Netherlands,domestic league (tier 3)
2024/10/19,Tweede Divisie,0,ACV Assen,1136,1135.0,3 - 3,Jong Almere City FC,1195,1196.0,3,3,Netherlands,domestic league (tier 3)
2024/11/09,Tweede Divisie,0,ACV Assen,1150,1135.0,1 - 2,RKAV Volendam,1051,1066.0,1,2,Netherlands,domestic league (tier 3)
2024/11/23,Tweede Divisie,0,ACV Assen,1126,1112.0,0 - 1,Excelsior Maassluis,1093,1107.0,0,1,Netherlands,domestic league (tier 3)
2024/11/30,Tweede Divisie,0,ACV Assen,1112,1104.0,0 - 1,De Treffers,1265,1273.0,0,1,Netherlands,domestic league (tier 3)
2024/12/14,Tweede Divisie,0,ACV Assen,1111,1120.0,2 - 0,ADO 20,1062,1053.0,2,0,Netherlands,domestic league (tier 3)
2025/01/11,Tweede Divisie,0,ACV Assen,1120,1134.0,3 - 2,Amsterdamsche FC,1373,1359.0,3,2,Netherlands,domestic league (tier 3)
2025/01/25,Tweede Divisie,0,ACV Assen,1149,1136.0,0 - 1,BVV Barendrecht,1149,1162.0,0,1,Netherlands,domestic league (tier 3)
2025/02/08,Tweede Divisie,0,ACV Assen,1143,1157.0,3 - 0,Jong Sparta Rotterdam,1181,1167.0,3,0,Netherlands,domestic league (tier 3)
2025/02/22,Tweede Divisie,0,ACV Assen,1152,1157.0,1 - 0,SVV Scheveningen,1057,1052.0,1,0,Netherlands,domestic league (tier 3)
2025/03/15,Tweede Divisie,0,ACV Assen,1154,1129.0,1 - 6,VV Noordwijk,1167,1192.0,1,6,Netherlands,domestic league (tier 3)
2025/04/05,Tweede Divisie,0,ACV Assen,1121,1137.0,2 - 0,GVVV,1238,1222.0,2,0,Netherlands,domestic league (tier 3)
2025/04/19,Tweede Divisie,0,ACV Assen,1130,1119.0,0 - 1,HHC Hardenberg,1210,1221.0,0,1,Netherlands,domestic league (tier 3)
2025/05/17,Tweede Divisie,0,ACV Assen,1128,1152.0,5 - 1,VV Katwijk,1329,1305.0,5,1,Netherlands,domestic league (tier 3)
2025/08/23,Tweede Divisie,0,ACV Assen,1153,1139.0,1 - 2,Kozakken Boys,1100,1114.0,1,2,Netherlands,domestic league (tier 3)
2025/09/06,Tweede Divisie,0,ACV Assen,1129,1122.0,0 - 1,Amsterdamsche FC,1353,1360.0,0,1,Netherlands,domestic league (tier 3)
2025/09/20,Tweede Divisie,0,ACV Assen,1122,1109.0,0 - 4,Jong Almere City FC,1328,1341.0,0,4,Netherlands,domestic league (tier 3)
2025/10/04,Tweede Divisie,0,ACV Assen,1096,1075.0,1 - 5,BVV Barendrecht,1152,1173.0,1,5,Netherlands,domestic league (tier 3)
2025/10/18,Tweede Divisie,0,ACV Assen,1066,1071.0,3 - 3,Rijnsburgse Boys,1340,1335.0,3,3,Netherlands,domestic league (tier 3)
2025/11/08,Tweede Divisie,0,ACV Assen,1071,1093.0,4 - 1,De Treffers,1265,1243.0,4,1,Netherlands,domestic league (tier 3)
2025/11/22,Tweede Divisie,0,ACV Assen,1099,1100.0,3 - 3,VV Katwijk,1250,1249.0,3,3,Netherlands,domestic league (tier 3)
2025/12/13,Tweede Divisie,0,ACV Assen,1104,1102.0,2 - 2,IJsselmeervogels,1123,1125.0,2,2,Netherlands,domestic league (tier 3)
2026/01/24,Tweede Divisie,0,ACV Assen,1122,1113.0,1 - 2,Jong Sparta Rotterdam,1244,1253.0,1,2,Netherlands,domestic league (tier 3)
2026/02/07,Tweede Divisie,0,ACV Assen,1120,1109.0,0 - 1,HSV Hoek,1179,1190.0,0,1,Netherlands,domestic league (tier 3)
2026/02/14,Tweede Divisie,0,ACV Assen,1109,1111.0,2 - 2,SV Spakenburg,1270,1268.0,2,2,Netherlands,domestic league (tier 3)
2026/02/28,Tweede Divisie,0,ACV Assen,1136,1124.0,1 - 2,RKAV Volendam,1149,1161.0,1,2,Netherlands,domestic league (tier 3)
2026/03/14,Tweede Divisie,0,ACV Assen,1119,1133.0,3 - 1,Excelsior Maassluis,1186,1172.0,3,1,Netherlands,domestic league (tier 3)
2026/03/28,Tweede Divisie,0,ACV Assen,1140,1150.0,2 - 1,GVVV,1234,1224.0,2,1,Netherlands,domestic league (tier 3)
2026/04/18,Tweede Divisie,0,ACV Assen,1144,1129.0,0 - 2,HHC Hardenberg,1241,1256.0,0,2,Netherlands,domestic league (tier 3)
2026/05/09,Tweede Divisie,0,ACV Assen,1125,1120.0,1 - 2,Quick Boys,1417,1422.0,1,2,Netherlands,domestic league (tier 3)
2026/05/16,Tweede Divisie,0,ACV Assen,1120,1128.0,1 - 0,Koninklijke HFC,1165,1157.0,1,0,Netherlands,domestic league (tier 3)
2023/08/19,Tweede Divisie,0,ADO 20,1077,1075.0,2 - 2,GVVV,1117,1119.0,2,2,Netherlands,domestic league (tier 3)
2023/09/09,Tweede Divisie,0,ADO 20,1083,1101.0,4 - 1,SVV Scheveningen,1193,1175.0,4,1,Netherlands,domestic league (tier 3)
2023/09/20,Netherlands Cup,0,ADO 20,1119,1111.0,0 - 1,Quick Boys,1296,1304.0,0,1,Netherlands,domestic cup
2023/09/24,Tweede Divisie,0,ADO 20,1111,1098.0,1 - 4,Koninklijke HFC,1302,1315.0,1,4,Netherlands,domestic league (tier 3)
2023/10/07,Tweede Divisie,0,ADO 20,1094,1108.0,2 - 1,VV Katwijk,1342,1328.0,2,1,Netherlands,domestic league (tier 3)
2023/10/28,Tweede Divisie,0,ADO 20,1121,1108.0,1 - 2,ACV Assen,1131,1144.0,1,2,Netherlands,domestic league (tier 3)
2023/11/12,Tweede Divisie,0,ADO 20,1105,1091.0,1 - 2,FC Lisse,1057,1071.0,1,2,Netherlands,domestic league (tier 3)
2023/11/25,Tweede Divisie,0,ADO 20,1078,1079.0,1 - 1,VV Noordwijk,1216,1215.0,1,1,Netherlands,domestic league (tier 3)
2023/12/09,Tweede Divisie,0,ADO 20,1093,1087.0,1 - 2,SV Spakenburg,1355,1361.0,1,2,Netherlands,domestic league (tier 3)
2024/01/21,Tweede Divisie,0,ADO 20,1079,1061.0,1 - 5,Jong Sparta Rotterdam,1188,1206.0,1,5,Netherlands,domestic league (tier 3)
2024/01/28,Tweede Divisie,0,ADO 20,1061,1052.0,0 - 2,De Treffers,1322,1331.0,0,2,Netherlands,domestic league (tier 3)
2024/02/17,Tweede Divisie,0,ADO 20,1067,1060.0,0 - 1,Rijnsburgse Boys,1282,1289.0,0,1,Netherlands,domestic league (tier 3)
2024/03/03,Tweede Divisie,0,ADO 20,1055,1081.0,3 - 0,Amsterdamsche FC,1328,1302.0,3,0,Netherlands,domestic league (tier 3)
2024/03/23,Tweede Divisie,0,ADO 20,1078,1092.0,3 - 0,Excelsior Maassluis,1102,1088.0,3,0,Netherlands,domestic league (tier 3)
2024/04/06,Tweede Divisie,0,ADO 20,1097,1119.0,3 - 0,HHC Hardenberg,1293,1271.0,3,0,Netherlands,domestic league (tier 3)
