Date,Competition,Neutral Venue,Home,PreHElo,PostHElo,Result,Away,PreAElo,PostAElo,Home Goals,Away Goals,Country,Category
2017/08/20,1. MFL,0,Akademija Pandev,1276,1285.0,2 - 0,FK Skopje,1227,1218.0,2,0,North Macedonia,domestic league (tier 1)
2017/09/10,1. MFL,0,Akademija Pandev,1284,1295.0,1 - 0,FK Renova,1427,1416.0,1,0,North Macedonia,domestic league (tier 1)
2017/09/20,1. MFL,0,Akademija Pandev,1295,1312.0,2 - 0,FK Pelister,1435,1418.0,2,0,North Macedonia,domestic league (tier 1)
2017/10/14,1. MFL,0,Akademija Pandev,1322,1333.0,2 - 0,KF Shkupi,1333,1322.0,2,0,North Macedonia,domestic league (tier 1)
2017/10/25,1. MFL,0,Akademija Pandev,1350,1366.0,3 - 2,KF Shkëndija 79,1678,1662.0,3,2,North Macedonia,domestic league (tier 1)
2017/11/05,1. MFL,0,Akademija Pandev,1358,1345.0,0 - 1,FK Pobeda,1352,1365.0,0,1,North Macedonia,domestic league (tier 1)
2017/11/19,1. MFL,0,Akademija Pandev,1371,1371.0,1 - 1,FK Rabotnicki,1461,1461.0,1,1,North Macedonia,domestic league (tier 1)
2017/12/03,1. MFL,0,Akademija Pandev,1373,1361.0,0 - 1,Sileks Kratovo,1416,1428.0,0,1,North Macedonia,domestic league (tier 1)
2018/02/18,1. MFL,0,Akademija Pandev,1346,1340.0,0 - 0,FK Skopje,1231,1237.0,0,0,North Macedonia,domestic league (tier 1)
2018/03/04,1. MFL,0,Akademija Pandev,1339,1338.0,1 - 1,FK Renova,1402,1403.0,1,1,North Macedonia,domestic league (tier 1)
2018/03/17,1. MFL,0,Akademija Pandev,1335,1334.0,1 - 1,FK Pelister,1387,1388.0,1,1,North Macedonia,domestic league (tier 1)
2018/04/07,1. MFL,0,Akademija Pandev,1339,1344.0,1 - 1,Vardar Skopje,1624,1619.0,1,1,North Macedonia,domestic league (tier 1)
2018/04/18,1. MFL,0,Akademija Pandev,1357,1344.0,1 - 2,KF Shkupi,1350,1363.0,1,2,North Macedonia,domestic league (tier 1)
2018/04/25,1. MFL,0,Akademija Pandev,1362,1369.0,2 - 2,KF Shkëndija 79,1743,1736.0,2,2,North Macedonia,domestic league (tier 1)
2018/05/02,1. MFL,0,Akademija Pandev,1363,1370.0,1 - 0,FK Pobeda,1349,1342.0,1,0,North Macedonia,domestic league (tier 1)
2018/05/13,1. MFL,0,Akademija Pandev,1389,1378.0,0 - 1,FK Rabotnicki,1462,1473.0,0,1,North Macedonia,domestic league (tier 1)
2018/05/20,1. MFL,0,Akademija Pandev,1374,1361.0,1 - 2,Sileks Kratovo,1383,1396.0,1,2,North Macedonia,domestic league (tier 1)
2018/08/12,1. MFL,0,Akademija Pandev,1361,1365.0,2 - 1,Makedonija GP,1244,1240.0,2,1,North Macedonia,domestic league (tier 1)
2018/08/26,1. MFL,0,Akademija Pandev,1373,1382.0,1 - 0,KF Shkupi,1437,1428.0,1,0,North Macedonia,domestic league (tier 1)
2018/09/16,1. MFL,0,Akademija Pandev,1377,1390.0,3 - 0,Sileks Kratovo,1392,1379.0,3,0,North Macedonia,domestic league (tier 1)
2018/09/26,1. MFL,0,Akademija Pandev,1425,1402.0,0 - 2,FK Renova,1333,1356.0,0,2,North Macedonia,domestic league (tier 1)
2018/09/29,1. MFL,0,Akademija Pandev,1402,1406.0,0 - 0,KF Shkëndija 79,1669,1665.0,0,0,North Macedonia,domestic league (tier 1)
2018/10/28,1. MFL,0,Akademija Pandev,1373,1379.0,3 - 0,FK Belasica,1189,1183.0,3,0,North Macedonia,domestic league (tier 1)
2018/11/04,1. MFL,0,Akademija Pandev,1372,1381.0,1 - 0,FK Rabotnicki,1445,1436.0,1,0,North Macedonia,domestic league (tier 1)
2018/11/22,1. MFL,0,Akademija Pandev,1373,1380.0,2 - 1,FK Pobeda,1373,1366.0,2,1,North Macedonia,domestic league (tier 1)
2018/12/02,1. MFL,0,Akademija Pandev,1400,1400.0,0 - 0,Vardar Skopje,1496,1496.0,0,0,North Macedonia,domestic league (tier 1)
2019/02/24,1. MFL,0,Akademija Pandev,1420,1423.0,1 - 0,FK Belasica,1219,1216.0,1,0,North Macedonia,domestic league (tier 1)
2019/03/03,1. MFL,0,Akademija Pandev,1423,1404.0,0 - 2,KF Shkupi,1435,1454.0,0,2,North Macedonia,domestic league (tier 1)
2019/03/16,1. MFL,0,Akademija Pandev,1425,1433.0,2 - 0,Sileks Kratovo,1345,1337.0,2,0,North Macedonia,domestic league (tier 1)
2019/03/31,1. MFL,0,Akademija Pandev,1433,1439.0,2 - 1,FK Renova,1397,1391.0,2,1,North Macedonia,domestic league (tier 1)
2019/04/03,1. MFL,0,Akademija Pandev,1439,1432.0,0 - 1,KF Shkëndija 79,1647,1654.0,0,1,North Macedonia,domestic league (tier 1)
2019/04/20,1. MFL,0,Akademija Pandev,1450,1424.0,0 - 2,FK Belasica,1215,1241.0,0,2,North Macedonia,domestic league (tier 1)
2019/04/27,1. MFL,0,Akademija Pandev,1417,1427.0,3 - 1,FK Rabotnicki,1388,1378.0,3,1,North Macedonia,domestic league (tier 1)
2019/05/08,1. MFL,0,Akademija Pandev,1422,1428.0,4 - 0,FK Pobeda,1243,1237.0,4,0,North Macedonia,domestic league (tier 1)
2019/05/26,1. MFL,0,Akademija Pandev,1422,1421.0,1 - 1,Vardar Skopje,1485,1486.0,1,1,North Macedonia,domestic league (tier 1)
2019/08/10,1. MFL,0,Akademija Pandev,1403,1416.0,1 - 0,KF Shkëndija 79,1606,1593.0,1,0,North Macedonia,domestic league (tier 1)
2019/08/25,1. MFL,0,Akademija Pandev,1417,1420.0,2 - 0,FK Borec,1129,1126.0,2,0,North Macedonia,domestic league (tier 1)
2019/09/13,1. MFL,0,Akademija Pandev,1432,1441.0,2 - 0,FK Renova,1393,1384.0,2,0,North Macedonia,domestic league (tier 1)
2019/09/22,1. MFL,0,Akademija Pandev,1439,1435.0,0 - 0,KF Shkupi,1399,1403.0,0,0,North Macedonia,domestic league (tier 1)
2019/10/05,1. MFL,0,Akademija Pandev,1434,1442.0,2 - 0,Sileks Kratovo,1361,1353.0,2,0,North Macedonia,domestic league (tier 1)
2019/10/23,1. MFL,0,Akademija Pandev,1458,1468.0,4 - 0,Makedonija GP,1371,1361.0,4,0,North Macedonia,domestic league (tier 1)
2019/11/02,1. MFL,0,Akademija Pandev,1462,1456.0,1 - 1,FK Rabotnicki,1341,1347.0,1,1,North Macedonia,domestic league (tier 1)
2019/11/24,1. MFL,0,Akademija Pandev,1456,1449.0,1 - 1,FC Struga,1282,1289.0,1,1,North Macedonia,domestic league (tier 1)
2019/12/01,1. MFL,0,Akademija Pandev,1436,1417.0,0 - 3,Vardar Skopje,1509,1528.0,0,3,North Macedonia,domestic league (tier 1)
2020/02/16,1. MFL,0,Akademija Pandev,1405,1396.0,1 - 2,KF Shkëndija 79,1556,1565.0,1,2,North Macedonia,domestic league (tier 1)
2020/03/01,1. MFL,0,Akademija Pandev,1388,1381.0,0 - 0,FK Borec,1179,1186.0,0,0,North Macedonia,domestic league (tier 1)
2020/03/11,1. MFL,0,Akademija Pandev,1370,1357.0,0 - 1,FK Renova,1353,1366.0,0,1,North Macedonia,domestic league (tier 1)
2020/08/16,1. MFL,0,Akademija Pandev,1348,1339.0,0 - 1,Vardar Skopje,1495,1504.0,0,1,North Macedonia,domestic league (tier 1)
2020/08/29,1. MFL,0,Akademija Pandev,1329,1335.0,1 - 0,FC Struga,1288,1282.0,1,0,North Macedonia,domestic league (tier 1)
2020/09/27,1. MFL,0,Akademija Pandev,1319,1329.0,1 - 0,Sileks Kratovo,1416,1406.0,1,0,North Macedonia,domestic league (tier 1)
2020/10/18,1. MFL,0,Akademija Pandev,1333,1322.0,0 - 1,KF Shkupi,1400,1411.0,0,1,North Macedonia,domestic league (tier 1)
2020/11/07,1. MFL,0,Akademija Pandev,1324,1309.0,1 - 2,FK Belasica,1215,1230.0,1,2,North Macedonia,domestic league (tier 1)
2020/11/22,1. MFL,0,Akademija Pandev,1309,1316.0,3 - 2,FK Pelister,1290,1283.0,3,2,North Macedonia,domestic league (tier 1)
2020/12/02,1. MFL,0,Akademija Pandev,1320,1307.0,0 - 1,FK Renova,1323,1336.0,0,1,North Macedonia,domestic league (tier 1)
2020/12/09,1. MFL,0,Akademija Pandev,1310,1317.0,2 - 1,FK Borec,1285,1278.0,2,1,North Macedonia,domestic league (tier 1)
2020/12/13,1. MFL,0,Akademija Pandev,1317,1312.0,0 - 1,KF Shkëndija 79,1593,1598.0,0,1,North Macedonia,domestic league (tier 1)
2021/02/13,1. MFL,0,Akademija Pandev,1326,1315.0,0 - 1,FK Rabotnicki,1383,1394.0,0,1,North Macedonia,domestic league (tier 1)
2021/03/03,1. MFL,0,Akademija Pandev,1320,1330.0,2 - 1,Makedonija GP,1419,1409.0,2,1,North Macedonia,domestic league (tier 1)
2021/03/20,1. MFL,0,Akademija Pandev,1351,1358.0,1 - 0,FC Struga,1351,1344.0,1,0,North Macedonia,domestic league (tier 1)
2021/04/11,1. MFL,0,Akademija Pandev,1392,1380.0,0 - 1,KF Shkupi,1426,1438.0,0,1,North Macedonia,domestic league (tier 1)
2021/04/18,1. MFL,0,Akademija Pandev,1377,1389.0,3 - 0,Vardar Skopje,1357,1345.0,3,0,North Macedonia,domestic league (tier 1)
2021/04/28,1. MFL,0,Akademija Pandev,1381,1377.0,1 - 1,FK Renova,1334,1338.0,1,1,North Macedonia,domestic league (tier 1)
2021/05/16,1. MFL,0,Akademija Pandev,1375,1383.0,3 - 1,FK Borec,1290,1282.0,3,1,North Macedonia,domestic league (tier 1)
2021/08/08,1. MFL,0,Akademija Pandev,1382,1380.0,1 - 1,FC Struga,1397,1399.0,1,1,North Macedonia,domestic league (tier 1)
2021/08/15,1. MFL,0,Akademija Pandev,1380,1392.0,2 - 0,FK Rabotnicki,1413,1401.0,2,0,North Macedonia,domestic league (tier 1)
2021/08/22,1. MFL,0,Akademija Pandev,1400,1406.0,2 - 1,FK Renova,1345,1339.0,2,1,North Macedonia,domestic league (tier 1)
2021/09/12,1. MFL,0,Akademija Pandev,1396,1409.0,4 - 1,Makedonija GP,1397,1384.0,4,1,North Macedonia,domestic league (tier 1)
2021/09/26,1. MFL,0,Akademija Pandev,1409,1392.0,1 - 3,KF Shkupi,1458,1475.0,1,3,North Macedonia,domestic league (tier 1)
2021/10/16,1. MFL,0,Akademija Pandev,1392,1403.0,2 - 1,KF Shkëndija 79,1536,1525.0,2,1,North Macedonia,domestic league (tier 1)
2021/10/20,North Macedonia Cup,0,Akademija Pandev,1403,1398.0,1 - 1,Makedonija GP,1325,1330.0,1,1,North Macedonia,domestic cup
2021/11/21,1. MFL,0,Akademija Pandev,1432,1434.0,3 - 2,GFK Tikvesh,1152,1150.0,3,2,North Macedonia,domestic league (tier 1)
2021/12/05,1. MFL,0,Akademija Pandev,1445,1440.0,0 - 0,FK Bregalnica Štip,1345,1350.0,0,0,North Macedonia,domestic league (tier 1)
2021/12/12,1. MFL,0,Akademija Pandev,1424,1427.0,1 - 0,FK Pelister,1217,1214.0,1,0,North Macedonia,domestic league (tier 1)
2022/02/20,1. MFL,0,Akademija Pandev,1422,1430.0,5 - 0,FK Skopje,1289,1281.0,5,0,North Macedonia,domestic league (tier 1)
2022/03/09,1. MFL,0,Akademija Pandev,1436,1441.0,5 - 0,FK Borec,1213,1208.0,5,0,North Macedonia,domestic league (tier 1)
2022/03/13,1. MFL,0,Akademija Pandev,1441,1447.0,1 - 0,FC Struga,1377,1371.0,1,0,North Macedonia,domestic league (tier 1)
2022/04/03,1. MFL,0,Akademija Pandev,1453,1436.0,1 - 2,FK Skopje,1252,1269.0,1,2,North Macedonia,domestic league (tier 1)
2022/04/10,1. MFL,0,Akademija Pandev,1432,1436.0,2 - 0,FK Pelister,1204,1200.0,2,0,North Macedonia,domestic league (tier 1)
2022/04/22,1. MFL,0,Akademija Pandev,1447,1451.0,2 - 1,FK Bregalnica Štip,1316,1312.0,2,1,North Macedonia,domestic league (tier 1)
2022/05/04,1. MFL,0,Akademija Pandev,1443,1458.0,4 - 2,KF Shkëndija 79,1548,1533.0,4,2,North Macedonia,domestic league (tier 1)
2022/05/08,1. MFL,0,Akademija Pandev,1458,1463.0,2 - 1,FK Rabotnicki,1351,1346.0,2,1,North Macedonia,domestic league (tier 1)
2022/08/07,1. MFL,0,Akademija Pandev,1446,1430.0,1 - 2,FK Bregalnica Štip,1318,1334.0,1,2,North Macedonia,domestic league (tier 1)
2022/08/21,1. MFL,0,Akademija Pandev,1451,1441.0,0 - 1,KF Shkëndija 79,1547,1557.0,0,1,North Macedonia,domestic league (tier 1)
2022/08/31,1. MFL,0,Akademija Pandev,1442,1448.0,3 - 0,FK Skopje,1261,1255.0,3,0,North Macedonia,domestic league (tier 1)
2022/09/04,1. MFL,0,Akademija Pandev,1448,1425.0,0 - 3,FC Struga,1437,1460.0,0,3,North Macedonia,domestic league (tier 1)
2022/09/17,1. MFL,0,Akademija Pandev,1424,1410.0,0 - 1,Makedonija GP,1392,1406.0,0,1,North Macedonia,domestic league (tier 1)
2022/10/09,1. MFL,0,Akademija Pandev,1410,1399.0,0 - 1,KF Shkupi,1479,1490.0,0,1,North Macedonia,domestic league (tier 1)
2022/10/30,1. MFL,0,Akademija Pandev,1387,1365.0,0 - 2,FK Rabotnicki,1317,1339.0,0,2,North Macedonia,domestic league (tier 1)
2022/11/12,1. MFL,0,Akademija Pandev,1366,1380.0,3 - 0,Sileks Kratovo,1392,1378.0,3,0,North Macedonia,domestic league (tier 1)
