Date,Competition,Neutral Venue,Home,PreHElo,PostHElo,Result,Away,PreAElo,PostAElo,Home Goals,Away Goals,Country,Category
2016/07/16,Eliteserien,0,Aalesunds FK,1578,1584.0,1 - 1,Rosenborg BK,1901,1895.0,1,1,Norway,domestic league (tier 1)
2016/07/31,Eliteserien,0,Aalesunds FK,1570,1584.0,2 - 0,Lillestrøm SK,1640,1626.0,2,0,Norway,domestic league (tier 1)
2016/08/14,Eliteserien,0,Aalesunds FK,1598,1586.0,0 - 2,Molde FK,1766,1778.0,0,2,Norway,domestic league (tier 1)
2016/08/26,Eliteserien,0,Aalesunds FK,1574,1574.0,2 - 2,Sarpsborg 08,1677,1677.0,2,2,Norway,domestic league (tier 1)
2016/09/18,Eliteserien,0,Aalesunds FK,1589,1605.0,4 - 2,Strømsgodset IF,1708,1692.0,4,2,Norway,domestic league (tier 1)
2016/10/02,Eliteserien,0,Aalesunds FK,1619,1629.0,1 - 0,Odds BK,1731,1721.0,1,0,Norway,domestic league (tier 1)
2016/10/15,Eliteserien,0,Aalesunds FK,1629,1636.0,1 - 0,FK Bodø/Glimt,1611,1604.0,1,0,Norway,domestic league (tier 1)
2016/10/30,Eliteserien,0,Aalesunds FK,1650,1648.0,3 - 3,FK Haugesund,1664,1666.0,3,3,Norway,domestic league (tier 1)
2017/04/05,Eliteserien,0,Aalesunds FK,1651,1632.0,1 - 3,Sarpsborg 08,1655,1674.0,1,3,Norway,domestic league (tier 1)
2017/04/17,Eliteserien,0,Aalesunds FK,1636,1646.0,3 - 1,Lillestrøm SK,1610,1600.0,3,1,Norway,domestic league (tier 1)
2017/04/30,Eliteserien,0,Aalesunds FK,1654,1663.0,3 - 1,Tromsø IL,1610,1601.0,3,1,Norway,domestic league (tier 1)
2017/05/12,Eliteserien,0,Aalesunds FK,1678,1665.0,0 - 1,Vålerenga IF,1660,1673.0,0,1,Norway,domestic league (tier 1)
2017/05/21,Eliteserien,0,Aalesunds FK,1677,1683.0,2 - 0,Sandefjord Fotball,1553,1547.0,2,0,Norway,domestic league (tier 1)
2017/06/04,Eliteserien,0,Aalesunds FK,1687,1673.0,0 - 1,FK Haugesund,1649,1663.0,0,1,Norway,domestic league (tier 1)
2017/06/25,Eliteserien,0,Aalesunds FK,1671,1687.0,5 - 1,Odds BK,1727,1711.0,5,1,Norway,domestic league (tier 1)
2017/07/08,Eliteserien,0,Aalesunds FK,1677,1658.0,0 - 3,Molde FK,1753,1772.0,0,3,Norway,domestic league (tier 1)
2017/08/06,Eliteserien,0,Aalesunds FK,1649,1647.0,3 - 3,SK Brann,1694,1696.0,3,3,Norway,domestic league (tier 1)
2017/08/13,Eliteserien,0,Aalesunds FK,1632,1629.0,1 - 1,Viking FK,1614,1617.0,1,1,Norway,domestic league (tier 1)
2017/09/10,Eliteserien,0,Aalesunds FK,1620,1617.0,1 - 1,Stabæk IF,1625,1628.0,1,1,Norway,domestic league (tier 1)
2017/09/24,Eliteserien,0,Aalesunds FK,1611,1597.0,0 - 1,Sogndal IL,1562,1576.0,0,1,Norway,domestic league (tier 1)
2017/10/21,Eliteserien,0,Aalesunds FK,1575,1572.0,1 - 1,Kristiansund BK,1570,1573.0,1,1,Norway,domestic league (tier 1)
2017/11/05,Eliteserien,0,Aalesunds FK,1562,1578.0,2 - 1,Rosenborg BK,1899,1883.0,2,1,Norway,domestic league (tier 1)
2017/11/26,Eliteserien,0,Aalesunds FK,1574,1586.0,4 - 3,Strømsgodset IF,1744,1732.0,4,3,Norway,domestic league (tier 1)
2018/04/03,1. Divisjon,0,Aalesunds FK,1586,1583.0,0 - 0,Sogndal IL,1567,1570.0,0,0,Norway,domestic league (tier 2)
2018/04/15,1. Divisjon,0,Aalesunds FK,1590,1594.0,4 - 0,Florø SK,1328,1324.0,4,0,Norway,domestic league (tier 2)
2018/04/22,1. Divisjon,0,Aalesunds FK,1594,1599.0,4 - 0,Tromsdalen UIL,1350,1345.0,4,0,Norway,domestic league (tier 2)
2018/05/06,1. Divisjon,0,Aalesunds FK,1609,1614.0,2 - 1,Mjøndalen IF,1495,1490.0,2,1,Norway,domestic league (tier 2)
2018/05/16,1. Divisjon,0,Aalesunds FK,1619,1611.0,2 - 2,Strømmen IF,1330,1338.0,2,2,Norway,domestic league (tier 2)
2018/05/27,1. Divisjon,0,Aalesunds FK,1629,1610.0,1 - 2,Hamarkameratene,1233,1252.0,1,2,Norway,domestic league (tier 2)
2018/06/10,1. Divisjon,0,Aalesunds FK,1595,1598.0,3 - 2,Ullensaker/Kisa IL,1421,1418.0,3,2,Norway,domestic league (tier 2)
2018/06/24,1. Divisjon,0,Aalesunds FK,1605,1608.0,3 - 0,Notodden FK,1314,1311.0,3,0,Norway,domestic league (tier 2)
2018/07/22,1. Divisjon,0,Aalesunds FK,1608,1613.0,4 - 0,Sandnes Ulf,1391,1386.0,4,0,Norway,domestic league (tier 2)
2018/08/05,1. Divisjon,0,Aalesunds FK,1608,1610.0,1 - 0,Åsane Fotball,1333,1331.0,1,0,Norway,domestic league (tier 2)
2018/08/26,1. Divisjon,0,Aalesunds FK,1612,1594.0,0 - 1,Nest-Sotra,1371,1389.0,0,1,Norway,domestic league (tier 2)
2018/09/16,1. Divisjon,0,Aalesunds FK,1583,1586.0,2 - 1,Kongsvinger IL,1405,1402.0,2,1,Norway,domestic league (tier 2)
2018/09/30,1. Divisjon,0,Aalesunds FK,1574,1567.0,1 - 1,FK Jerv,1352,1359.0,1,1,Norway,domestic league (tier 2)
2018/10/23,1. Divisjon,0,Aalesunds FK,1576,1554.0,1 - 3,Viking FK,1501,1523.0,1,3,Norway,domestic league (tier 2)
2018/11/04,1. Divisjon,0,Aalesunds FK,1541,1544.0,4 - 0,Levanger FK,1224,1221.0,4,0,Norway,domestic league (tier 2)
2019/04/06,1. Divisjon,0,Aalesunds FK,1569,1573.0,1 - 0,Kongsvinger IL,1414,1410.0,1,0,Norway,domestic league (tier 2)
2019/04/22,1. Divisjon,0,Aalesunds FK,1575,1577.0,4 - 2,Skeid Fotball,1231,1229.0,4,2,Norway,domestic league (tier 2)
2019/05/04,1. Divisjon,0,Aalesunds FK,1583,1590.0,3 - 1,Sogndal IL,1470,1463.0,3,1,Norway,domestic league (tier 2)
2019/05/16,1. Divisjon,0,Aalesunds FK,1596,1600.0,5 - 0,Tromsdalen UIL,1297,1293.0,5,0,Norway,domestic league (tier 2)
2019/06/02,1. Divisjon,0,Aalesunds FK,1599,1602.0,1 - 0,Ullensaker/Kisa IL,1418,1415.0,1,0,Norway,domestic league (tier 2)
2019/06/30,1. Divisjon,0,Aalesunds FK,1623,1627.0,3 - 1,Sandnes Ulf,1410,1406.0,3,1,Norway,domestic league (tier 2)
2019/07/28,1. Divisjon,0,Aalesunds FK,1636,1639.0,2 - 0,Nest-Sotra,1372,1369.0,2,0,Norway,domestic league (tier 2)
2019/08/11,1. Divisjon,0,Aalesunds FK,1642,1645.0,3 - 1,Strømmen IF,1372,1369.0,3,1,Norway,domestic league (tier 2)
2019/08/28,1. Divisjon,0,Aalesunds FK,1659,1662.0,5 - 2,Hamarkameratene,1333,1330.0,5,2,Norway,domestic league (tier 2)
2019/09/01,1. Divisjon,0,Aalesunds FK,1662,1665.0,4 - 0,FK Jerv,1341,1338.0,4,0,Norway,domestic league (tier 2)
2019/09/18,1. Divisjon,0,Aalesunds FK,1661,1663.0,2 - 1,KFUM Oslo,1404,1402.0,2,1,Norway,domestic league (tier 2)
2019/09/22,1. Divisjon,0,Aalesunds FK,1663,1665.0,3 - 1,Notodden FK,1317,1315.0,3,1,Norway,domestic league (tier 2)
2019/10/06,1. Divisjon,0,Aalesunds FK,1657,1659.0,3 - 1,Raufoss IL,1288,1286.0,3,1,Norway,domestic league (tier 2)
2019/10/26,1. Divisjon,0,Aalesunds FK,1661,1665.0,2 - 1,IK Start,1532,1528.0,2,1,Norway,domestic league (tier 2)
2019/11/09,1. Divisjon,0,Aalesunds FK,1672,1680.0,3 - 1,Sandefjord Fotball,1587,1579.0,3,1,Norway,domestic league (tier 2)
2020/06/16,Eliteserien,0,Aalesunds FK,1680,1666.0,1 - 4,Molde FK,1852,1866.0,1,4,Norway,domestic league (tier 1)
2020/06/24,Eliteserien,0,Aalesunds FK,1650,1648.0,2 - 2,SK Brann,1667,1669.0,2,2,Norway,domestic league (tier 1)
2020/07/01,Eliteserien,0,Aalesunds FK,1650,1628.0,1 - 3,Mjøndalen IF,1573,1595.0,1,3,Norway,domestic league (tier 1)
2020/07/12,Eliteserien,0,Aalesunds FK,1630,1613.0,1 - 6,FK Bodø/Glimt,1774,1791.0,1,6,Norway,domestic league (tier 1)
2020/07/19,Eliteserien,0,Aalesunds FK,1604,1587.0,1 - 3,Stabæk IF,1664,1681.0,1,3,Norway,domestic league (tier 1)
2020/07/29,Eliteserien,0,Aalesunds FK,1582,1588.0,3 - 2,IK Start,1530,1524.0,3,2,Norway,domestic league (tier 1)
2020/08/09,Eliteserien,0,Aalesunds FK,1576,1575.0,2 - 2,Viking FK,1656,1657.0,2,2,Norway,domestic league (tier 1)
2020/08/22,Eliteserien,0,Aalesunds FK,1572,1556.0,1 - 3,FK Haugesund,1654,1670.0,1,3,Norway,domestic league (tier 1)
2020/09/13,Eliteserien,0,Aalesunds FK,1548,1537.0,0 - 1,Sarpsborg 08,1606,1617.0,0,1,Norway,domestic league (tier 1)
2020/09/27,Eliteserien,0,Aalesunds FK,1530,1525.0,1 - 2,Rosenborg BK,1803,1808.0,1,2,Norway,domestic league (tier 1)
2020/10/04,Eliteserien,0,Aalesunds FK,1525,1517.0,1 - 2,Kristiansund BK,1685,1693.0,1,2,Norway,domestic league (tier 1)
2020/10/25,Eliteserien,0,Aalesunds FK,1509,1496.0,0 - 3,Odds BK,1702,1715.0,0,3,Norway,domestic league (tier 1)
2020/11/21,Eliteserien,0,Aalesunds FK,1510,1513.0,1 - 1,Vålerenga IF,1707,1704.0,1,1,Norway,domestic league (tier 1)
2020/12/02,Eliteserien,0,Aalesunds FK,1506,1495.0,0 - 1,Sandefjord Fotball,1568,1579.0,0,1,Norway,domestic league (tier 1)
2020/12/09,Eliteserien,0,Aalesunds FK,1494,1475.0,1 - 4,Strømsgodset IF,1558,1577.0,1,4,Norway,domestic league (tier 1)
