Date,Competition,Neutral Venue,Home,PreHElo,PostHElo,Result,Away,PreAElo,PostAElo,Home Goals,Away Goals,Country,Category
2016/07/22,Ekstraklasa,0,Arka Gdynia,1531,1551.0,3 - 0,Wisla Kraków,1675,1655.0,3,0,Poland,domestic league (tier 1)
2016/07/29,Ekstraklasa,0,Arka Gdynia,1551,1564.0,3 - 0,Ruch Chorzów,1552,1539.0,3,0,Poland,domestic league (tier 1)
2016/08/13,Ekstraklasa,0,Arka Gdynia,1554,1570.0,2 - 0,Slask Wroclaw,1678,1662.0,2,0,Poland,domestic league (tier 1)
2016/08/27,Ekstraklasa,0,Arka Gdynia,1596,1597.0,1 - 1,Zaglebie Lubin,1718,1717.0,1,1,Poland,domestic league (tier 1)
2016/09/19,Ekstraklasa,0,Arka Gdynia,1590,1599.0,1 - 0,KS Cracovia,1644,1635.0,1,0,Poland,domestic league (tier 1)
2016/10/01,Ekstraklasa,0,Arka Gdynia,1610,1598.0,1 - 2,Piast Gliwice,1629,1641.0,1,2,Poland,domestic league (tier 1)
2016/10/21,Ekstraklasa,0,Arka Gdynia,1600,1579.0,0 - 3,Pogon Szczecin,1636,1657.0,0,3,Poland,domestic league (tier 1)
2016/10/30,Ekstraklasa,0,Arka Gdynia,1568,1569.0,1 - 1,Lechia Gdansk,1713,1712.0,1,1,Poland,domestic league (tier 1)
2016/11/20,Ekstraklasa,0,Arka Gdynia,1570,1551.0,1 - 3,Bruk-Bet Termalica Nieciecza,1574,1593.0,1,3,Poland,domestic league (tier 1)
2016/12/12,Ekstraklasa,0,Arka Gdynia,1557,1548.0,2 - 3,Jagiellonia Bialystok,1686,1695.0,2,3,Poland,domestic league (tier 1)
2017/02/11,Ekstraklasa,0,Arka Gdynia,1569,1563.0,0 - 1,Legia Warszawa,1835,1841.0,0,1,Poland,domestic league (tier 1)
2017/02/24,Ekstraklasa,0,Arka Gdynia,1559,1573.0,4 - 1,Korona Kielce,1589,1575.0,4,1,Poland,domestic league (tier 1)
2017/03/10,Ekstraklasa,0,Arka Gdynia,1593,1581.0,1 - 4,Lech Poznan,1807,1819.0,1,4,Poland,domestic league (tier 1)
2017/04/01,Ekstraklasa,0,Arka Gdynia,1574,1553.0,2 - 4,Górnik Leczna,1521,1542.0,2,4,Poland,domestic league (tier 1)
2017/04/22,Ekstraklasa,0,Arka Gdynia,1517,1516.0,1 - 1,Wisla Plock,1571,1572.0,1,1,Poland,domestic league (tier 1)
2017/04/28,Ekstraklasa,0,Arka Gdynia,1516,1515.0,1 - 1,Piast Gliwice,1580,1581.0,1,1,Poland,domestic league (tier 1)
2017/05/12,Ekstraklasa,0,Arka Gdynia,1523,1531.0,1 - 0,Górnik Leczna,1558,1550.0,1,0,Poland,domestic league (tier 1)
2017/05/16,Ekstraklasa,0,Arka Gdynia,1531,1520.0,0 - 1,Wisla Plock,1580,1591.0,0,1,Poland,domestic league (tier 1)
2017/05/27,Ekstraklasa,0,Arka Gdynia,1509,1506.0,1 - 1,Ruch Chorzów,1514,1517.0,1,1,Poland,domestic league (tier 1)
2017/07/16,Ekstraklasa,0,Arka Gdynia,1539,1553.0,2 - 0,Slask Wroclaw,1605,1591.0,2,0,Poland,domestic league (tier 1)
2017/07/30,Ekstraklasa,0,Arka Gdynia,1568,1565.0,1 - 1,Wisla Plock,1550,1553.0,1,1,Poland,domestic league (tier 1)
2017/08/07,Ekstraklasa,0,Arka Gdynia,1562,1560.0,0 - 0,Korona Kielce,1596,1598.0,0,0,Poland,domestic league (tier 1)
2017/08/19,Ekstraklasa,0,Arka Gdynia,1575,1555.0,0 - 3,Pogon Szczecin,1619,1639.0,0,3,Poland,domestic league (tier 1)
2017/09/08,Ekstraklasa,0,Arka Gdynia,1551,1566.0,3 - 1,Wisla Kraków,1644,1629.0,3,1,Poland,domestic league (tier 1)
2017/09/15,Ekstraklasa,0,Arka Gdynia,1566,1567.0,1 - 1,Zaglebie Lubin,1688,1687.0,1,1,Poland,domestic league (tier 1)
2017/09/29,Ekstraklasa,0,Arka Gdynia,1591,1586.0,1 - 1,KS Cracovia,1516,1521.0,1,1,Poland,domestic league (tier 1)
2017/10/22,Ekstraklasa,0,Arka Gdynia,1587,1605.0,4 - 1,Jagiellonia Bialystok,1691,1673.0,4,1,Poland,domestic league (tier 1)
2017/11/03,Ekstraklasa,0,Arka Gdynia,1613,1601.0,0 - 1,Lechia Gdansk,1651,1663.0,0,1,Poland,domestic league (tier 1)
2017/11/25,Ekstraklasa,0,Arka Gdynia,1614,1623.0,5 - 0,Sandecja Nowy Sacz,1510,1501.0,5,0,Poland,domestic league (tier 1)
2017/12/12,Ekstraklasa,0,Arka Gdynia,1629,1638.0,1 - 0,Górnik Zabrze,1678,1669.0,1,0,Poland,domestic league (tier 1)
2018/02/11,Ekstraklasa,0,Arka Gdynia,1629,1630.0,0 - 0,Lech Poznan,1772,1771.0,0,0,Poland,domestic league (tier 1)
2018/02/28,Ekstraklasa,0,Arka Gdynia,1626,1623.0,0 - 0,Piast Gliwice,1602,1605.0,0,0,Poland,domestic league (tier 1)
2018/03/12,Ekstraklasa,0,Arka Gdynia,1615,1625.0,4 - 0,Bruk-Bet Termalica Nieciecza,1528,1518.0,4,0,Poland,domestic league (tier 1)
2018/03/31,Ekstraklasa,0,Arka Gdynia,1620,1632.0,1 - 0,Legia Warszawa,1775,1763.0,1,0,Poland,domestic league (tier 1)
2018/04/13,Ekstraklasa,0,Arka Gdynia,1614,1601.0,1 - 2,Lechia Gdansk,1600,1613.0,1,2,Poland,domestic league (tier 1)
2018/04/27,Ekstraklasa,0,Arka Gdynia,1594,1570.0,1 - 5,Piast Gliwice,1598,1622.0,1,5,Poland,domestic league (tier 1)
2018/05/08,Ekstraklasa,0,Arka Gdynia,1559,1572.0,2 - 0,KS Cracovia,1618,1605.0,2,0,Poland,domestic league (tier 1)
2018/05/19,Ekstraklasa,0,Arka Gdynia,1563,1551.0,0 - 1,Slask Wroclaw,1606,1618.0,0,1,Poland,domestic league (tier 1)
2018/07/29,Ekstraklasa,0,Arka Gdynia,1574,1561.0,0 - 2,Jagiellonia Bialystok,1728,1741.0,0,2,Poland,domestic league (tier 1)
2018/08/11,Ekstraklasa,0,Arka Gdynia,1564,1564.0,1 - 1,Górnik Zabrze,1648,1648.0,1,1,Poland,domestic league (tier 1)
2018/09/01,Ekstraklasa,0,Arka Gdynia,1580,1575.0,2 - 2,Zaglebie Sosnowiec,1501,1506.0,2,2,Poland,domestic league (tier 1)
2018/09/21,Ekstraklasa,0,Arka Gdynia,1569,1580.0,1 - 0,Lech Poznan,1706,1695.0,1,0,Poland,domestic league (tier 1)
2018/10/07,Ekstraklasa,0,Arka Gdynia,1587,1600.0,3 - 1,Zaglebie Lubin,1647,1634.0,3,1,Poland,domestic league (tier 1)
2018/11/02,Ekstraklasa,0,Arka Gdynia,1608,1596.0,2 - 3,Pogon Szczecin,1628,1640.0,2,3,Poland,domestic league (tier 1)
2018/11/26,Ekstraklasa,0,Arka Gdynia,1618,1634.0,4 - 1,Wisla Kraków,1695,1679.0,4,1,Poland,domestic league (tier 1)
2018/12/10,Ekstraklasa,0,Arka Gdynia,1612,1588.0,0 - 3,KS Cracovia,1575,1599.0,0,3,Poland,domestic league (tier 1)
2018/12/21,Ekstraklasa,0,Arka Gdynia,1591,1588.0,3 - 3,Wisla Plock,1602,1605.0,3,3,Poland,domestic league (tier 1)
2019/02/10,Ekstraklasa,0,Arka Gdynia,1588,1576.0,1 - 2,Korona Kielce,1634,1646.0,1,2,Poland,domestic league (tier 1)
2019/02/22,Ekstraklasa,0,Arka Gdynia,1565,1555.0,1 - 2,Piast Gliwice,1650,1660.0,1,2,Poland,domestic league (tier 1)
2019/03/09,Ekstraklasa,0,Arka Gdynia,1551,1544.0,1 - 2,Legia Warszawa,1757,1764.0,1,2,Poland,domestic league (tier 1)
2019/03/30,Ekstraklasa,0,Arka Gdynia,1550,1533.0,0 - 2,Slask Wroclaw,1602,1619.0,0,2,Poland,domestic league (tier 1)
2019/04/02,Ekstraklasa,0,Arka Gdynia,1533,1536.0,0 - 0,Lechia Gdansk,1742,1739.0,0,0,Poland,domestic league (tier 1)
2019/04/13,Ekstraklasa,0,Arka Gdynia,1541,1539.0,1 - 1,Miedz Legnica,1560,1562.0,1,1,Poland,domestic league (tier 1)
