Date,Competition,Neutral Venue,Home,PreHElo,PostHElo,Result,Away,PreAElo,PostAElo,Home Goals,Away Goals,Country,Category
2016/08/14,Segunda Liga,0,AD Fafe,1539,1536.0,2 - 2,SC Freamunde,1547,1550.0,2,2,Portugal,domestic league (tier 2)
2016/09/04,Segunda Liga,0,AD Fafe,1566,1546.0,0 - 2,CD Santa Clara,1533,1553.0,0,2,Portugal,domestic league (tier 2)
2016/09/11,Segunda Liga,0,AD Fafe,1546,1541.0,0 - 0,Leixões SC,1438,1443.0,0,0,Portugal,domestic league (tier 2)
2016/09/21,Segunda Liga,0,AD Fafe,1545,1529.0,0 - 2,Portimonense SC,1632,1648.0,0,2,Portugal,domestic league (tier 2)
2016/10/02,Segunda Liga,0,AD Fafe,1527,1515.0,1 - 2,Académica de Coimbra,1574,1586.0,1,2,Portugal,domestic league (tier 2)
2016/10/23,Segunda Liga,0,AD Fafe,1533,1529.0,1 - 1,Sporting Covilhã,1506,1510.0,1,1,Portugal,domestic league (tier 2)
2016/11/13,Segunda Liga,0,AD Fafe,1506,1484.0,1 - 3,CD Cova Piedade,1444,1466.0,1,3,Portugal,domestic league (tier 2)
2016/12/05,Segunda Liga,0,AD Fafe,1498,1497.0,1 - 1,FC Vizela,1547,1548.0,1,1,Portugal,domestic league (tier 2)
2016/12/18,Segunda Liga,0,AD Fafe,1488,1495.0,2 - 1,Gil Vicente,1475,1468.0,2,1,Portugal,domestic league (tier 2)
2017/01/08,Segunda Liga,0,AD Fafe,1489,1481.0,1 - 2,CD Aves,1643,1651.0,1,2,Portugal,domestic league (tier 2)
2017/01/15,Segunda Liga,0,AD Fafe,1481,1495.0,4 - 1,Sporting Braga B,1514,1500.0,4,1,Portugal,domestic league (tier 2)
2017/01/28,Segunda Liga,0,AD Fafe,1488,1498.0,2 - 0,Sporting CP B,1479,1469.0,2,0,Portugal,domestic league (tier 2)
2017/02/11,Segunda Liga,0,AD Fafe,1519,1504.0,1 - 2,SC Olhanense,1421,1436.0,1,2,Portugal,domestic league (tier 2)
2017/02/19,Segunda Liga,0,AD Fafe,1507,1505.0,3 - 3,FC Penafiel,1531,1533.0,3,3,Portugal,domestic league (tier 2)
2017/03/05,Segunda Liga,0,AD Fafe,1501,1489.0,1 - 2,União da Madeira (as União Madeira),1548,1560.0,1,2,Portugal,domestic league (tier 2)
2017/03/15,Segunda Liga,0,AD Fafe,1494,1476.0,2 - 4,Vitória Guimarães B,1523,1541.0,2,4,Portugal,domestic league (tier 2)
2017/04/03,Segunda Liga,0,AD Fafe,1481,1470.0,1 - 2,FC Porto B,1538,1549.0,1,2,Portugal,domestic league (tier 2)
2017/04/09,Segunda Liga,0,AD Fafe,1470,1468.0,1 - 1,FC Famalicão,1493,1495.0,1,1,Portugal,domestic league (tier 2)
2017/04/19,Segunda Liga,0,AD Fafe,1454,1443.0,0 - 1,SL Benfica B,1509,1520.0,0,1,Portugal,domestic league (tier 2)
2017/04/30,Segunda Liga,0,AD Fafe,1457,1439.0,1 - 3,Académico de Viseu (as Académico Viseu),1487,1505.0,1,3,Portugal,domestic league (tier 2)
2017/05/14,Segunda Liga,0,AD Fafe,1462,1471.0,2 - 1,Varzim SC,1538,1529.0,2,1,Portugal,domestic league (tier 2)
2025/10/19,Portugal Cup,0,AD Fafe,1479,1494.0,1 - 0,Moreirense FC,1777,1762.0,1,0,Portugal,domestic cup
2025/11/23,Portugal Cup,0,AD Fafe,1494,1507.0,2 - 1,FC Arouca,1713,1700.0,2,1,Portugal,domestic cup
2026/01/14,Portugal Cup,0,AD Fafe,1521,1539.0,2 - 1,Sporting Braga,2010,1992.0,2,1,Portugal,domestic cup
