Date,Competition,Neutral Venue,Home,PreHElo,PostHElo,Result,Away,PreAElo,PostAElo,Home Goals,Away Goals,Country,Category
2016/08/07,Liga 1,0,ACS Poli Timisoara,1537,1528.0,1 - 3,Pandurii Târgu Jiu,1773,1782.0,1,3,Romania,domestic league (tier 1)
2016/08/18,Liga 1,0,ACS Poli Timisoara,1533,1516.0,0 - 5,FC Botosani,1681,1698.0,0,5,Romania,domestic league (tier 1)
2016/08/22,Liga 1,0,ACS Poli Timisoara,1516,1529.0,3 - 2,CS Universitatea Craiova,1710,1697.0,3,2,Romania,domestic league (tier 1)
2016/08/27,Liga 1,0,ACS Poli Timisoara,1529,1532.0,1 - 1,CFR Cluj,1747,1744.0,1,1,Romania,domestic league (tier 1)
2016/09/18,Liga 1,0,ACS Poli Timisoara,1530,1526.0,0 - 1,FCSB,1887,1891.0,0,1,Romania,domestic league (tier 1)
2016/09/25,Liga 1,0,ACS Poli Timisoara,1531,1520.0,0 - 1,ASA Târgu Mures,1604,1615.0,0,1,Romania,domestic league (tier 1)
2016/10/17,Liga 1,0,ACS Poli Timisoara,1536,1548.0,1 - 0,FC Viitorul Constanta,1701,1689.0,1,0,Romania,domestic league (tier 1)
2016/11/05,Liga 1,0,ACS Poli Timisoara,1564,1557.0,1 - 2,Dinamo Bucuresti,1771,1778.0,1,2,Romania,domestic league (tier 1)
2016/11/27,Liga 1,0,ACS Poli Timisoara,1564,1585.0,2 - 0,Astra Giurgiu,1811,1790.0,2,0,Romania,domestic league (tier 1)
2016/12/09,Liga 1,0,ACS Poli Timisoara,1586,1594.0,1 - 0,FC Voluntari,1610,1602.0,1,0,Romania,domestic league (tier 1)
2017/02/06,Liga 1,0,ACS Poli Timisoara,1606,1606.0,1 - 1,Gaz Metan Medias,1702,1702.0,1,1,Romania,domestic league (tier 1)
2017/02/20,Liga 1,0,ACS Poli Timisoara,1608,1617.0,2 - 1,FC Politehnica Iasi (as CSMS Iasi),1663,1654.0,2,1,Romania,domestic league (tier 1)
2017/03/04,Liga 1,0,ACS Poli Timisoara,1616,1612.0,1 - 1,Concordia Chiajna,1588,1592.0,1,1,Romania,domestic league (tier 1)
2017/03/20,Liga 1,0,ACS Poli Timisoara,1626,1633.0,1 - 0,FC Voluntari,1619,1612.0,1,0,Romania,domestic league (tier 1)
2017/04/04,Liga 1,0,ACS Poli Timisoara,1628,1624.0,0 - 0,Concordia Chiajna,1564,1568.0,0,0,Romania,domestic league (tier 1)
2017/04/20,Liga 1,0,ACS Poli Timisoara,1644,1652.0,1 - 0,Gaz Metan Medias,1671,1663.0,1,0,Romania,domestic league (tier 1)
2017/05/01,Liga 1,0,ACS Poli Timisoara,1645,1642.0,1 - 1,FC Botosani,1656,1659.0,1,1,Romania,domestic league (tier 1)
