Date,Competition,Neutral Venue,Home,PreHElo,PostHElo,Result,Away,PreAElo,PostAElo,Home Goals,Away Goals,Country,Category
2017/07/16,Premier Liga,0,Akhmat Grozny,1851,1856.0,1 - 0,FK Amkar Perm,1753,1748.0,1,0,Russia,domestic league (tier 1)
2017/07/29,Premier Liga,0,Akhmat Grozny,1871,1879.0,2 - 0,Dinamo Moskva,1781,1773.0,2,0,Russia,domestic league (tier 1)
2017/08/10,Premier Liga,0,Akhmat Grozny,1869,1858.0,2 - 3,FK Krasnodar,1928,1939.0,2,3,Russia,domestic league (tier 1)
2017/08/21,Premier Liga,0,Akhmat Grozny,1851,1834.0,1 - 2,Arsenal Tula,1675,1692.0,1,2,Russia,domestic league (tier 1)
2017/09/10,Premier Liga,0,Akhmat Grozny,1851,1849.0,1 - 1,Lokomotiv Moskva,1897,1899.0,1,1,Russia,domestic league (tier 1)
2017/09/25,Premier Liga,0,Akhmat Grozny,1824,1831.0,1 - 0,Rubin Kazan,1807,1800.0,1,0,Russia,domestic league (tier 1)
2017/10/13,Premier Liga,0,Akhmat Grozny,1820,1810.0,1 - 2,Spartak Moskva,1924,1934.0,1,2,Russia,domestic league (tier 1)
2017/10/30,Premier Liga,0,Akhmat Grozny,1796,1790.0,1 - 1,Anzhi Makhachkala,1676,1682.0,1,1,Russia,domestic league (tier 1)
2017/11/04,Premier Liga,0,Akhmat Grozny,1790,1800.0,1 - 0,FK Rostov,1894,1884.0,1,0,Russia,domestic league (tier 1)
2017/11/25,Premier Liga,0,Akhmat Grozny,1802,1809.0,2 - 1,FK Ufa (as FC Ufa),1782,1775.0,2,1,Russia,domestic league (tier 1)
2017/12/11,Premier Liga,0,Akhmat Grozny,1804,1807.0,0 - 0,Zenit St. Petersburg,2020,2017.0,0,0,Russia,domestic league (tier 1)
2018/03/11,Premier Liga,0,Akhmat Grozny,1797,1783.0,0 - 3,CSKA Moskva,1977,1991.0,0,3,Russia,domestic league (tier 1)
2018/03/31,Premier Liga,0,Akhmat Grozny,1783,1776.0,0 - 0,SKA-Khabarovsk (as SKA-Energia Khabarovsk),1566,1573.0,0,0,Russia,domestic league (tier 1)
2018/04/13,Premier Liga,0,Akhmat Grozny,1769,1774.0,1 - 0,FK Tosno,1681,1676.0,1,0,Russia,domestic league (tier 1)
2018/04/30,Premier Liga,0,Akhmat Grozny,1807,1803.0,0 - 0,FK Ural (as FC Ural),1762,1766.0,0,0,Russia,domestic league (tier 1)
2018/08/05,Premier Liga,0,Akhmat Grozny,1812,1816.0,1 - 0,Enisey Krasnoyarsk,1667,1663.0,1,0,Russia,domestic league (tier 1)
2018/08/18,Premier Liga,0,Akhmat Grozny,1803,1801.0,1 - 1,Rubin Kazan,1817,1819.0,1,1,Russia,domestic league (tier 1)
2018/09/02,Premier Liga,0,Akhmat Grozny,1791,1797.0,2 - 1,FK Ufa (as FC Ufa),1763,1757.0,2,1,Russia,domestic league (tier 1)
2018/09/22,Premier Liga,0,Akhmat Grozny,1814,1811.0,1 - 1,FK Orenburg,1788,1791.0,1,1,Russia,domestic league (tier 1)
2018/10/07,Premier Liga,0,Akhmat Grozny,1798,1792.0,0 - 0,Anzhi Makhachkala,1663,1669.0,0,0,Russia,domestic league (tier 1)
2018/10/28,Premier Liga,0,Akhmat Grozny,1809,1806.0,0 - 0,Dinamo Moskva,1820,1823.0,0,0,Russia,domestic league (tier 1)
2018/11/23,Premier Liga,0,Akhmat Grozny,1795,1784.0,0 - 2,CSKA Moskva,1981,1992.0,0,2,Russia,domestic league (tier 1)
2018/12/10,Premier Liga,0,Akhmat Grozny,1783,1796.0,2 - 0,Arsenal Tula,1830,1817.0,2,0,Russia,domestic league (tier 1)
