Date,Competition,Neutral Venue,Home,PreHElo,PostHElo,Result,Away,PreAElo,PostAElo,Home Goals,Away Goals,Country,Category
2016/09/18,Campionato,0,AC Juvenes/Dogana,695,681.0,1 - 2,SS Virtus,627,641.0,1,2,San Marino,domestic league (tier 1)
2016/10/01,Campionato,0,AC Juvenes/Dogana,690,681.0,0 - 1,SP La Fiorita,812,821.0,0,1,San Marino,domestic league (tier 1)
2016/10/21,Campionato,0,AC Juvenes/Dogana,681,676.0,0 - 0,SC Faetano,599,604.0,0,0,San Marino,domestic league (tier 1)
2016/11/19,Campionato,0,AC Juvenes/Dogana,686,684.0,0 - 0,AC Libertas,726,728.0,0,0,San Marino,domestic league (tier 1)
2016/12/03,Campionato,0,AC Juvenes/Dogana,687,692.0,2 - 1,SS Murata,591,586.0,2,1,San Marino,domestic league (tier 1)
2017/02/18,Campionato,0,AC Juvenes/Dogana,695,703.0,3 - 0,SS Pennarossa,594,586.0,3,0,San Marino,domestic league (tier 1)
2017/02/25,Campionato,0,AC Juvenes/Dogana,703,696.0,1 - 1,SS Cosmos,524,531.0,1,1,San Marino,domestic league (tier 1)
2017/03/11,Campionato,0,AC Juvenes/Dogana,682,689.0,3 - 2,SP Tre Fiori,660,653.0,3,2,San Marino,domestic league (tier 1)
2017/04/14,Campionato,0,AC Juvenes/Dogana,690,688.0,0 - 0,FC Fiorentino,717,719.0,0,0,San Marino,domestic league (tier 1)
2017/05/09,Campionato,1,AC Juvenes/Dogana,708,700.0,1 - 3,SP Tre Penne,877,885.0,1,3,San Marino,domestic league (tier 1)
2017/09/08,Campionato,0,AC Juvenes/Dogana,700,691.0,1 - 1,SS San Giovanni,361,370.0,1,1,San Marino,domestic league (tier 1)
2017/09/15,Campionato,0,AC Juvenes/Dogana,691,680.0,1 - 3,SP Tre Penne,894,905.0,1,3,San Marino,domestic league (tier 1)
2017/09/30,Campionato,0,AC Juvenes/Dogana,674,668.0,0 - 0,SS Cosmos,550,556.0,0,0,San Marino,domestic league (tier 1)
2017/10/22,Campionato,0,AC Juvenes/Dogana,693,681.0,2 - 3,FC Domagnano,711,723.0,2,3,San Marino,domestic league (tier 1)
2017/11/04,Campionato,0,AC Juvenes/Dogana,698,676.0,0 - 6,AC Libertas,790,812.0,0,6,San Marino,domestic league (tier 1)
2017/11/19,Campionato,0,AC Juvenes/Dogana,676,682.0,3 - 0,SP Cailungo,494,488.0,3,0,San Marino,domestic league (tier 1)
2017/12/03,Campionato,0,AC Juvenes/Dogana,702,686.0,0 - 3,SS Folgore/Falciano,830,846.0,0,3,San Marino,domestic league (tier 1)
2018/01/14,Campionato,0,AC Juvenes/Dogana,695,693.0,1 - 1,SP Tre Fiori,727,729.0,1,1,San Marino,domestic league (tier 1)
2018/03/06,Campionato,0,AC Juvenes/Dogana,716,720.0,2 - 1,SS Pennarossa,559,555.0,2,1,San Marino,domestic league (tier 1)
2018/03/11,Campionato,0,AC Juvenes/Dogana,720,712.0,0 - 1,SP La Fiorita,876,884.0,0,1,San Marino,domestic league (tier 1)
2018/03/29,Campionato,0,AC Juvenes/Dogana,696,703.0,4 - 1,SC Faetano,544,537.0,4,1,San Marino,domestic league (tier 1)
2018/09/30,Campionato,0,AC Juvenes/Dogana,706,708.0,4 - 1,SS San Giovanni,342,340.0,4,1,San Marino,domestic league (tier 1)
2018/10/20,Campionato,0,AC Juvenes/Dogana,704,696.0,2 - 2,SS Murata,391,399.0,2,2,San Marino,domestic league (tier 1)
2018/11/04,Campionato,0,AC Juvenes/Dogana,688,692.0,1 - 0,SS Virtus,541,537.0,1,0,San Marino,domestic league (tier 1)
2018/11/10,Campionato,0,AC Juvenes/Dogana,679,686.0,3 - 0,SS Pennarossa,547,540.0,3,0,San Marino,domestic league (tier 1)
2018/12/01,Campionato,0,AC Juvenes/Dogana,702,704.0,2 - 0,SS San Giovanni,383,381.0,2,0,San Marino,domestic league (tier 1)
2019/01/20,Campionato,0,AC Juvenes/Dogana,701,694.0,2 - 2,SC Faetano,487,494.0,2,2,San Marino,domestic league (tier 1)
2019/02/10,Campionato,0,AC Juvenes/Dogana,701,709.0,3 - 1,SS Cosmos,622,614.0,3,1,San Marino,domestic league (tier 1)
2019/03/03,Campionato,0,AC Juvenes/Dogana,693,697.0,0 - 0,SP Tre Penne,950,946.0,0,0,San Marino,domestic league (tier 1)
2019/03/17,Campionato,0,AC Juvenes/Dogana,704,708.0,7 - 1,SS Virtus,421,417.0,7,1,San Marino,domestic league (tier 1)
2019/03/30,Campionato,0,AC Juvenes/Dogana,708,701.0,1 - 1,SP Cailungo,524,531.0,1,1,San Marino,domestic league (tier 1)
2019/04/03,Campionato,0,AC Juvenes/Dogana,701,709.0,3 - 1,SS Cosmos,616,608.0,3,1,San Marino,domestic league (tier 1)
2019/05/02,Campionato,0,AC Juvenes/Dogana,707,697.0,0 - 5,SP La Fiorita,995,1005.0,0,5,San Marino,domestic league (tier 1)
2019/05/10,Campionato,0,AC Juvenes/Dogana,697,703.0,4 - 0,SS Murata,495,489.0,4,0,San Marino,domestic league (tier 1)
2019/05/16,Campionato,0,AC Juvenes/Dogana,703,714.0,1 - 0,SS Folgore/Falciano,832,821.0,1,0,San Marino,domestic league (tier 1)
2019/09/27,Campionato,0,AC Juvenes/Dogana,702,677.0,0 - 2,SC Faetano,507,532.0,0,2,San Marino,domestic league (tier 1)
2019/10/06,Campionato,0,AC Juvenes/Dogana,677,649.0,0 - 3,SS Murata,529,557.0,0,3,San Marino,domestic league (tier 1)
2019/11/02,Campionato,0,AC Juvenes/Dogana,652,636.0,1 - 5,SS Folgore/Falciano,807,823.0,1,5,San Marino,domestic league (tier 1)
2019/11/23,Campionato,0,AC Juvenes/Dogana,628,622.0,1 - 3,SP La Fiorita,980,986.0,1,3,San Marino,domestic league (tier 1)
2019/12/08,Campionato,0,AC Juvenes/Dogana,617,601.0,1 - 2,SC Faetano,489,505.0,1,2,San Marino,domestic league (tier 1)
2020/01/19,Campionato,0,AC Juvenes/Dogana,595,570.0,0 - 3,SS Cosmos,533,558.0,0,3,San Marino,domestic league (tier 1)
2020/02/02,Campionato,0,AC Juvenes/Dogana,567,563.0,1 - 1,FC Fiorentino,532,536.0,1,1,San Marino,domestic league (tier 1)
2020/02/08,Campionato,0,AC Juvenes/Dogana,563,562.0,0 - 0,SS Pennarossa,620,621.0,0,0,San Marino,domestic league (tier 1)
2020/09/12,Campionato,0,AC Juvenes/Dogana,551,549.0,1 - 1,SS Murata,593,595.0,1,1,San Marino,domestic league (tier 1)
2020/09/26,Campionato,0,AC Juvenes/Dogana,549,526.0,0 - 2,SS Virtus,455,478.0,0,2,San Marino,domestic league (tier 1)
2020/10/18,Campionato,0,AC Juvenes/Dogana,537,554.0,2 - 1,SP Tre Penne,959,942.0,2,1,San Marino,domestic league (tier 1)
2021/02/27,Campionato,0,AC Juvenes/Dogana,573,559.0,2 - 3,FC Fiorentino,505,519.0,2,3,San Marino,domestic league (tier 1)
2021/03/06,Campionato,0,AC Juvenes/Dogana,559,562.0,2 - 1,SS San Giovanni,389,386.0,2,1,San Marino,domestic league (tier 1)
2021/04/06,Campionato,0,AC Juvenes/Dogana,554,560.0,3 - 2,SC Faetano,516,510.0,3,2,San Marino,domestic league (tier 1)
2021/04/13,Campionato,0,AC Juvenes/Dogana,558,549.0,1 - 6,SS Folgore/Falciano,868,877.0,1,6,San Marino,domestic league (tier 1)
2021/04/25,Campionato,0,AC Juvenes/Dogana,567,577.0,4 - 0,SP Cailungo,492,482.0,4,0,San Marino,domestic league (tier 1)
2021/05/01,Campionato,0,AC Juvenes/Dogana,577,551.0,0 - 3,SS Virtus,499,525.0,0,3,San Marino,domestic league (tier 1)
2021/09/25,Campionato,0,AC Juvenes/Dogana,531,527.0,0 - 1,SP Tre Penne,892,896.0,0,1,San Marino,domestic league (tier 1)
2021/09/28,San Marino Cup,0,AC Juvenes/Dogana,527,513.0,0 - 2,SS Pennarossa,660,674.0,0,2,San Marino,domestic cup
2021/10/19,Campionato,0,AC Juvenes/Dogana,518,529.0,2 - 1,FC Domagnano,667,656.0,2,1,San Marino,domestic league (tier 1)
2021/10/23,Campionato,0,AC Juvenes/Dogana,529,517.0,0 - 1,FC Fiorentino,555,567.0,0,1,San Marino,domestic league (tier 1)
2021/11/06,Campionato,0,AC Juvenes/Dogana,522,523.0,0 - 0,SS Murata,643,642.0,0,0,San Marino,domestic league (tier 1)
2021/11/28,Campionato,0,AC Juvenes/Dogana,513,501.0,1 - 2,SS Virtus,555,567.0,1,2,San Marino,domestic league (tier 1)
2021/12/11,Campionato,0,AC Juvenes/Dogana,501,486.0,1 - 7,AC Libertas,707,722.0,1,7,San Marino,domestic league (tier 1)
2022/01/29,Campionato,0,AC Juvenes/Dogana,486,479.0,0 - 4,SS Folgore/Falciano,839,846.0,0,4,San Marino,domestic league (tier 1)
2022/02/06,Campionato,0,AC Juvenes/Dogana,479,467.0,0 - 2,SS Pennarossa,659,671.0,0,2,San Marino,domestic league (tier 1)
2022/02/19,Campionato,0,AC Juvenes/Dogana,481,477.0,0 - 4,SP La Fiorita,952,956.0,0,4,San Marino,domestic league (tier 1)
2022/02/22,Campionato,0,AC Juvenes/Dogana,477,453.0,0 - 4,SP Cailungo,471,495.0,0,4,San Marino,domestic league (tier 1)
2022/03/05,Campionato,0,AC Juvenes/Dogana,469,460.0,1 - 2,SC Faetano,610,619.0,1,2,San Marino,domestic league (tier 1)
2022/04/03,Campionato,0,AC Juvenes/Dogana,462,475.0,4 - 1,SS San Giovanni,479,466.0,4,1,San Marino,domestic league (tier 1)
2022/04/09,Campionato,0,AC Juvenes/Dogana,473,479.0,3 - 1,SS Cosmos,330,324.0,3,1,San Marino,domestic league (tier 1)
2022/04/20,Campionato,0,AC Juvenes/Dogana,482,476.0,0 - 3,SP Tre Fiori,839,845.0,0,3,San Marino,domestic league (tier 1)
2022/09/10,Campionato,0,AC Juvenes/Dogana,507,505.0,1 - 1,FC Domagnano,543,545.0,1,1,San Marino,domestic league (tier 1)
2022/09/30,Campionato,0,AC Juvenes/Dogana,504,487.0,0 - 2,SS Murata,547,564.0,0,2,San Marino,domestic league (tier 1)
2022/10/05,San Marino Cup,0,AC Juvenes/Dogana,487,493.0,2 - 1,SP Cailungo,449,443.0,2,1,San Marino,domestic cup
2022/10/09,Campionato,0,AC Juvenes/Dogana,493,482.0,1 - 3,SS Virtus,679,690.0,1,3,San Marino,domestic league (tier 1)
2022/10/22,Campionato,0,AC Juvenes/Dogana,492,470.0,0 - 2,SS Cosmos,428,450.0,0,2,San Marino,domestic league (tier 1)
2022/11/12,Campionato,0,AC Juvenes/Dogana,488,475.0,1 - 2,SS San Giovanni,482,495.0,1,2,San Marino,domestic league (tier 1)
2022/12/04,Campionato,0,AC Juvenes/Dogana,511,529.0,3 - 1,SS Pennarossa,678,660.0,3,1,San Marino,domestic league (tier 1)
2022/12/14,San Marino Cup,0,AC Juvenes/Dogana,526,519.0,0 - 3,SP Tre Penne,870,877.0,0,3,San Marino,domestic cup
2022/12/18,Campionato,0,AC Juvenes/Dogana,519,516.0,0 - 1,SP Tre Fiori,892,895.0,0,1,San Marino,domestic league (tier 1)
2023/01/14,Campionato,0,AC Juvenes/Dogana,516,495.0,0 - 2,SP Cailungo,461,482.0,0,2,San Marino,domestic league (tier 1)
2023/01/22,Campionato,0,AC Juvenes/Dogana,495,484.0,1 - 2,FC Fiorentino,560,571.0,1,2,San Marino,domestic league (tier 1)
2023/02/05,Campionato,0,AC Juvenes/Dogana,506,503.0,0 - 1,SP La Fiorita,893,896.0,0,1,San Marino,domestic league (tier 1)
2023/02/25,Campionato,0,AC Juvenes/Dogana,504,501.0,0 - 1,SP Tre Penne,917,920.0,0,1,San Marino,domestic league (tier 1)
2023/03/08,Campionato,0,AC Juvenes/Dogana,493,511.0,2 - 0,SS Folgore/Falciano,671,653.0,2,0,San Marino,domestic league (tier 1)
2023/03/18,Campionato,0,AC Juvenes/Dogana,523,521.0,2 - 2,SC Faetano,555,557.0,2,2,San Marino,domestic league (tier 1)
2023/04/05,Campionato,0,AC Juvenes/Dogana,547,534.0,0 - 3,AC Libertas,739,752.0,0,3,San Marino,domestic league (tier 1)
2023/04/26,Campionato,0,AC Juvenes/Dogana,552,559.0,3 - 2,FC Domagnano,530,523.0,3,2,San Marino,domestic league (tier 1)
2023/05/03,Campionato,0,AC Juvenes/Dogana,557,549.0,0 - 3,SP La Fiorita,882,890.0,0,3,San Marino,domestic league (tier 1)
2023/09/15,Campionato,0,AC Juvenes/Dogana,549,555.0,1 - 1,SP Tre Penne,899,893.0,1,1,San Marino,domestic league (tier 1)
2023/09/27,San Marino Cup,0,AC Juvenes/Dogana,576,577.0,1 - 1,AC Libertas,712,711.0,1,1,San Marino,domestic cup
2023/09/30,Campionato,0,AC Juvenes/Dogana,577,571.0,1 - 2,SS Virtus,838,844.0,1,2,San Marino,domestic league (tier 1)
2023/10/04,Campionato,0,AC Juvenes/Dogana,571,567.0,0 - 1,SP La Fiorita,899,903.0,0,1,San Marino,domestic league (tier 1)
2023/10/28,Campionato,0,AC Juvenes/Dogana,581,575.0,2 - 2,San Marino Academy,417,423.0,2,2,San Marino,domestic league (tier 1)
2023/11/12,Campionato,0,AC Juvenes/Dogana,571,557.0,0 - 4,SS Cosmos,763,777.0,0,4,San Marino,domestic league (tier 1)
2023/12/03,Campionato,0,AC Juvenes/Dogana,547,536.0,0 - 1,SS Folgore/Falciano,604,615.0,0,1,San Marino,domestic league (tier 1)
2023/12/16,Campionato,0,AC Juvenes/Dogana,532,543.0,3 - 1,SC Faetano,544,533.0,3,1,San Marino,domestic league (tier 1)
2024/01/23,Campionato,0,AC Juvenes/Dogana,582,588.0,1 - 0,FC Domagnano,516,510.0,1,0,San Marino,domestic league (tier 1)
2024/02/11,Campionato,0,AC Juvenes/Dogana,583,588.0,3 - 1,SS Pennarossa,384,379.0,3,1,San Marino,domestic league (tier 1)
2024/02/18,Campionato,0,AC Juvenes/Dogana,588,586.0,1 - 1,FC Fiorentino,603,605.0,1,1,San Marino,domestic league (tier 1)
2024/02/25,Campionato,0,AC Juvenes/Dogana,594,608.0,2 - 1,SP Tre Fiori,851,837.0,2,1,San Marino,domestic league (tier 1)
2024/03/09,Campionato,0,AC Juvenes/Dogana,605,587.0,2 - 4,SS Murata,638,656.0,2,4,San Marino,domestic league (tier 1)
2024/03/16,Campionato,0,AC Juvenes/Dogana,581,593.0,4 - 1,AC Libertas,571,559.0,4,1,San Marino,domestic league (tier 1)
2024/04/14,Campionato,0,AC Juvenes/Dogana,611,613.0,1 - 0,SP Cailungo,345,343.0,1,0,San Marino,domestic league (tier 1)
2024/04/21,Campionato,0,AC Juvenes/Dogana,613,599.0,1 - 2,SS San Giovanni,576,590.0,1,2,San Marino,domestic league (tier 1)
2024/04/24,Campionato,0,AC Juvenes/Dogana,599,605.0,3 - 2,FC Domagnano,568,562.0,3,2,San Marino,domestic league (tier 1)
2024/05/01,Campionato,0,AC Juvenes/Dogana,601,622.0,4 - 2,SP Tre Penne,852,831.0,4,2,San Marino,domestic league (tier 1)
2024/09/15,Campionato,0,AC Juvenes/Dogana,623,618.0,1 - 1,AC Libertas,533,538.0,1,1,San Marino,domestic league (tier 1)
2024/09/25,San Marino Cup,0,AC Juvenes/Dogana,616,622.0,1 - 0,FC Fiorentino,575,569.0,1,0,San Marino,domestic cup
2024/09/28,Campionato,0,AC Juvenes/Dogana,622,612.0,0 - 1,SS Murata,726,736.0,0,1,San Marino,domestic league (tier 1)
2024/10/20,Campionato,0,AC Juvenes/Dogana,599,588.0,0 - 1,SS Folgore/Falciano,658,669.0,0,1,San Marino,domestic league (tier 1)
2024/11/03,Campionato,0,AC Juvenes/Dogana,608,591.0,0 - 1,San Marino Academy,385,402.0,0,1,San Marino,domestic league (tier 1)
2024/11/30,Campionato,0,AC Juvenes/Dogana,576,579.0,2 - 0,SP Cailungo,316,313.0,2,0,San Marino,domestic league (tier 1)
2024/12/11,San Marino Cup,0,AC Juvenes/Dogana,589,584.0,0 - 2,SP La Fiorita,969,974.0,0,2,San Marino,domestic cup
2024/12/15,Campionato,0,AC Juvenes/Dogana,584,575.0,1 - 3,SS Cosmos,836,845.0,1,3,San Marino,domestic league (tier 1)
2025/01/11,Campionato,0,AC Juvenes/Dogana,573,567.0,1 - 2,SP Tre Penne,839,845.0,1,2,San Marino,domestic league (tier 1)
2025/01/18,Campionato,0,AC Juvenes/Dogana,567,566.0,0 - 0,FC Fiorentino,626,627.0,0,0,San Marino,domestic league (tier 1)
2025/01/25,Campionato,0,AC Juvenes/Dogana,577,572.0,0 - 2,SS Virtus,973,978.0,0,2,San Marino,domestic league (tier 1)
2025/02/09,Campionato,0,AC Juvenes/Dogana,567,557.0,2 - 3,SS San Giovanni,652,662.0,2,3,San Marino,domestic league (tier 1)
2025/02/22,Campionato,0,AC Juvenes/Dogana,553,550.0,0 - 0,FC Domagnano,557,560.0,0,0,San Marino,domestic league (tier 1)
2025/03/09,Campionato,0,AC Juvenes/Dogana,558,552.0,0 - 1,SP Tre Fiori,805,811.0,0,1,San Marino,domestic league (tier 1)
2025/03/15,Campionato,0,AC Juvenes/Dogana,552,558.0,2 - 1,SC Faetano,514,508.0,2,1,San Marino,domestic league (tier 1)
2025/04/05,Campionato,0,AC Juvenes/Dogana,566,569.0,1 - 0,SS Pennarossa,376,373.0,1,0,San Marino,domestic league (tier 1)
2025/04/19,Campionato,0,AC Juvenes/Dogana,576,602.0,3 - 1,SP La Fiorita,1000,974.0,3,1,San Marino,domestic league (tier 1)
2025/09/13,Campionato,0,AC Juvenes/Dogana,605,618.0,1 - 0,SS Cosmos,807,794.0,1,0,San Marino,domestic league (tier 1)
2025/10/04,Campionato,0,AC Juvenes/Dogana,627,633.0,2 - 2,SP La Fiorita,976,970.0,2,2,San Marino,domestic league (tier 1)
