Date,Competition,Neutral Venue,Home,PreHElo,PostHElo,Result,Away,PreAElo,PostAElo,Home Goals,Away Goals,Country,Category
2016/08/13,Premiership,0,Aberdeen FC,1714,1710.0,0 - 0,Heart of Midlothian,1685,1689.0,0,0,Scotland,domestic league (tier 1)
2016/08/20,Premiership,0,Aberdeen FC,1710,1715.0,2 - 1,Partick Thistle,1607,1602.0,2,1,Scotland,domestic league (tier 1)
2016/09/10,Premiership,0,Aberdeen FC,1709,1705.0,1 - 1,Inverness CT,1651,1655.0,1,1,Scotland,domestic league (tier 1)
2016/09/25,Premiership,0,Aberdeen FC,1724,1730.0,2 - 1,Rangers FC,1668,1662.0,2,1,Scotland,domestic league (tier 1)
2016/10/15,Premiership,0,Aberdeen FC,1743,1750.0,4 - 0,Ross County FC,1585,1578.0,4,0,Scotland,domestic league (tier 1)
2016/10/29,Premiership,0,Aberdeen FC,1742,1734.0,0 - 1,Celtic FC,1911,1919.0,0,1,Scotland,domestic league (tier 1)
2016/12/06,Premiership,0,Aberdeen FC,1743,1749.0,5 - 1,Kilmarnock FC,1538,1532.0,5,1,Scotland,domestic league (tier 1)
2016/12/10,Premiership,0,Aberdeen FC,1749,1745.0,0 - 0,St. Johnstone FC,1683,1687.0,0,0,Scotland,domestic league (tier 1)
2016/12/27,Premiership,0,Aberdeen FC,1746,1749.0,2 - 1,Hamilton Academical,1523,1520.0,2,1,Scotland,domestic league (tier 1)
2017/01/27,Premiership,0,Aberdeen FC,1761,1766.0,3 - 0,Dundee FC,1546,1541.0,3,0,Scotland,domestic league (tier 1)
2017/02/04,Premiership,0,Aberdeen FC,1763,1768.0,2 - 0,Partick Thistle,1585,1580.0,2,0,Scotland,domestic league (tier 1)
2017/02/15,Premiership,0,Aberdeen FC,1775,1781.0,7 - 2,Motherwell FC,1560,1554.0,7,2,Scotland,domestic league (tier 1)
2017/02/25,Premiership,0,Aberdeen FC,1787,1790.0,1 - 0,Ross County FC,1561,1558.0,1,0,Scotland,domestic league (tier 1)
2017/03/11,Premiership,0,Aberdeen FC,1780,1783.0,1 - 0,Motherwell FC,1542,1539.0,1,0,Scotland,domestic league (tier 1)
2017/03/18,Premiership,0,Aberdeen FC,1783,1790.0,2 - 0,Heart of Midlothian,1667,1660.0,2,0,Scotland,domestic league (tier 1)
2017/04/04,Premiership,0,Aberdeen FC,1804,1807.0,1 - 0,Inverness CT,1577,1574.0,1,0,Scotland,domestic league (tier 1)
2017/04/09,Premiership,0,Aberdeen FC,1807,1781.0,0 - 3,Rangers FC,1711,1737.0,0,3,Scotland,domestic league (tier 1)
2017/04/29,Premiership,0,Aberdeen FC,1799,1775.0,0 - 2,St. Johnstone FC,1664,1688.0,0,2,Scotland,domestic league (tier 1)
2017/05/12,Premiership,0,Aberdeen FC,1784,1774.0,1 - 3,Celtic FC,2006,2016.0,1,3,Scotland,domestic league (tier 1)
2017/08/06,Premiership,0,Aberdeen FC,1793,1796.0,2 - 0,Hamilton Academical,1518,1515.0,2,0,Scotland,domestic league (tier 1)
2017/08/19,Premiership,0,Aberdeen FC,1807,1809.0,2 - 1,Dundee FC,1495,1493.0,2,1,Scotland,domestic league (tier 1)
2017/09/16,Premiership,0,Aberdeen FC,1813,1805.0,1 - 1,Kilmarnock FC,1501,1509.0,1,1,Scotland,domestic league (tier 1)
2017/09/30,Premiership,0,Aberdeen FC,1794,1801.0,3 - 0,St. Johnstone FC,1656,1649.0,3,0,Scotland,domestic league (tier 1)
2017/10/25,Premiership,0,Aberdeen FC,1810,1799.0,0 - 3,Celtic FC,2038,2049.0,0,3,Scotland,domestic league (tier 1)
2017/10/28,Premiership,0,Aberdeen FC,1799,1802.0,2 - 1,Ross County FC,1573,1570.0,2,1,Scotland,domestic league (tier 1)
2017/11/18,Premiership,0,Aberdeen FC,1797,1772.0,0 - 2,Motherwell FC,1614,1639.0,0,2,Scotland,domestic league (tier 1)
2017/12/03,Premiership,0,Aberdeen FC,1765,1751.0,1 - 2,Rangers FC,1732,1746.0,1,2,Scotland,domestic league (tier 1)
2017/12/16,Premiership,0,Aberdeen FC,1772,1780.0,4 - 1,Hibernian FC,1669,1661.0,4,1,Scotland,domestic league (tier 1)
2017/12/27,Premiership,0,Aberdeen FC,1774,1777.0,1 - 0,Partick Thistle,1545,1542.0,1,0,Scotland,domestic league (tier 1)
2017/12/30,Premiership,0,Aberdeen FC,1777,1771.0,0 - 0,Heart of Midlothian,1638,1644.0,0,0,Scotland,domestic league (tier 1)
2018/01/27,Premiership,0,Aberdeen FC,1764,1769.0,3 - 1,Kilmarnock FC,1583,1578.0,3,1,Scotland,domestic league (tier 1)
2018/02/03,Premiership,0,Aberdeen FC,1778,1782.0,3 - 0,Hamilton Academical,1521,1517.0,3,0,Scotland,domestic league (tier 1)
2018/02/25,Premiership,0,Aberdeen FC,1770,1758.0,0 - 2,Celtic FC,1951,1963.0,0,2,Scotland,domestic league (tier 1)
2018/03/17,Premiership,0,Aberdeen FC,1749,1751.0,1 - 0,Dundee FC,1486,1484.0,1,0,Scotland,domestic league (tier 1)
2018/03/31,Premiership,0,Aberdeen FC,1751,1757.0,4 - 1,St. Johnstone FC,1584,1578.0,4,1,Scotland,domestic league (tier 1)
2018/04/27,Premiership,0,Aberdeen FC,1751,1759.0,2 - 0,Heart of Midlothian,1664,1656.0,2,0,Scotland,domestic league (tier 1)
2018/05/05,Premiership,0,Aberdeen FC,1759,1756.0,0 - 0,Hibernian FC,1734,1737.0,0,0,Scotland,domestic league (tier 1)
2018/05/08,Premiership,0,Aberdeen FC,1756,1754.0,1 - 1,Rangers FC,1768,1770.0,1,1,Scotland,domestic league (tier 1)
2018/08/05,Premiership,0,Aberdeen FC,1768,1765.0,1 - 1,Rangers FC,1774,1777.0,1,1,Scotland,domestic league (tier 1)
2018/09/01,Premiership,0,Aberdeen FC,1777,1753.0,0 - 2,Kilmarnock FC,1645,1669.0,0,2,Scotland,domestic league (tier 1)
