Date,Competition,Neutral Venue,Home,PreHElo,PostHElo,Result,Away,PreAElo,PostAElo,Home Goals,Away Goals,Country,Category
2016/07/30,Super Liga,0,Borac Cacak,1492,1478.0,0 - 1,Mladost Lucani,1453,1467.0,0,1,Serbia,domestic league (tier 1)
2016/08/10,Super Liga,0,Borac Cacak,1468,1467.0,0 - 0,Radnicki Niš,1545,1546.0,0,0,Serbia,domestic league (tier 1)
2016/08/20,Super Liga,0,Borac Cacak,1468,1474.0,2 - 1,FK Novi Pazar,1428,1422.0,2,1,Serbia,domestic league (tier 1)
2016/09/11,Super Liga,0,Borac Cacak,1463,1454.0,0 - 2,Partizan,1699,1708.0,0,2,Serbia,domestic league (tier 1)
2016/09/25,Super Liga,0,Borac Cacak,1450,1446.0,1 - 1,FK Javor,1417,1421.0,1,1,Serbia,domestic league (tier 1)
2016/10/15,Super Liga,0,Borac Cacak,1451,1449.0,3 - 3,Spartak Subotica,1497,1499.0,3,3,Serbia,domestic league (tier 1)
2016/11/05,Super Liga,0,Borac Cacak,1430,1426.0,0 - 1,Crvena Zvezda,1795,1799.0,0,1,Serbia,domestic league (tier 1)
2016/11/19,Super Liga,0,Borac Cacak,1426,1413.0,1 - 2,FK Metalac,1431,1444.0,1,2,Serbia,domestic league (tier 1)
2016/11/30,Super Liga,0,Borac Cacak,1404,1393.0,1 - 2,FK Voždovac,1465,1476.0,1,2,Serbia,domestic league (tier 1)
2016/12/10,Super Liga,0,Borac Cacak,1399,1406.0,1 - 0,Radnik Surdulica,1406,1399.0,1,0,Serbia,domestic league (tier 1)
2017/02/18,Super Liga,0,Borac Cacak,1423,1428.0,1 - 0,OFK Backa,1352,1347.0,1,0,Serbia,domestic league (tier 1)
2017/03/03,Super Liga,0,Borac Cacak,1426,1420.0,0 - 1,Vojvodina,1683,1689.0,0,1,Serbia,domestic league (tier 1)
2017/03/12,Super Liga,0,Borac Cacak,1411,1401.0,2 - 3,FK Cukaricki,1523,1533.0,2,3,Serbia,domestic league (tier 1)
2017/04/01,Super Liga,0,Borac Cacak,1395,1383.0,0 - 1,FK Rad Beograd,1436,1448.0,0,1,Serbia,domestic league (tier 1)
2017/04/09,Super Liga,0,Borac Cacak,1379,1369.0,0 - 1,FK Napredak,1487,1497.0,0,1,Serbia,domestic league (tier 1)
2017/04/22,Super Liga,0,Borac Cacak,1383,1375.0,0 - 1,FK Cukaricki,1558,1566.0,0,1,Serbia,domestic league (tier 1)
2017/05/06,Super Liga,0,Borac Cacak,1387,1394.0,1 - 0,FK Metalac,1375,1368.0,1,0,Serbia,domestic league (tier 1)
2017/05/17,Super Liga,0,Borac Cacak,1381,1391.0,1 - 0,Spartak Subotica,1465,1455.0,1,0,Serbia,domestic league (tier 1)
2017/07/29,Super Liga,0,Borac Cacak,1388,1368.0,0 - 4,Spartak Subotica,1465,1485.0,0,4,Serbia,domestic league (tier 1)
2017/08/09,Super Liga,0,Borac Cacak,1364,1357.0,0 - 2,Vojvodina,1667,1674.0,0,2,Serbia,domestic league (tier 1)
2017/09/09,Super Liga,0,Borac Cacak,1342,1339.0,0 - 0,FK Zemun,1342,1345.0,0,0,Serbia,domestic league (tier 1)
2017/09/17,Super Liga,0,Borac Cacak,1336,1349.0,3 - 1,FK Rad Beograd,1395,1382.0,3,1,Serbia,domestic league (tier 1)
2017/09/20,Super Liga,0,Borac Cacak,1349,1346.0,0 - 2,Crvena Zvezda,1851,1854.0,0,2,Serbia,domestic league (tier 1)
