Date,Competition,Neutral Venue,Home,PreHElo,PostHElo,Result,Away,PreAElo,PostAElo,Home Goals,Away Goals,Country,Category
2025/07/26,Super Liga Slovakia,0,1. FC Tatran Prešov,1363,1370.0,2 - 2,Slovan Bratislava,1794,1787.0,2,2,Slovakia,domestic league (tier 1)
2025/08/16,Super Liga Slovakia,0,1. FC Tatran Prešov,1365,1370.0,0 - 0,FC DAC 1904,1658,1653.0,0,0,Slovakia,domestic league (tier 1)
2025/08/30,Super Liga Slovakia,0,1. FC Tatran Prešov,1376,1367.0,2 - 3,AS Trencín,1500,1509.0,2,3,Slovakia,domestic league (tier 1)
2025/09/20,Super Liga Slovakia,0,1. FC Tatran Prešov,1382,1367.0,1 - 3,MFK Ružomberok,1485,1500.0,1,3,Slovakia,domestic league (tier 1)
2025/10/18,Super Liga Slovakia,0,1. FC Tatran Prešov,1375,1376.0,2 - 2,FK Železiarne Podbrezová,1517,1516.0,2,2,Slovakia,domestic league (tier 1)
2025/11/01,Super Liga Slovakia,0,1. FC Tatran Prešov,1395,1384.0,0 - 4,MŠK Žilina,1644,1655.0,0,4,Slovakia,domestic league (tier 1)
2025/11/09,Super Liga Slovakia,0,1. FC Tatran Prešov,1384,1399.0,2 - 1,Spartak Trnava,1654,1639.0,2,1,Slovakia,domestic league (tier 1)
2025/11/29,Super Liga Slovakia,0,1. FC Tatran Prešov,1407,1416.0,3 - 2,MFK Skalica,1474,1465.0,3,2,Slovakia,domestic league (tier 1)
2025/12/13,Super Liga Slovakia,0,1. FC Tatran Prešov,1419,1407.0,0 - 1,MFK Zemplín Michalovce,1460,1472.0,0,1,Slovakia,domestic league (tier 1)
2026/02/14,Super Liga Slovakia,0,1. FC Tatran Prešov,1402,1384.0,1 - 4,FC Košice,1502,1520.0,1,4,Slovakia,domestic league (tier 1)
2026/02/21,Super Liga Slovakia,0,1. FC Tatran Prešov,1384,1382.0,1 - 1,KFC Komárno,1406,1408.0,1,1,Slovakia,domestic league (tier 1)
2026/03/11,Slovakia Cup,0,1. FC Tatran Prešov,1371,1378.0,2 - 1,Tatran Liptovský Mikuláš,1348,1341.0,2,1,Slovakia,domestic cup
2026/03/14,Super Liga Slovakia,0,1. FC Tatran Prešov,1378,1376.0,0 - 0,KFC Komárno,1423,1425.0,0,0,Slovakia,domestic league (tier 1)
2026/03/17,Slovakia Cup,0,1. FC Tatran Prešov,1376,1379.0,2 - 2,FC Košice,1567,1564.0,2,2,Slovakia,domestic cup
2026/04/04,Super Liga Slovakia,0,1. FC Tatran Prešov,1376,1375.0,0 - 0,MFK Ružomberok,1454,1455.0,0,0,Slovakia,domestic league (tier 1)
2026/04/19,Super Liga Slovakia,0,1. FC Tatran Prešov,1367,1380.0,2 - 1,FC Košice,1585,1572.0,2,1,Slovakia,domestic league (tier 1)
2026/04/26,Super Liga Slovakia,0,1. FC Tatran Prešov,1380,1369.0,0 - 1,AS Trencín,1461,1472.0,0,1,Slovakia,domestic league (tier 1)
2026/05/09,Super Liga Slovakia,0,1. FC Tatran Prešov,1374,1392.0,3 - 0,MFK Skalica,1488,1470.0,3,0,Slovakia,domestic league (tier 1)
2023/02/18,Super Liga Slovakia,0,AS Trencín,1512,1508.0,1 - 1,Zlaté Moravce,1452,1456.0,1,1,Slovakia,domestic league (tier 1)
2023/03/04,Super Liga Slovakia,0,AS Trencín,1505,1502.0,1 - 1,Železiarne Podbrezová,1509,1512.0,1,1,Slovakia,domestic league (tier 1)
2023/03/10,Super Liga Slovakia,0,AS Trencín,1502,1485.0,0 - 3,MFK Ružomberok,1607,1624.0,0,3,Slovakia,domestic league (tier 1)
2023/03/15,Slovakia Cup,0,AS Trencín,1485,1478.0,1 - 2,Spartak Trnava,1685,1692.0,1,2,Slovakia,domestic cup
2023/04/08,Super Liga Slovakia,0,AS Trencín,1474,1471.0,3 - 3,MFK Zemplín Michalovce,1481,1484.0,3,3,Slovakia,domestic league (tier 1)
2023/04/15,Super Liga Slovakia,0,AS Trencín,1471,1477.0,2 - 1,Zlaté Moravce,1419,1413.0,2,1,Slovakia,domestic league (tier 1)
2023/04/28,Super Liga Slovakia,0,AS Trencín,1470,1464.0,2 - 2,Tatran Liptovský Mikuláš,1319,1325.0,2,2,Slovakia,domestic league (tier 1)
2023/05/20,Super Liga Slovakia,0,AS Trencín,1496,1476.0,1 - 3,MFK Skalica,1466,1486.0,1,3,Slovakia,domestic league (tier 1)
2023/08/05,Super Liga Slovakia,0,AS Trencín,1493,1503.0,2 - 0,MFK Zemplín Michalovce,1468,1458.0,2,0,Slovakia,domestic league (tier 1)
2023/08/19,Super Liga Slovakia,0,AS Trencín,1492,1510.0,4 - 1,MFK Ružomberok,1593,1575.0,4,1,Slovakia,domestic league (tier 1)
2023/09/02,Super Liga Slovakia,0,AS Trencín,1513,1525.0,1 - 0,FC DAC 1904,1688,1676.0,1,0,Slovakia,domestic league (tier 1)
2023/09/30,Super Liga Slovakia,0,AS Trencín,1548,1555.0,1 - 0,Dukla Banská Bystrica,1535,1528.0,1,0,Slovakia,domestic league (tier 1)
