Date,Competition,Neutral Venue,Home,PreHElo,PostHElo,Result,Away,PreAElo,PostAElo,Home Goals,Away Goals,Country,Category
2016/07/23,1. SNL,0,FC Koper,1499,1503.0,1 - 0,NK Aluminij,1356,1352.0,1,0,Slovenia,domestic league (tier 1)
2016/08/06,1. SNL,0,FC Koper,1492,1502.0,2 - 1,NK Celje,1605,1595.0,2,1,Slovenia,domestic league (tier 1)
2016/08/20,1. SNL,0,FC Koper,1495,1500.0,3 - 0,NK Radomlje,1277,1272.0,3,0,Slovenia,domestic league (tier 1)
2016/09/10,1. SNL,0,FC Koper,1517,1522.0,1 - 0,NK Krško,1425,1420.0,1,0,Slovenia,domestic league (tier 1)
2016/09/21,1. SNL,0,FC Koper,1516,1509.0,1 - 2,NK Maribor,1714,1721.0,1,2,Slovenia,domestic league (tier 1)
2016/10/01,1. SNL,0,FC Koper,1512,1489.0,1 - 4,Rudar Velenje,1501,1524.0,1,4,Slovenia,domestic league (tier 1)
2016/10/22,1. SNL,0,FC Koper,1494,1480.0,1 - 3,NK Domžale,1618,1632.0,1,3,Slovenia,domestic league (tier 1)
2016/11/06,1. SNL,0,FC Koper,1489,1482.0,1 - 2,Olimpija Ljubljana,1702,1709.0,1,2,Slovenia,domestic league (tier 1)
2016/11/26,1. SNL,0,FC Koper,1483,1481.0,0 - 0,ND Gorica,1524,1526.0,0,0,Slovenia,domestic league (tier 1)
2016/12/03,1. SNL,0,FC Koper,1477,1481.0,1 - 0,NK Aluminij,1359,1355.0,1,0,Slovenia,domestic league (tier 1)
2017/02/26,1. SNL,0,FC Koper,1484,1483.0,1 - 1,NK Celje,1542,1543.0,1,1,Slovenia,domestic league (tier 1)
2017/03/11,1. SNL,0,FC Koper,1499,1503.0,4 - 1,NK Radomlje,1248,1244.0,4,1,Slovenia,domestic league (tier 1)
2017/03/28,1. SNL,0,FC Koper,1509,1487.0,0 - 2,NK Krško,1431,1453.0,0,2,Slovenia,domestic league (tier 1)
2017/04/08,1. SNL,0,FC Koper,1492,1496.0,2 - 2,NK Maribor,1736,1732.0,2,2,Slovenia,domestic league (tier 1)
2017/04/22,1. SNL,0,FC Koper,1496,1503.0,1 - 0,Rudar Velenje,1490,1483.0,1,0,Slovenia,domestic league (tier 1)
2017/05/06,1. SNL,0,FC Koper,1508,1527.0,3 - 0,NK Domžale,1633,1614.0,3,0,Slovenia,domestic league (tier 1)
2017/05/16,1. SNL,0,FC Koper,1536,1536.0,1 - 1,Olimpija Ljubljana,1639,1639.0,1,1,Slovenia,domestic league (tier 1)
2017/05/27,1. SNL,0,FC Koper,1537,1526.0,0 - 1,ND Gorica,1598,1609.0,0,1,Slovenia,domestic league (tier 1)
2020/08/30,1. SNL,0,FC Koper,1503,1504.0,1 - 1,Olimpija Ljubljana,1632,1631.0,1,1,Slovenia,domestic league (tier 1)
2020/09/27,1. SNL,0,FC Koper,1520,1505.0,1 - 3,NŠ Mura,1631,1646.0,1,3,Slovenia,domestic league (tier 1)
2020/10/17,1. SNL,0,FC Koper,1506,1518.0,2 - 0,NK Domžale,1532,1520.0,2,0,Slovenia,domestic league (tier 1)
2020/10/28,1. SNL,0,FC Koper,1533,1548.0,3 - 0,NK Celje,1589,1574.0,3,0,Slovenia,domestic league (tier 1)
2020/11/03,1. SNL,0,FC Koper,1548,1553.0,2 - 1,NK Tabor Sežana,1471,1466.0,2,1,Slovenia,domestic league (tier 1)
2020/11/21,1. SNL,0,FC Koper,1568,1561.0,1 - 1,ND Gorica,1373,1380.0,1,1,Slovenia,domestic league (tier 1)
2020/11/24,1. SNL,0,FC Koper,1561,1566.0,2 - 1,NK Bravo,1455,1450.0,2,1,Slovenia,domestic league (tier 1)
2020/12/02,1. SNL,0,FC Koper,1560,1564.0,1 - 0,NK Aluminij,1430,1426.0,1,0,Slovenia,domestic league (tier 1)
2020/12/12,1. SNL,0,FC Koper,1566,1556.0,1 - 2,NK Maribor,1671,1681.0,1,2,Slovenia,domestic league (tier 1)
2021/02/10,1. SNL,0,FC Koper,1557,1546.0,1 - 2,Olimpija Ljubljana,1634,1645.0,1,2,Slovenia,domestic league (tier 1)
2021/02/25,1. SNL,0,FC Koper,1519,1529.0,1 - 0,NŠ Mura,1616,1606.0,1,0,Slovenia,domestic league (tier 1)
2021/03/06,1. SNL,0,FC Koper,1539,1521.0,0 - 2,NK Domžale,1573,1591.0,0,2,Slovenia,domestic league (tier 1)
2021/03/14,1. SNL,0,FC Koper,1515,1511.0,1 - 1,NK Celje,1487,1491.0,1,1,Slovenia,domestic league (tier 1)
2021/04/17,1. SNL,0,FC Koper,1511,1517.0,1 - 0,NK Tabor Sežana,1469,1463.0,1,0,Slovenia,domestic league (tier 1)
2021/04/24,1. SNL,0,FC Koper,1510,1504.0,0 - 0,ND Gorica,1358,1364.0,0,0,Slovenia,domestic league (tier 1)
2021/05/01,1. SNL,0,FC Koper,1504,1501.0,0 - 0,NK Bravo,1483,1486.0,0,0,Slovenia,domestic league (tier 1)
2021/05/09,1. SNL,0,FC Koper,1497,1473.0,0 - 3,NK Aluminij,1462,1486.0,0,3,Slovenia,domestic league (tier 1)
2021/05/19,1. SNL,0,FC Koper,1461,1448.0,0 - 3,NK Maribor,1642,1655.0,0,3,Slovenia,domestic league (tier 1)
2021/07/24,1. SNL,0,FC Koper,1451,1464.0,3 - 2,NŠ Mura,1655,1642.0,3,2,Slovenia,domestic league (tier 1)
2021/08/21,1. SNL,0,FC Koper,1509,1525.0,2 - 0,NK Maribor,1643,1627.0,2,0,Slovenia,domestic league (tier 1)
2021/09/19,1. SNL,0,FC Koper,1558,1545.0,0 - 1,NK Bravo,1539,1552.0,0,1,Slovenia,domestic league (tier 1)
2021/09/23,1. SNL,0,FC Koper,1545,1523.0,1 - 3,NK Aluminij,1461,1483.0,1,3,Slovenia,domestic league (tier 1)
2021/09/29,1. SNL,0,FC Koper,1528,1539.0,4 - 2,NK Domžale,1539,1528.0,4,2,Slovenia,domestic league (tier 1)
2021/10/03,1. SNL,0,FC Koper,1539,1536.0,2 - 2,NK Celje,1519,1522.0,2,2,Slovenia,domestic league (tier 1)
2021/10/23,1. SNL,0,FC Koper,1549,1537.0,0 - 1,Olimpija Ljubljana,1587,1599.0,0,1,Slovenia,domestic league (tier 1)
2021/11/06,1. SNL,0,FC Koper,1542,1547.0,1 - 0,NK Tabor Sežana,1471,1466.0,1,0,Slovenia,domestic league (tier 1)
2021/11/21,1. SNL,0,FC Koper,1547,1550.0,3 - 2,NK Radomlje,1329,1326.0,3,2,Slovenia,domestic league (tier 1)
2021/12/12,1. SNL,0,FC Koper,1563,1562.0,2 - 2,NŠ Mura,1616,1617.0,2,2,Slovenia,domestic league (tier 1)
2022/02/20,1. SNL,0,FC Koper,1573,1553.0,0 - 2,NK Domžale,1564,1584.0,0,2,Slovenia,domestic league (tier 1)
2022/03/03,1. SNL,0,FC Koper,1557,1546.0,1 - 2,NK Maribor,1637,1648.0,1,2,Slovenia,domestic league (tier 1)
2022/03/13,1. SNL,0,FC Koper,1554,1550.0,0 - 0,NK Bravo,1523,1527.0,0,0,Slovenia,domestic league (tier 1)
2022/03/20,1. SNL,0,FC Koper,1550,1556.0,2 - 0,NK Aluminij,1423,1417.0,2,0,Slovenia,domestic league (tier 1)
2022/04/10,1. SNL,0,FC Koper,1570,1579.0,3 - 1,NK Celje,1513,1504.0,3,1,Slovenia,domestic league (tier 1)
2022/04/21,Slovenia Cup,0,FC Koper,1591,1596.0,1 - 0,NK Celje,1515,1510.0,1,0,Slovenia,domestic cup
