Date,Competition,Neutral Venue,Home,PreHElo,PostHElo,Result,Away,PreAElo,PostAElo,Home Goals,Away Goals,Country,Category
2017/04/08,Allsvenskan,0,AFC Eskilstuna,1512,1513.0,2 - 2,Örebro SK,1645,1644.0,2,2,Sweden,domestic league (tier 1)
2017/04/23,Allsvenskan,0,AFC Eskilstuna,1521,1519.0,0 - 0,Halmstads BK,1538,1540.0,0,0,Sweden,domestic league (tier 1)
2017/04/26,Allsvenskan,0,AFC Eskilstuna,1519,1506.0,1 - 3,Östersunds FK,1665,1678.0,1,3,Sweden,domestic league (tier 1)
2017/05/12,Allsvenskan,0,AFC Eskilstuna,1493,1488.0,1 - 2,IFK Norrköping,1777,1782.0,1,2,Sweden,domestic league (tier 1)
2017/05/21,Allsvenskan,0,AFC Eskilstuna,1485,1489.0,0 - 0,BK Häcken,1719,1715.0,0,0,Sweden,domestic league (tier 1)
2017/06/04,Allsvenskan,0,AFC Eskilstuna,1484,1477.0,1 - 3,AIK Solna,1788,1795.0,1,3,Sweden,domestic league (tier 1)
2017/07/15,Allsvenskan,0,AFC Eskilstuna,1473,1483.0,2 - 1,Kalmar FF,1576,1566.0,2,1,Sweden,domestic league (tier 1)
2017/07/31,Allsvenskan,0,AFC Eskilstuna,1475,1469.0,1 - 2,Djurgårdens IF,1703,1709.0,1,2,Sweden,domestic league (tier 1)
2017/08/19,Allsvenskan,0,AFC Eskilstuna,1475,1500.0,3 - 1,Malmö FF,1853,1828.0,3,1,Sweden,domestic league (tier 1)
2017/08/26,Allsvenskan,0,AFC Eskilstuna,1480,1482.0,0 - 0,Hammarby IF,1665,1663.0,0,0,Sweden,domestic league (tier 1)
2017/09/18,Allsvenskan,0,AFC Eskilstuna,1478,1467.0,1 - 2,GIF Sundsvall,1540,1551.0,1,2,Sweden,domestic league (tier 1)
2017/09/25,Allsvenskan,0,AFC Eskilstuna,1483,1497.0,1 - 0,IFK Göteborg,1710,1696.0,1,0,Sweden,domestic league (tier 1)
2017/09/30,Allsvenskan,0,AFC Eskilstuna,1497,1496.0,1 - 1,Jönköpings Södra IF,1567,1568.0,1,1,Sweden,domestic league (tier 1)
2017/10/21,Allsvenskan,0,AFC Eskilstuna,1491,1484.0,2 - 3,IF Elfsborg,1686,1693.0,2,3,Sweden,domestic league (tier 1)
2017/11/05,Allsvenskan,0,AFC Eskilstuna,1488,1474.0,1 - 3,IK Sirius,1603,1617.0,1,3,Sweden,domestic league (tier 1)
2018/03/31,Superettan,0,AFC Eskilstuna,1474,1466.0,0 - 0,IK Brage,1209,1217.0,0,0,Sweden,domestic league (tier 2)
2018/04/15,Superettan,0,AFC Eskilstuna,1455,1467.0,4 - 0,IFK Värnamo,1421,1409.0,4,0,Sweden,domestic league (tier 2)
2018/04/30,Superettan,0,AFC Eskilstuna,1488,1498.0,3 - 0,Degerfors IF,1439,1429.0,3,0,Sweden,domestic league (tier 2)
2018/05/12,Superettan,0,AFC Eskilstuna,1509,1503.0,2 - 2,Varbergs BoIS,1386,1392.0,2,2,Sweden,domestic league (tier 2)
2018/05/24,Superettan,0,AFC Eskilstuna,1513,1507.0,1 - 1,Gefle IF,1398,1404.0,1,1,Sweden,domestic league (tier 2)
2018/05/28,Superettan,0,AFC Eskilstuna,1507,1515.0,4 - 0,Norrby IF,1367,1359.0,4,0,Sweden,domestic league (tier 2)
2018/06/09,Superettan,0,AFC Eskilstuna,1517,1524.0,2 - 0,Landskrona BoIS,1398,1391.0,2,0,Sweden,domestic league (tier 2)
