Date,Competition,Neutral Venue,Home,PreHElo,PostHElo,Result,Away,PreAElo,PostAElo,Home Goals,Away Goals,Country,Category
2022/07/16,Challenge League,0,AC Bellinzona,1575,1583.0,1 - 0,FC Lausanne-Sport,1607,1599.0,1,0,Switzerland,domestic league (tier 2)
2022/07/30,Challenge League,0,AC Bellinzona,1577,1550.0,1 - 4,Stade Lausanne-Ouchy,1467,1494.0,1,4,Switzerland,domestic league (tier 2)
2022/08/12,Challenge League,0,AC Bellinzona,1563,1539.0,0 - 4,FC Aarau,1571,1595.0,0,4,Switzerland,domestic league (tier 2)
2022/08/27,Challenge League,0,AC Bellinzona,1539,1546.0,3 - 1,Neuchâtel Xamax FCS,1428,1421.0,3,1,Switzerland,domestic league (tier 2)
2022/09/17,Switzerland Cup,0,AC Bellinzona,1538,1532.0,0 - 1,FC Luzern,1781,1787.0,0,1,Switzerland,domestic cup
2022/10/02,Challenge League,0,AC Bellinzona,1532,1514.0,1 - 3,FC Schaffhausen,1572,1590.0,1,3,Switzerland,domestic league (tier 2)
2022/10/15,Challenge League,0,AC Bellinzona,1494,1507.0,5 - 1,FC Wil 1900,1490,1477.0,5,1,Switzerland,domestic league (tier 2)
2022/10/22,Challenge League,0,AC Bellinzona,1522,1508.0,1 - 2,Yverdon Sport FC,1459,1473.0,1,2,Switzerland,domestic league (tier 2)
2022/10/30,Challenge League,0,AC Bellinzona,1508,1521.0,2 - 0,FC Vaduz,1564,1551.0,2,0,Switzerland,domestic league (tier 2)
2022/11/18,Challenge League,0,AC Bellinzona,1519,1494.0,1 - 3,FC Thun Berner Oberland,1356,1381.0,1,3,Switzerland,domestic league (tier 2)
2023/01/29,Challenge League,0,AC Bellinzona,1487,1468.0,0 - 2,Yverdon Sport FC,1497,1516.0,0,2,Switzerland,domestic league (tier 2)
2023/02/12,Challenge League,0,AC Bellinzona,1458,1442.0,0 - 2,FC Schaffhausen,1527,1543.0,0,2,Switzerland,domestic league (tier 2)
2023/03/05,Challenge League,0,AC Bellinzona,1440,1429.0,0 - 1,Stade Lausanne-Ouchy,1489,1500.0,0,1,Switzerland,domestic league (tier 2)
2023/03/19,Challenge League,0,AC Bellinzona,1423,1420.0,1 - 1,Neuchâtel Xamax FCS,1409,1412.0,1,1,Switzerland,domestic league (tier 2)
2023/04/07,Challenge League,0,AC Bellinzona,1412,1425.0,1 - 0,FC Lausanne-Sport,1606,1593.0,1,0,Switzerland,domestic league (tier 2)
2023/04/16,Challenge League,0,AC Bellinzona,1425,1404.0,1 - 6,FC Vaduz,1499,1520.0,1,6,Switzerland,domestic league (tier 2)
2023/04/30,Challenge League,0,AC Bellinzona,1420,1411.0,0 - 1,FC Aarau,1557,1566.0,0,1,Switzerland,domestic league (tier 2)
2023/05/12,Challenge League,0,AC Bellinzona,1406,1416.0,3 - 2,FC Wil 1900,1508,1498.0,3,2,Switzerland,domestic league (tier 2)
2023/05/23,Challenge League,0,AC Bellinzona,1402,1419.0,3 - 0,FC Thun Berner Oberland,1493,1476.0,3,0,Switzerland,domestic league (tier 2)
2023/07/23,Challenge League,0,AC Bellinzona,1410,1394.0,0 - 2,FC Wil 1900,1483,1499.0,0,2,Switzerland,domestic league (tier 2)
2023/08/13,Challenge League,0,AC Bellinzona,1388,1376.0,1 - 3,FC Aarau,1559,1571.0,1,3,Switzerland,domestic league (tier 2)
2023/08/25,Challenge League,0,AC Bellinzona,1376,1358.0,0 - 3,FC Thun Berner Oberland,1461,1479.0,0,3,Switzerland,domestic league (tier 2)
2023/09/17,Switzerland Cup,0,AC Bellinzona,1363,1377.0,3 - 1,FC Schaffhausen,1446,1432.0,3,1,Switzerland,domestic cup
2023/09/22,Challenge League,0,AC Bellinzona,1377,1360.0,0 - 4,FC Vaduz,1508,1525.0,0,4,Switzerland,domestic league (tier 2)
2023/10/01,Challenge League,0,AC Bellinzona,1365,1374.0,1 - 0,FC Stade Nyonnais,1434,1425.0,1,0,Switzerland,domestic league (tier 2)
2023/10/22,Challenge League,0,AC Bellinzona,1391,1389.0,0 - 0,FC Schaffhausen,1437,1439.0,0,0,Switzerland,domestic league (tier 2)
2023/10/31,Switzerland Cup,0,AC Bellinzona,1403,1401.0,0 - 1,FC Zürich,1844,1846.0,0,1,Switzerland,domestic cup
2023/11/05,Challenge League,0,AC Bellinzona,1401,1395.0,1 - 2,FC Sion,1640,1646.0,1,2,Switzerland,domestic league (tier 2)
2023/11/26,Challenge League,0,AC Bellinzona,1399,1405.0,3 - 1,FC Baden,1240,1234.0,3,1,Switzerland,domestic league (tier 2)
2023/12/10,Challenge League,0,AC Bellinzona,1405,1412.0,1 - 0,Neuchâtel Xamax FCS,1414,1407.0,1,0,Switzerland,domestic league (tier 2)
2024/01/27,Challenge League,0,AC Bellinzona,1420,1420.0,0 - 0,FC Thun Berner Oberland,1535,1535.0,0,0,Switzerland,domestic league (tier 2)
2024/02/17,Challenge League,0,AC Bellinzona,1420,1418.0,0 - 0,FC Wil 1900,1456,1458.0,0,0,Switzerland,domestic league (tier 2)
2024/02/28,Challenge League,0,AC Bellinzona,1418,1406.0,0 - 1,FC Vaduz,1447,1459.0,0,1,Switzerland,domestic league (tier 2)
2024/03/09,Challenge League,0,AC Bellinzona,1403,1383.0,0 - 2,FC Stade Nyonnais,1394,1414.0,0,2,Switzerland,domestic league (tier 2)
2024/03/29,Challenge League,0,AC Bellinzona,1377,1397.0,5 - 2,FC Aarau,1527,1507.0,5,2,Switzerland,domestic league (tier 2)
2024/04/19,Challenge League,0,AC Bellinzona,1382,1389.0,4 - 0,FC Baden,1225,1218.0,4,0,Switzerland,domestic league (tier 2)
2024/04/23,Challenge League,0,AC Bellinzona,1389,1388.0,1 - 1,FC Schaffhausen,1437,1438.0,1,1,Switzerland,domestic league (tier 2)
2024/05/03,Challenge League,0,AC Bellinzona,1411,1399.0,1 - 2,Neuchâtel Xamax FCS,1450,1462.0,1,2,Switzerland,domestic league (tier 2)
2024/05/17,Challenge League,0,AC Bellinzona,1419,1410.0,0 - 2,FC Sion,1666,1675.0,0,2,Switzerland,domestic league (tier 2)
2024/07/20,Challenge League,0,AC Bellinzona,1415,1423.0,2 - 1,FC Wil 1900,1432,1424.0,2,1,Switzerland,domestic league (tier 2)
2024/08/03,Challenge League,0,AC Bellinzona,1415,1411.0,1 - 1,Etoile Carouge FC,1380,1384.0,1,1,Switzerland,domestic league (tier 2)
2024/08/24,Challenge League,0,AC Bellinzona,1424,1432.0,2 - 1,FC Schaffhausen,1447,1439.0,2,1,Switzerland,domestic league (tier 2)
2024/09/24,Challenge League,0,AC Bellinzona,1460,1469.0,2 - 1,Stade Lausanne-Ouchy,1517,1508.0,2,1,Switzerland,domestic league (tier 2)
2024/10/04,Challenge League,0,AC Bellinzona,1461,1462.0,0 - 0,FC Thun Berner Oberland,1580,1579.0,0,0,Switzerland,domestic league (tier 2)
2024/10/26,Challenge League,0,AC Bellinzona,1466,1446.0,0 - 2,Neuchâtel Xamax FCS,1456,1476.0,0,2,Switzerland,domestic league (tier 2)
2024/11/09,Challenge League,0,AC Bellinzona,1438,1416.0,1 - 4,FC Aarau,1456,1478.0,1,4,Switzerland,domestic league (tier 2)
2024/11/30,Challenge League,0,AC Bellinzona,1419,1414.0,1 - 1,FC Stade Nyonnais,1331,1336.0,1,1,Switzerland,domestic league (tier 2)
2024/12/05,Switzerland Cup,0,AC Bellinzona,1414,1430.0,1 - 0,FC St. Gallen,1738,1722.0,1,0,Switzerland,domestic cup
2024/12/08,Challenge League,0,AC Bellinzona,1430,1418.0,1 - 2,FC Vaduz,1476,1488.0,1,2,Switzerland,domestic league (tier 2)
