Date,Competition,Neutral Venue,Home,PreHElo,PostHElo,Result,Away,PreAElo,PostAElo,Home Goals,Away Goals,Country,Category
2016/08/27,1. Lig,0,Adana Demirspor,1532,1537.0,2 - 1,Denizlispor,1435,1430.0,2,1,Turkey,domestic league (tier 2)
2016/09/17,1. Lig,0,Adana Demirspor,1539,1535.0,2 - 2,Altinordu FK,1481,1485.0,2,2,Turkey,domestic league (tier 2)
2016/10/02,1. Lig,0,Adana Demirspor,1524,1519.0,0 - 0,Sanliurfaspor,1452,1457.0,0,0,Turkey,domestic league (tier 2)
2016/10/21,1. Lig,0,Adana Demirspor,1528,1535.0,1 - 0,Elazigspor,1507,1500.0,1,0,Turkey,domestic league (tier 2)
2016/11/05,1. Lig,0,Adana Demirspor,1533,1523.0,0 - 1,Eskisehirspor,1618,1628.0,0,1,Turkey,domestic league (tier 2)
2016/11/25,1. Lig,0,Adana Demirspor,1525,1531.0,2 - 1,Göztepe,1492,1486.0,2,1,Turkey,domestic league (tier 2)
2016/12/10,1. Lig,0,Adana Demirspor,1529,1515.0,1 - 2,Boluspor,1481,1495.0,1,2,Turkey,domestic league (tier 2)
2017/01/15,1. Lig,0,Adana Demirspor,1521,1515.0,0 - 0,Mersin Idmanyurdu,1397,1403.0,0,0,Turkey,domestic league (tier 2)
2017/01/23,1. Lig,0,Adana Demirspor,1515,1520.0,1 - 0,Samsunspor,1423,1418.0,1,0,Turkey,domestic league (tier 2)
2017/02/12,1. Lig,0,Adana Demirspor,1522,1532.0,4 - 1,Gaziantep FK (as Gazisehir Gaziantep FK),1451,1441.0,4,1,Turkey,domestic league (tier 2)
2017/02/25,1. Lig,0,Adana Demirspor,1524,1512.0,1 - 2,Balikesirspor,1550,1562.0,1,2,Turkey,domestic league (tier 2)
2017/03/12,1. Lig,0,Adana Demirspor,1523,1518.0,1 - 1,Manisaspor,1451,1456.0,1,1,Turkey,domestic league (tier 2)
2017/04/02,1. Lig,0,Adana Demirspor,1507,1504.0,3 - 3,Ümraniyespor,1504,1507.0,3,3,Turkey,domestic league (tier 2)
2017/04/18,1. Lig,0,Adana Demirspor,1527,1514.0,1 - 2,Giresunspor,1522,1535.0,1,2,Turkey,domestic league (tier 2)
2017/04/29,1. Lig,0,Adana Demirspor,1505,1477.0,1 - 4,Bandirmaspor,1356,1384.0,1,4,Turkey,domestic league (tier 2)
2017/05/08,1. Lig,0,Adana Demirspor,1470,1458.0,1 - 2,Yeni Malatyaspor,1507,1519.0,1,2,Turkey,domestic league (tier 2)
2017/05/14,1. Lig,0,Adana Demirspor,1458,1460.0,1 - 1,Sivasspor,1629,1627.0,1,1,Turkey,domestic league (tier 2)
2017/08/19,1. Lig,0,Adana Demirspor,1464,1453.0,1 - 3,Çaykur Rizespor,1664,1675.0,1,3,Turkey,domestic league (tier 2)
2017/09/11,1. Lig,0,Adana Demirspor,1466,1478.0,3 - 1,Gaziantepspor,1507,1495.0,3,1,Turkey,domestic league (tier 2)
2017/09/25,1. Lig,0,Adana Demirspor,1466,1474.0,1 - 0,Adanaspor,1511,1503.0,1,0,Turkey,domestic league (tier 2)
2017/10/15,1. Lig,0,Adana Demirspor,1473,1487.0,3 - 1,Eskisehirspor,1543,1529.0,3,1,Turkey,domestic league (tier 2)
2017/10/29,1. Lig,0,Adana Demirspor,1481,1470.0,1 - 2,Giresunspor,1530,1541.0,1,2,Turkey,domestic league (tier 2)
2017/11/18,1. Lig,0,Adana Demirspor,1465,1462.0,2 - 2,Gaziantep FK (as Gazisehir Gaziantep FK),1451,1454.0,2,2,Turkey,domestic league (tier 2)
2017/12/03,1. Lig,0,Adana Demirspor,1452,1451.0,2 - 2,Elazigspor,1515,1516.0,2,2,Turkey,domestic league (tier 2)
2017/12/23,1. Lig,0,Adana Demirspor,1439,1448.0,2 - 1,MKE Ankaragücü,1507,1498.0,2,1,Turkey,domestic league (tier 2)
2018/01/20,1. Lig,0,Adana Demirspor,1448,1431.0,0 - 2,Balikesirspor,1511,1528.0,0,2,Turkey,domestic league (tier 2)
2018/02/04,1. Lig,0,Adana Demirspor,1428,1425.0,1 - 1,Samsunspor,1436,1439.0,1,1,Turkey,domestic league (tier 2)
2018/02/18,1. Lig,0,Adana Demirspor,1444,1429.0,1 - 3,Boluspor,1540,1555.0,1,3,Turkey,domestic league (tier 2)
2018/02/26,1. Lig,0,Adana Demirspor,1423,1431.0,2 - 1,Istanbulspor AS,1444,1436.0,2,1,Turkey,domestic league (tier 2)
2018/03/07,1. Lig,0,Adana Demirspor,1436,1448.0,3 - 1,Denizlispor,1454,1442.0,3,1,Turkey,domestic league (tier 2)
2018/03/16,1. Lig,0,Adana Demirspor,1470,1458.0,0 - 1,Ümraniyespor,1514,1526.0,0,1,Turkey,domestic league (tier 2)
2018/04/07,1. Lig,0,Adana Demirspor,1453,1458.0,2 - 1,Manisaspor,1349,1344.0,2,1,Turkey,domestic league (tier 2)
