Date,Competition,Neutral Venue,Home,PreHElo,PostHElo,Result,Away,PreAElo,PostAElo,Home Goals,Away Goals,Country,Category
2024/08/29,Conference League q.,0,1. FC Heidenheim 1846,1925,1927.0,3 - 2,BK Häcken,1728,1726.0,3,2,UEFA,international
2024/10/03,Conference League,0,1. FC Heidenheim 1846,1934,1937.0,2 - 1,Olimpija Ljubljana,1716,1713.0,2,1,UEFA,international
2024/11/28,Conference League,0,1. FC Heidenheim 1846,1892,1884.0,0 - 2,Chelsea FC,2156,2164.0,0,2,UEFA,international
2024/12/19,Conference League,0,1. FC Heidenheim 1846,1843,1838.0,1 - 1,FC St. Gallen,1730,1735.0,1,1,UEFA,international
2025/02/20,Conference League,0,1. FC Heidenheim 1846,1814,1798.0,1 - 3,FC København,1898,1914.0,1,3,UEFA,international
2022/08/18,Conference League q.,0,1. FC Köln,1963,1950.0,1 - 2,Fehérvár FC,1725,1738.0,1,2,UEFA,international
2022/09/15,Conference League,0,1. FC Köln,1966,1973.0,4 - 2,1. FC Slovácko,1869,1862.0,4,2,UEFA,international
2022/10/06,Conference League,0,1. FC Köln,1982,1966.0,0 - 1,Partizan,1858,1874.0,0,1,UEFA,international
2022/11/03,Conference League,0,1. FC Köln,1940,1936.0,2 - 2,OGC Nice,1907,1911.0,2,2,UEFA,international
2021/07/29,Conference League q.,0,1. FC Slovácko,1807,1811.0,1 - 0,Lokomotiv Plovdiv,1744,1740.0,1,0,UEFA,international
2022/08/11,Europa League q.,0,1. FC Slovácko,1881,1878.0,1 - 1,Fenerbahçe,1873,1876.0,1,1,UEFA,international
2022/08/18,Conference League q.,0,1. FC Slovácko,1875,1881.0,3 - 0,AIK Solna,1769,1763.0,3,0,UEFA,international
2022/09/08,Conference League,0,1. FC Slovácko,1873,1870.0,3 - 3,Partizan,1847,1850.0,3,3,UEFA,international
2022/10/06,Conference League,0,1. FC Slovácko,1848,1836.0,0 - 1,OGC Nice,1891,1903.0,0,1,UEFA,international
2022/10/28,Conference League,0,1. FC Slovácko,1820,1810.0,0 - 1,1. FC Köln,1932,1942.0,0,1,UEFA,international
2021/08/26,Conference League q.,0,1. FC Union Berlin,1955,1949.0,0 - 0,Kuopion PS,1666,1672.0,0,0,UEFA,international
2021/09/30,Conference League,0,1. FC Union Berlin,1946,1953.0,3 - 0,Maccabi Haifa,1795,1788.0,3,0,UEFA,international
2021/11/04,Conference League,0,1. FC Union Berlin,1965,1951.0,1 - 2,Feyenoord,1922,1936.0,1,2,UEFA,international
2021/12/09,Conference League,0,1. FC Union Berlin,1972,1972.0,1 - 1,Slavia Praha,2057,2057.0,1,1,UEFA,international
2022/09/08,Europa League,0,1. FC Union Berlin,2058,2038.0,0 - 1,"Union Saint-Gilloise
(as Union St. Gilloise)",1896,1916.0,0,1,UEFA,international
2022/10/13,Europa League,0,1. FC Union Berlin,2048,2050.0,1 - 0,Malmö FF,1761,1759.0,1,0,UEFA,international
2022/10/27,Europa League,0,1. FC Union Berlin,2051,2058.0,1 - 0,Sporting Braga,1970,1963.0,1,0,UEFA,international
2023/02/23,Europa League,0,1. FC Union Berlin,2083,2096.0,3 - 1,AFC Ajax,2065,2052.0,3,1,UEFA,international
2023/03/09,Europa League,0,1. FC Union Berlin,2085,2078.0,3 - 3,Union Saint-Gilloise,1948,1955.0,3,3,UEFA,international
2023/10/03,Champions League,0,1. FC Union Berlin,1995,1975.0,2 - 3,Sporting Braga,1980,2000.0,2,3,UEFA,international
2023/10/24,Champions League,0,1. FC Union Berlin,1949,1939.0,0 - 1,SSC Napoli,2170,2180.0,0,1,UEFA,international
2023/12/12,Champions League,0,1. FC Union Berlin,1923,1918.0,2 - 3,Real Madrid,2315,2320.0,2,3,UEFA,international
2025/08/28,Conference League q.,0,1. FSV Mainz 05,1987,1991.0,4 - 1,Rosenborg BK,1776,1772.0,4,1,UEFA,international
2025/10/23,Conference League,0,1. FSV Mainz 05,1964,1966.0,1 - 0,Zrinjski Mostar,1717,1715.0,1,0,UEFA,international
2025/11/06,Conference League,0,1. FSV Mainz 05,1942,1950.0,2 - 1,ACF Fiorentina,1970,1962.0,2,1,UEFA,international
2025/12/18,Conference League,0,1. FSV Mainz 05,1917,1923.0,2 - 0,Samsunspor,1773,1767.0,2,0,UEFA,international
2026/03/19,Conference League,0,1. FSV Mainz 05,1966,1970.0,2 - 0,Sigma Olomouc,1763,1759.0,2,0,UEFA,international
2026/04/09,Conference League,0,1. FSV Mainz 05,1991,2003.0,2 - 0,Racing Strasbourg,2012,2000.0,2,0,UEFA,international
2024/10/03,Europa League,0,1899 Hoffenheim,1908,1922.0,2 - 0,Dinamo Kiev,1914,1900.0,2,0,UEFA,international
2024/11/07,Europa League,0,1899 Hoffenheim,1911,1911.0,2 - 2,Olympique Lyonnais,2004,2004.0,2,2,UEFA,international
2024/12/12,Europa League,0,1899 Hoffenheim,1891,1887.0,0 - 0,FCSB,1863,1867.0,0,0,UEFA,international
2025/01/23,Europa League,0,1899 Hoffenheim,1886,1877.0,2 - 3,Tottenham Hotspur,2072,2081.0,2,3,UEFA,international
2021/09/28,Champions League,0,AC Milan,2134,2116.0,1 - 2,Atlético Madrid,2172,2190.0,1,2,UEFA,international
2021/11/03,Champions League,0,AC Milan,2141,2135.0,1 - 1,FC Porto,2099,2105.0,1,1,UEFA,international
2021/12/07,Champions League,0,AC Milan,2127,2116.0,1 - 2,Liverpool FC,2325,2336.0,1,2,UEFA,international
2022/09/14,Champions League,0,AC Milan,2180,2188.0,3 - 1,Dinamo Zagreb,2005,1997.0,3,1,UEFA,international
2022/10/11,Champions League,0,AC Milan,2168,2141.0,0 - 2,Chelsea FC,2196,2223.0,0,2,UEFA,international
2022/11/02,Champions League,0,AC Milan,2159,2173.0,4 - 0,RB Salzburg,2074,2060.0,4,0,UEFA,international
2023/02/14,Champions League,0,AC Milan,2078,2090.0,1 - 0,Tottenham Hotspur,2103,2091.0,1,0,UEFA,international
2023/04/12,Champions League,0,AC Milan,2097,2114.0,1 - 0,SSC Napoli,2254,2237.0,1,0,UEFA,international
2023/05/10,Champions League,0,AC Milan,2122,2098.0,0 - 2,Inter,2198,2222.0,0,2,UEFA,international
2023/09/19,Champions League,0,AC Milan,2110,2106.0,0 - 0,Newcastle United,2117,2121.0,0,0,UEFA,international
2023/11/07,Champions League,0,AC Milan,2090,2104.0,2 - 1,Paris Saint-Germain,2167,2153.0,2,1,UEFA,international
2023/11/28,Champions League,0,AC Milan,2104,2079.0,1 - 3,Borussia Dortmund,2165,2190.0,1,3,UEFA,international
2024/02/15,Europa League,0,AC Milan,2116,2127.0,3 - 0,Stade Rennais,2024,2013.0,3,0,UEFA,international
2024/03/07,Europa League,0,AC Milan,2104,2115.0,4 - 2,Slavia Praha,2053,2042.0,4,2,UEFA,international
2024/04/11,Europa League,0,AC Milan,2156,2138.0,0 - 1,AS Roma,2076,2094.0,0,1,UEFA,international
2024/09/17,Champions League,0,AC Milan,2072,2054.0,1 - 3,Liverpool FC,2238,2256.0,1,3,UEFA,international
2024/10/22,Champions League,0,AC Milan,2065,2077.0,3 - 1,Club Brugge KV,1981,1969.0,3,1,UEFA,international
2024/12/11,Champions League,0,AC Milan,2109,2115.0,2 - 1,Crvena Zvezda,1980,1974.0,2,1,UEFA,international
2025/01/22,Champions League,0,AC Milan,2120,2126.0,1 - 0,Girona FC,1996,1990.0,1,0,UEFA,international
2025/02/18,Champions League,0,AC Milan,2115,2108.0,1 - 1,Feyenoord,2043,2050.0,1,1,UEFA,international
2026/09/16,Europa League,0,AC Milan,2074,,Info,SL Benfica,2111,,,,UEFA,international
2021/07/28,Champions League q.,0,AC Sparta Praha,1930,1939.0,2 - 0,Rapid Wien,1826,1817.0,2,0,UEFA,international
2021/08/03,Champions League q.,0,AC Sparta Praha,1955,1934.0,0 - 2,AS Monaco,2021,2042.0,0,2,UEFA,international
2021/09/30,Europa League,0,AC Sparta Praha,1929,1939.0,1 - 0,Rangers FC,1967,1957.0,1,0,UEFA,international
2021/10/21,Europa League,0,AC Sparta Praha,1957,1944.0,3 - 4,Olympique Lyon,2040,2053.0,3,4,UEFA,international
2021/12/09,Europa League,0,AC Sparta Praha,1919,1927.0,2 - 0,Brøndby IF,1795,1787.0,2,0,UEFA,international
2022/02/17,Conference League,0,AC Sparta Praha,1953,1939.0,0 - 1,Partizan,1888,1902.0,0,1,UEFA,international
2022/07/21,Conference League q.,0,AC Sparta Praha,1917,1913.0,0 - 0,Viking FK,1782,1786.0,0,0,UEFA,international
2023/08/15,Champions League q.,0,AC Sparta Praha,1996,1990.0,3 - 3,FC København,1930,1936.0,3,3,UEFA,international
2023/08/31,Europa League q.,0,AC Sparta Praha,1971,1982.0,4 - 1,Dinamo Zagreb,1932,1921.0,4,1,UEFA,international
2023/09/21,Europa League,0,AC Sparta Praha,1998,2001.0,3 - 2,Aris Limassol,1727,1724.0,3,2,UEFA,international
2023/10/26,Europa League,0,AC Sparta Praha,2009,2003.0,0 - 0,Rangers FC,1925,1931.0,0,0,UEFA,international
2023/11/30,Europa League,0,AC Sparta Praha,1989,2000.0,1 - 0,Real Betis,2058,2047.0,1,0,UEFA,international
2024/02/22,Europa League,0,AC Sparta Praha,2014,2032.0,4 - 1,Galatasaray,2045,2027.0,4,1,UEFA,international
2024/03/07,Europa League,0,AC Sparta Praha,2051,2036.0,1 - 5,Liverpool FC,2277,2292.0,1,5,UEFA,international
