Date,Competition,Neutral Venue,Home,PreHElo,PostHElo,Result,Away,PreAElo,PostAElo,Home Goals,Away Goals,Country,Category
2018/07/22,Premyer Liga,0,Arsenal Kiev,1693,1667.0,0 - 2,FK Lviv,1476,1502.0,0,2,Ukraine,domestic league (tier 1)
2018/08/05,Premyer Liga,0,Arsenal Kiev,1665,1651.0,1 - 2,FK Mariupol,1624,1638.0,1,2,Ukraine,domestic league (tier 1)
2018/08/17,Premyer Liga,0,Arsenal Kiev,1646,1642.0,1 - 1,Chernomorets Odessa,1580,1584.0,1,1,Ukraine,domestic league (tier 1)
2018/09/02,Premyer Liga,0,Arsenal Kiev,1654,1632.0,0 - 5,Zorya Lugansk,1720,1742.0,0,5,Ukraine,domestic league (tier 1)
2018/09/22,Premyer Liga,0,Arsenal Kiev,1623,1602.0,1 - 3,Olimpik Donetsk,1580,1601.0,1,3,Ukraine,domestic league (tier 1)
2018/09/30,Premyer Liga,0,Arsenal Kiev,1602,1598.0,0 - 1,Dinamo Kiev,1971,1975.0,0,1,Ukraine,domestic league (tier 1)
2018/10/27,Premyer Liga,0,Arsenal Kiev,1612,1608.0,0 - 3,Shakhtar Donetsk,2076,2080.0,0,3,Ukraine,domestic league (tier 1)
2018/11/10,Premyer Liga,0,Arsenal Kiev,1602,1586.0,0 - 3,FC Oleksandriya (as FC Aleksandriya),1730,1746.0,0,3,Ukraine,domestic league (tier 1)
2018/12/01,Premyer Liga,0,Arsenal Kiev,1577,1575.0,1 - 1,Karpaty Lviv,1616,1618.0,1,1,Ukraine,domestic league (tier 1)
2019/02/24,Premyer Liga,0,Arsenal Kiev,1569,1552.0,0 - 2,Desna Chernigov,1613,1630.0,0,2,Ukraine,domestic league (tier 1)
2019/03/18,Premyer Liga,0,Arsenal Kiev,1564,1564.0,2 - 2,Vorskla Poltava,1672,1672.0,2,2,Ukraine,domestic league (tier 1)
