Competition,Country,Category
Albania Cup,Albania,domestic cup
Kategoria Superiore,Albania,domestic league (tier 1)
Kategoria Superiore rel.,Albania,domestic relegation
Albania Supercup,Albania,domestic supercup
1a Divisio,Andorra,domestic league (tier 1)
1a Divisio rel.,Andorra,domestic relegation
Andorra Supercup,Androrra,domestic supercup
Armenia Cup,Armenia,domestic cup
Premier League Armenia,Armenia,domestic league (tier 1)
Supercup ARM,Armenia,domestic supercup
Austrian Cup,Austria,domestic cup
Bundesliga Austria,Austria,domestic league (tier 1)
2. Liga,Austria,domestic league (tier 2)
Azerbaijan Cup,Azerbaijan,domestic cup
Premyer Liqasi,Azerbaijan,domestic league (tier 1)
Belarus Cup,Belarus,domestic cup
Cempionat,Belarus,domestic league (tier 1)
Cempionat rel.,Belarus,domestic relegation
Belarus Supercup,Belarus,domestic supercup
Belgian Cup,Belgium,domestic cup
Eerste Klasse A,Belgium,domestic league (tier 1)
Eerste Klasse B,Belgium,domestic league (tier 2)
Eerste Klasse A rel.,Belgium,domestic relegation
Belgium Supercup,Belgium,domestic supercup
Bosnia and Herzegovina Cup,Bosnia and Herzegovina,domestic cup
Premier Liga BiH,Bosnia and Herzegovina,domestic league (tier 1)
Bulgaria Cup,Bulgaria,domestic cup
Parva Liga,Bulgaria,domestic league (tier 1)
Parva Liga rel.,Bulgaria,domestic relegation
Bulgaria Supercup,Bulgaria,domestic supercup
Croatia Cup,Croatia,domestic cup
1. HNL,Croatia,domestic league (tier 1)
Croatia Supercup,Croatia,domestic supercup
First Division,Cyprus,domestic league (tier 1)
Cyprus Cup,Cyprus,domestic cup
Cyprus Supercup,Cyprus,domestic supercup
Fotbalova Liga,Czech Republic,domestic league (tier 1)
2. Fotbalova Liga,Czech Republic,domestic league (tier 2)
Czech Republic Cup,Czech Republic,domestic cup
Fotbalova Liga rel.,Czech Republic,domestic relegation
Superligaen,Denmark,domestic league (tier 1)
1. Division Denmark,Denmark,domestic league (tier 2)
Denmark Cup,Denmark,domestic cup
League Cup,England,domestic cup
Premier League,England,domestic league (tier 1)
Championship,England,domestic league (tier 2)
League One,England,domestic league (tier 3)
League Two,England,domestic league (tier 4)
National League,England,domestic league (tier 5)
Community Shield,England,domestic supercup
FA Cup,England,domestic cup
Meistriliiga,Estonia,domestic league (tier 1)
Estonia Cup,Estonia,domestic cup
Estonia Supercup,Estonia,domestic supercup
Meistriliiga rel.,Estonia,domestic relegation
Effodeildin,Faroe Islands,domestic league (tier 1)
Faroe Islands Cup,Faroe Islands,domestic cup
Faroe Islands Supercup,Faroe Islands,domestic supercup
Veikkausliiga,Finland,domestic league (tier 1)
Ykkönen,Finland,domestic league (tier 2)
Finland League Cup,Finland,domestic cup
Finland Cup,Finland,domestic cup
Veikkausliiga rel.,Finland,domestic relegation
Coupe de France,France,domestic cup
Ligue 1,France,domestic league (tier 1)
Ligue 2,France,domestic league (tier 2)
National,France,domestic league (tier 3)
Ligue 1 rel.,France,domestic relegation
Ligue 2 rel.,France,domestic relegation
France Supercup,France,domestic supercup
Umaglesi Liga,Georgia,domestic league (tier 1)
Georgia Cup,Georgia,domestic cup
Georgia Supercup,Georgia,domestic supercup
Umaglesi Liga rel.,Georgia,domestic relegation
DFB-Pokal,Germany,domestic cup
Bundesliga,Germany,domestic league (tier 1)
2. Bundesliga,Germany,domestic league (tier 2)
3. Liga,Germany,domestic league (tier 3)
Regionalliga (4th level),Germany,domestic league (tier 4)
3. Liga rel.,Germany,domestic relegation
2. Bundesliga rel.,Germany,domestic relegation
Bundesliga rel.,Germany,domestic relegation
Germany Supercup,Germany,domestic supercup
Premier Division Gibraltar,Gibraltor,domestic league (tier 1)
Superleague,Greece,domestic league (tier 1)
Football League Greece,Greece,domestic league (tier 2)
Greece Cup,Greece,domestic cup
NB I,Hungary,domestic league (tier 1)
Hungary Cup,Hungary,domestic cup
Urvalsdeild,Iceland,domestic league (tier 1)
1. deild,Iceland,domestic league (tier 2)
Iceland League Cup,Iceland,domestic cup
Iceland Cup,Iceland,domestic cup
Iceland Supercup,Iceland,domestic supercup
Premier Division,Ireland,domestic league (tier 1)
First Division Ireland,Ireland,domestic league (tier 2)
Ireland Cup,Ireland,domestic cup
Premier Division rel.,Ireland,domestic relegation
Ireland Supercup,Ireland,domestic supercup
Ligat haAl,Israel,domestic league (tier 1)
Israel League Cup,Israel,domestic cup
Israel Cup,Israel,domestic cup
Israel Supercup,Israel,domestic supercup
Coppa Italia,Italy,domestic cup
Serie A,Italy,domestic league (tier 1)
Serie B,Italy,domestic league (tier 2)
Supercoppa,Italy,domestic supercup
Premier Liga Kazakhstan,Kazakhstan,domestic league (tier 1)
Kazakhstan Cup,Kazakhstan ,domestic cup
Kazakhstan Supercup,Kazakhstan ,domestic supercup
Superliga Kosovo,Kosovo,domestic league (tier 1)
Supercup KOS,Kosovo,domestic supercup
Superliga Kosovo rel.,Kosovo,domestic relegation
Virsliga,Latvia,domestic league (tier 1)
Latvia Cup,Latvia,domestic cup
A Lyga,Lithuania,domestic league (tier 1)
Lithuania Cup,Lithuania,domestic cup
Lithuania Supercup,Lithuania,domestic supercup
Nationaldivision,Luxembourg,domestic league (tier 1)
Luxembourg Cup,Luxembourg,domestic cup
Nationaldivision rel.,Luxembourg,domestic relegation
Premier League Malta,Malta,domestic league (tier 1)
Malta Supercup,Malta,domestic supercup
Premier League MLT rel.,Malta,domestic relegation
Divizia Nationala,Moldova,domestic league (tier 1)
Moldova Cup,Moldova,domestic cup
Divizia Nationala relegation playoffs,Moldova,domestic relegation
1. CFL,Montenegro,domestic league (tier 1)
Montenegro Cup,Montenegro,domestic cup
1. CFL rel.,Montenegro,domestic relegation
Eredivisie,Netherlands,domestic league (tier 1)
Eerste Divisie,Netherlands,domestic league (tier 2)
Tweede Divisie,Netherlands,domestic league (tier 3)
Netherlands Cup,Netherlands,domestic cup
Tweede Divisie rel.,Netherlands,domestic relegation
Eredivisie rel.,Netherlands,domestic relegation
Netherlands Supercup,Netherlands,domestic supercup
1. MFL,North Macedonia,domestic league (tier 1)
North Macedonia Cup,North Macedonia,domestic cup
1. MFL rel.,North Macedonia,domestic relegation
Irish League,Northern Ireland,domestic league (tier 1)
Northern Ireland Cup,Northern Ireland,domestic cup
Northern Ireland League Cup,Northern Ireland,domestic cup
Premier League NIR rel.,Northern Ireland,domestic relegation
Eliteserien,Norway,domestic league (tier 1)
1. Divisjon,Norway,domestic league (tier 2)
Norway Cup,Norway,domestic cup
Eliteserien rel.,Norway,domestic relegation
1. Divisjon rel.,Norway,domestic relegation
Ekstraklasa,Poland,domestic league (tier 1)
I Liga,Poland,domestic league (tier 2)
Poland Cup,Poland,domestic cup
Poland Supercup,Poland,domestic supercup
Primeira Liga,Portugal,domestic league (tier 1)
Segunda Liga,Portugal,domestic league (tier 2)
Portugal Cup,Portugal,domestic cup
Portugal League Cup,Portugal,domestic cup
Primeira Liga rel.,Portugal,domestic relegation
Segunda Liga rel.,Portugal,domestic relegation
Portugal Supercup,Portugal,domestic supercup
Liga 1,Romania,domestic league (tier 1)
Romania Cup,Romania,domestic cup
Liga 1 rel.,Romania,domestic relegation
Romania Supercup,Romania,domestic supercup
Premier Liga,Russia,domestic league (tier 1)
1. Division Russia,Russia,domestic league (tier 2)
Russia Cup,Russia,domestic cup
Premier Liga rel.,Russia,domestic relegation
Russia Supercup,Russia,domestic supercup
Campionato,San Marino,domestic league (tier 1)
San Marino Cup,San Marino,domestic cup
San Marino Supercup,San Marino,domestic supercup
Premiership,Scotland,domestic league (tier 1)
Championship Scotland,Scotland,domestic league (tier 2)
League One Scotland,Scotland,domestic league (tier 3)
League Two Scotland,Scotland,domestic league (tier 4)
Scotland League Cup,Scotland,domestic cup
FA Cup Scotland,Scotland,domestic cup
Premiership rel.,Scotland,domestic relegation
League One Scotland rel.,Scotland,domestic relegation
Championship Scotland rel.,Scotland,domestic relegation
Super Liga,Serbia,domestic league (tier 1)
Serbia Cup,Serbia,domestic cup
Super Liga rel.,Serbia,domestic relegation
Super Liga Slovakia,Slovakia,domestic league (tier 1)
Slovakia Cup,Slovakia,domestic cup
Super Liga Slovakia rel.,Slovakia,domestic relegation
1. SNL,Slovenia,domestic league (tier 1)
Slovenia Cup,Slovenia,domestic cup
1. SNL rel.,Slovenia,domestic relegation
Copa del Rey,Spain,domestic cup
Primera Division,Spain,domestic league (tier 1)
Segunda Division,Spain,domestic league (tier 2)
Primera Division rel.,Spain,domestic relegation
Supercopa,Spain,domestic supercup
Allsvenskan,Sweden,domestic league (tier 1)
Superettan,Sweden,domestic league (tier 2)
Sweden Cup,Sweden,domestic cup
Superettan rel.,Sweden,domestic relegation
Allsvenskan rel.,Sweden,domestic relegation
Super League,Switzerland,domestic league (tier 1)
Challenge League,Switzerland,domestic league (tier 2)
Switzerland Cup,Switzerland,domestic cup
Super League rel.,Switzerland,domestic relegation
Süperlig,Turkey,domestic league (tier 1)
1. Lig,Turkey,domestic league (tier 2)
Turkey Cup,Turkey,domestic cup
Turkey Supercup,Turkey,domestic supercup
Champions League q.,UEFA,international
Conference League q.,UEFA,international
Europa League q.,UEFA,international
Champions League,UEFA,international
Club World Cup,UEFA,international
Conference League,UEFA,international
Europa League,UEFA,international
Supercup,UEFA,continental supercup
Premyer Liga,Ukraine,domestic league (tier 1)
Ukraine Cup,Ukraine,domestic cup
Premyer Liga rel.,Ukraine,domestic relegation
Ukraine Supercup,Ukraine,domestic supercup
Premier League Wales,Wales,domestic league (tier 1)
Wales Cup,Wales,domestic cup
Wales League Cup,Wales,domestic cup
